,TBC1D10A (83874)
ACH-000004,-0.2845985081605051
ACH-000005,-0.3145697201529189
ACH-000007,0.04353992885633777
ACH-000009,-0.20735256720320333
ACH-000011,-0.21288868135783526
ACH-000012,-0.0023890436939132268
ACH-000013,-0.415775320564508
ACH-000014,-0.04673862047404784
ACH-000015,-0.2567835379585506
ACH-000017,-0.08468813076596889
ACH-000018,-0.3235271855985968
ACH-000019,-0.4060344313291874
ACH-000021,-0.2322296024853616
ACH-000022,-0.18102999886252988
ACH-000025,-0.15731754285208868
ACH-000028,-0.1945982705111343
ACH-000030,-0.19331533096269368
ACH-000035,-0.0556410884034424
ACH-000036,-0.19111453981998372
ACH-000037,-0.1585299577926999
ACH-000039,-0.059415530298718315
ACH-000040,-0.08786687808972839
ACH-000041,-0.2805857180404208
ACH-000042,-0.28182509940523803
ACH-000045,-0.117116810492513
ACH-000047,-0.13621616455605526
ACH-000052,-0.026856508998820583
ACH-000053,-0.18707339027418296
ACH-000054,-0.11333868866110343
ACH-000055,-0.1314818746680846
ACH-000060,-0.23856519829456646
ACH-000067,-0.02252321070423026
ACH-000070,-0.16584671231797407
ACH-000075,-0.11887039172798973
ACH-000078,-0.1813921590534737
ACH-000082,-0.11908664196380353
ACH-000085,0.015340037992776478
ACH-000086,0.058713605484513924
ACH-000087,-0.18996546098485828
ACH-000092,-0.18507869053552373
ACH-000095,-0.2272031443114348
ACH-000097,-0.2786607270902232
ACH-000098,-0.1461977558226676
ACH-000099,-0.16002503959712616
ACH-000108,-0.09877054272797288
ACH-000113,-0.06744624525302167
ACH-000116,-0.1888622085372527
ACH-000118,-0.0956134917621626
ACH-000120,-0.08347311683364844
ACH-000123,-0.017037135830165917
ACH-000127,-0.04131600164327751
ACH-000128,-0.0787876856194311
ACH-000132,-0.15182360812673534
ACH-000133,-0.2120650532478472
ACH-000137,-0.1360564112232748
ACH-000138,0.09159298682323157
ACH-000142,-0.041144701704410064
ACH-000143,-0.19420666078893745
ACH-000146,-0.18716102186042552
ACH-000148,-0.05506192952360446
ACH-000150,-0.024423637268920776
ACH-000152,-0.11887113670087422
ACH-000153,-0.14280719426716165
ACH-000159,-0.01791228199064686
ACH-000160,-0.2767435462536031
ACH-000163,-0.07968096102148729
ACH-000167,-0.2542467817410788
ACH-000168,-0.1196475265396945
ACH-000169,-0.1608106121874501
ACH-000178,-0.12515300384548192
