,CAMK2A (815)
ACH-000004,0.02758353809288119
ACH-000005,-0.04272108172988991
ACH-000007,0.11528317653578447
ACH-000009,0.008084105073200912
ACH-000011,0.06424555675470638
ACH-000012,-0.0018070246087307212
ACH-000013,0.01538885398130146
ACH-000014,0.04928728820380002
ACH-000015,-0.0558692489238848
ACH-000017,0.0059276029776259564
ACH-000018,0.17384152087469446
ACH-000019,-0.037357797909527035
ACH-000021,0.02158493966351294
ACH-000022,-0.02159482430169295
ACH-000025,0.09319858295951786
ACH-000028,0.10575958375387794
ACH-000030,0.03762254506407975
ACH-000035,-0.07176894645270783
ACH-000036,0.14737222928382598
ACH-000037,0.0809587925827556
ACH-000039,-0.01805450433408668
ACH-000040,0.18562084723576888
ACH-000041,0.09391096431422136
ACH-000042,0.018171812429407668
ACH-000045,-0.09462364673529276
ACH-000047,0.021217160740226046
ACH-000052,-0.02297224473322633
ACH-000053,0.010374900610877574
ACH-000054,0.02700616212007393
ACH-000055,0.04001845854271422
ACH-000060,0.05057752773222832
ACH-000067,-0.05409268741655078
ACH-000070,0.10093274214591104
ACH-000075,-0.13702447410561536
ACH-000078,-0.03948117092454228
ACH-000082,-0.013541435144382052
ACH-000085,0.10327888467313896
ACH-000086,0.10239925844965103
ACH-000087,-0.039389732872987214
ACH-000092,0.028590780756986706
ACH-000095,0.025326360128733502
ACH-000097,0.030750265747928964
ACH-000098,0.08702427441630439
ACH-000099,-0.05759038411527126
ACH-000108,0.09854627634797568
ACH-000113,-0.10896090908030474
ACH-000116,0.06299186647927146
ACH-000118,0.01781449137168508
ACH-000120,0.004350428669444337
ACH-000123,-0.045156421082895616
ACH-000127,-0.02276518888521579
ACH-000128,-0.0374837253399205
ACH-000132,0.07027252921293138
ACH-000133,-0.0065462097213958535
ACH-000137,0.041064144448537225
ACH-000138,0.06677211478154814
ACH-000142,0.10771998338646048
ACH-000143,-0.018940393663796483
ACH-000146,-0.051030388991887984
ACH-000148,0.035356514074432493
ACH-000150,-1.8316475037519773e-05
ACH-000152,-0.06705094223379213
ACH-000153,-0.09443786330780186
ACH-000159,0.061241298092646876
ACH-000160,0.03732977075585525
ACH-000163,-0.032252609462341
ACH-000167,0.1176659332199591
ACH-000168,-0.008390797002892164
ACH-000169,0.05227545242295502
ACH-000178,-0.023983147933609512
ACH-000183,-0.08038174516145477
ACH-000188,0.053240280890730164
ACH-000189,-0.09546994827466948
ACH-000190,0.009138614166226878
ACH-000198,-0.01679945722990753
ACH-000203,0.06838398147747328
ACH-000204,0.04121657253828856
ACH-000206,0.09504007366497468
ACH-000207,0.1290661921920127
ACH-000208,0.2827694338079759
ACH-000210,0.16505558334859574
ACH-000211,-0.06200964044603473
ACH-000215,0.0005806728284732996
ACH-000221,0.032430169267674974
ACH-000222,-0.0350307520302287
ACH-000223,-0.06526307963481387
ACH-000226,0.010110154862021345
ACH-000227,-0.05492295370236882
ACH-000228,0.006896677984524885
ACH-000231,-0.015876247515910318
ACH-000232,0.0223233300438484
ACH-000233,-0.029531213248577513
ACH-000234,0.043395769190418064
ACH-000235,0.02737374594116162
ACH-000237,0.0687864432055587
ACH-000238,-0.12116410056897613
ACH-000242,0.2385065783031817
ACH-000243,-0.030204437119077786
ACH-000244,0.015653479762310067
ACH-000246,0.002516145903083114
ACH-000248,-0.055016756661609365
