,UBE2Z (65264)
ACH-000004,-0.5691822218148336
ACH-000005,-0.3967247592328436
ACH-000007,-0.7602069942355021
ACH-000009,-0.7900096544793574
ACH-000011,-0.2275719924970713
ACH-000012,-0.31218727904185783
ACH-000013,-0.1755246122108539
ACH-000014,-0.2470963619074697
ACH-000015,-0.34158250747135155
ACH-000017,-0.2785193754910612
ACH-000018,-0.2484774518556447
ACH-000019,-0.5011514858037573
ACH-000021,-0.2880062036377298
ACH-000022,-0.8590330071818953
ACH-000025,-0.5101032594870342
ACH-000028,-0.5043661841581296
ACH-000030,-0.3274365265808763
ACH-000035,-0.21864979192523484
ACH-000036,-0.380140634370052
ACH-000037,-0.2804744552047945
ACH-000039,-0.20160823153025112
ACH-000040,-0.5894379468394411
ACH-000041,-0.3923387503282786
ACH-000042,-0.3272705583167546
ACH-000045,-0.3163681830898056
ACH-000047,-0.2845514317649291
ACH-000052,-0.4219990909932175
ACH-000053,-0.13415164884248126
ACH-000054,-0.6129936665064921
ACH-000055,-0.2419570856341457
ACH-000060,-0.3237180601952506
ACH-000067,-0.17284645454103298
ACH-000070,-0.3803947052202956
ACH-000075,-0.23267722395157345
ACH-000078,-0.2534846495304911
ACH-000082,-0.5419717643753404
ACH-000085,-0.2583952828837329
ACH-000086,-0.4258097375582648
ACH-000087,-0.4151024686992252
ACH-000092,-0.2752132785163209
ACH-000095,-0.4576900861203504
ACH-000097,-0.42503059772155627
ACH-000098,-0.31481112322586946
ACH-000099,-0.24850230453974664
ACH-000108,-0.3752790821031884
ACH-000113,-0.19801111892799125
ACH-000116,-0.3263346052891093
ACH-000118,-0.33402538752776195
ACH-000120,-0.4185020222085553
ACH-000123,-0.32566878854016323
ACH-000127,-0.3443713332801153
ACH-000128,-0.17873907068454914
ACH-000132,-0.2523473353055071
ACH-000133,-0.4650809454148174
ACH-000137,-0.3504130079237125
ACH-000138,-0.5897043787725875
ACH-000142,-0.29288893417337225
ACH-000143,-0.1352587165218359
ACH-000146,-0.223306069333082
ACH-000148,-0.3503646947963596
ACH-000150,-0.30318631943430546
ACH-000152,-0.3662070969590327
ACH-000153,-0.3098264681652984
ACH-000159,-0.3363449574182602
ACH-000160,-0.2339347446625671
ACH-000163,-0.4054910786169649
ACH-000167,-0.3647141438696851
ACH-000168,-0.20919074768697704
ACH-000169,-0.3230085128666446
ACH-000178,-0.19969446579706784
ACH-000183,-0.18979047486774106
ACH-000188,-0.3669276165437511
ACH-000189,-0.5517739907559951
ACH-000190,-0.2552896136101577
ACH-000198,-0.32135335414588345
ACH-000203,-0.5344707737444371
ACH-000204,-0.365410625252275
ACH-000206,-0.3444673165494282
ACH-000207,-0.2782154176874489
ACH-000208,-0.4475351521403307
ACH-000210,-0.6885739642997104
ACH-000211,-0.3577390672737919
ACH-000215,-0.3295927005167741
ACH-000221,-0.484030271980645
ACH-000222,-0.3191823542044445
ACH-000223,-0.24871905239732675
ACH-000226,-0.6601153444389928
ACH-000227,-0.3909204548339039
ACH-000228,-0.4861356807185772
ACH-000231,-0.3969771500310642
ACH-000232,-0.13242398329243724
ACH-000233,-0.22029613927181876
ACH-000234,-0.3593032097063077
ACH-000235,-0.5324020616169746
ACH-000237,-0.3877975399088018
ACH-000238,-0.5944954215602286
ACH-000242,-0.7074582153117644
ACH-000243,-0.4166432633744141
ACH-000244,0.05049263875003264
ACH-000246,-0.3777412523474528
ACH-000248,-0.21171631247194267
ACH-000250,-0.4682768509770489
ACH-000251,-0.3880234980355029
ACH-000252,-0.7203703310334835
ACH-000253,-0.8317911825380491
ACH-000255,-0.3512671780270866
ACH-000256,-0.2464472933926136
ACH-000257,-0.13763211203659134
ACH-000258,-0.29983929197656634
ACH-000259,-0.4079512262860967
ACH-000260,-0.29760508133911234
ACH-000261,-0.2390709596347093
ACH-000262,-0.3795199650524283
ACH-000263,-0.24095057425889999
ACH-000264,-0.4216687168181384
ACH-000265,-0.2384219019840959
ACH-000266,-0.4405013619432307
ACH-000272,-0.3478380231306553
ACH-000274,-0.3018753126964733
ACH-000277,-0.5497837999671367
ACH-000278,-0.3702009355159445
ACH-000279,-0.43956032781823184
ACH-000280,-0.3740337481953654
ACH-000281,-0.5607751071447185
ACH-000288,-0.33351866593202883
ACH-000291,-0.39075091256361744
ACH-000293,-0.2932196126890145
ACH-000294,-0.2828161941585089
ACH-000295,-0.378348030042464
ACH-000296,-0.4421948555843873
ACH-000302,-0.3369631342416593
ACH-000304,-0.6393506430167961
ACH-000307,-0.3208639091582829
ACH-000308,-0.3783093673659508
ACH-000310,-0.21921854966577786
ACH-000311,-0.30284225928537073
ACH-000312,-0.36492055012866426
ACH-000315,-0.1164444687549157
ACH-000316,-0.5244331133267345
ACH-000317,-0.38282230926478383
ACH-000318,-0.18454591104158447
ACH-000319,-0.3276718640312463
ACH-000320,-0.3390217120814207
ACH-000322,-0.4546080216503855
ACH-000323,-0.29640774725029195
ACH-000324,-0.3664014920284093
ACH-000329,-0.3606337590318226
ACH-000330,-0.17002310070028387
ACH-000331,-0.2633108879627707
ACH-000332,-0.5377186157563191
ACH-000334,-0.3355195683891385
ACH-000335,-0.06581061118889618
ACH-000336,0.05090592300085658
ACH-000337,-0.38892762785763696
ACH-000338,-0.278366262802365
ACH-000339,-0.3142453910721625
ACH-000341,-0.30569511490613205
ACH-000348,-0.493670173109766
ACH-000350,-0.6354750963830199
ACH-000352,-0.4705007219299071
ACH-000356,-0.430141293185206
ACH-000361,-0.06605898774335695
ACH-000362,-0.2535826198641144
ACH-000363,-0.24602604458810354
ACH-000364,-0.39956240673456855
ACH-000365,-0.14982463233633914
ACH-000366,-0.39628470490647055
ACH-000368,-0.2092556895464341
ACH-000374,-0.3725626748417133
ACH-000375,-0.2680174792356519
ACH-000376,-0.2938895996511676
ACH-000381,-0.6187336036866067
ACH-000383,-0.3600959688368904
ACH-000387,-0.3714659547408535
ACH-000389,-0.0934909417473331
ACH-000390,-0.3749192998650889
ACH-000393,-0.17670059592837206
ACH-000395,-0.3542726627383336
ACH-000396,-0.7828294997974312
ACH-000397,-0.4555310547438216
ACH-000401,-0.35018648375083256
ACH-000402,-0.2966226273827642
ACH-000403,-0.3813908415840608
ACH-000404,-0.35795686399276955
ACH-000406,-0.26207033781806405
ACH-000407,-0.3821789422717513
ACH-000408,-0.22774473673662535
ACH-000410,-0.3350244352766049
ACH-000411,-0.4023681677440349
ACH-000414,-0.2853937474394536
ACH-000415,-0.3922107802434343
ACH-000416,-0.3360608831947187
ACH-000420,-0.458958479983441
ACH-000421,-0.5769932910564293
ACH-000424,-0.48231861836692796
ACH-000425,-0.5130390488054519
ACH-000426,-0.3718417675989301
ACH-000427,-0.4073406762973845
ACH-000433,-0.4902012472881743
ACH-000435,-0.18227881458390965
ACH-000436,-0.2274007311805169
ACH-000444,-0.1247855276557141
ACH-000445,-0.44963615292979603
ACH-000448,-0.23419499844586344
ACH-000450,-0.2649178672089122
ACH-000452,-0.3045821830922543
ACH-000454,-0.2286945717625451
ACH-000458,-0.2791116525054917
ACH-000459,-0.1850543588125427
ACH-000460,-0.3126804658835828
ACH-000461,-0.3587415602362674
ACH-000463,-0.24545239791466755
ACH-000464,-0.4617398972793194
ACH-000466,-0.31365114647454195
ACH-000467,-0.6261744627539367
ACH-000468,-0.4623092521087698
ACH-000469,-0.23730570724175865
ACH-000470,-0.5203026436938307
ACH-000471,-0.4092042866637689
ACH-000472,-0.4672926116614477
ACH-000473,-0.2883114405843121
ACH-000475,-0.1928074940813271
ACH-000476,-0.34873679953632275
ACH-000477,-0.21922230753429486
ACH-000479,-0.12159544354198493
ACH-000480,-0.4132664577982463
ACH-000481,-0.3460879195563173
ACH-000483,-0.42682329764160903
ACH-000484,-0.12654700708463346
ACH-000485,-0.4499460598228165
ACH-000486,-0.43523559500531656
ACH-000487,-0.294243084538508
ACH-000488,-0.4700939797691514
ACH-000490,-0.20672215331266364
ACH-000491,-0.3512256767452135
ACH-000495,-0.2501899205588781
ACH-000496,-0.34748972317735205
ACH-000499,-0.3464457228902517
ACH-000500,-0.5419793278116772
ACH-000502,-0.5370557658755677
ACH-000503,-0.3757038434024592
ACH-000505,-0.3172784130492921
ACH-000507,-0.45991132125192
ACH-000510,-0.2669464784606449
ACH-000511,-0.30964369566093725
