,HIST1H3C (8352)
ACH-000004,-0.14835342944378502
ACH-000005,-0.049532002997372496
ACH-000007,-0.1141102669352644
ACH-000009,-0.07663119017077047
ACH-000011,-0.2564102473542282
ACH-000012,-0.2645044650522259
ACH-000013,-0.011847765434405973
ACH-000014,-0.21125224684546454
ACH-000015,-0.035539328163381324
ACH-000017,-0.2527191553095121
ACH-000018,-0.08954570596502491
ACH-000019,-0.3729481337866428
ACH-000021,-0.11056552311359452
ACH-000022,-0.224595640855518
ACH-000025,-0.3920783654719822
ACH-000028,-0.08770752809023392
ACH-000030,-0.14577206452142724
ACH-000035,-0.5328053815751184
ACH-000036,-0.1320295904213747
ACH-000037,-0.14297995955645548
ACH-000039,-0.2977969568074785
ACH-000040,-0.2674174661987737
ACH-000041,-0.2136484107361976
ACH-000042,-0.18156943900867448
ACH-000045,-0.188094886802269
ACH-000047,-0.1362258120401386
ACH-000052,-0.025919423465217244
ACH-000053,-0.13349079520938542
ACH-000054,-0.2689657952164565
ACH-000055,-0.2796621272036756
ACH-000060,-0.15779450496387806
ACH-000067,-0.5212898743450676
ACH-000070,-0.13650324625056734
ACH-000075,-0.31212069190119696
ACH-000078,-0.18952368648583676
ACH-000082,-0.4149605000291262
ACH-000085,-0.2987117057347909
ACH-000086,-0.34107983551323073
ACH-000087,-0.4401795498689358
ACH-000092,-0.16810575082667936
ACH-000095,-0.15182558941981286
ACH-000097,-0.019761705494848916
ACH-000098,-0.29134145090527985
ACH-000099,-0.14844843607391095
ACH-000108,-0.056947551259913125
ACH-000113,-0.3746082806951861
ACH-000116,-0.2512009273599121
ACH-000118,-0.2199484049707985
ACH-000120,-0.22317195160170955
ACH-000123,-0.4500419201450758
ACH-000127,-0.19069566779004826
ACH-000128,-0.13755395216359068
ACH-000132,-0.049537622197379914
ACH-000133,-0.22473416487060088
ACH-000137,0.032946291939184795
ACH-000138,-0.16878894420284138
ACH-000142,-0.08088290194559633
ACH-000143,-0.03328433726579812
ACH-000146,-0.2432217960871346
ACH-000148,-0.12662957579039258
ACH-000150,-0.11158966987187696
ACH-000152,-0.2695800039110685
ACH-000153,-0.08018796590165703
ACH-000159,-0.24074305415921654
ACH-000160,-0.3712498623919211
ACH-000163,-0.19280147100264308
