,KMT2B (9757)
ACH-000004,-0.2208988862667349
ACH-000005,-0.4308150424257405
ACH-000007,-0.30379412063955585
ACH-000009,-0.3552119071332641
ACH-000011,-0.2653296354540628
ACH-000012,-0.3119181425779797
ACH-000013,-0.6087794449591848
ACH-000014,-0.2768294198233124
ACH-000015,-0.3883888130999282
ACH-000017,-0.4658511692009903
ACH-000018,-0.4706245634222037
ACH-000019,-0.4726728990951531
ACH-000021,-0.1731325192629541
ACH-000022,-0.30600893525084444
ACH-000025,-0.3686813054176249
ACH-000028,-0.39082144278673786
ACH-000030,-0.3090739019515821
ACH-000035,-0.4531248404668704
ACH-000036,-0.3213036533646351
ACH-000037,-0.3790510930538624
ACH-000039,-0.2595939312113977
ACH-000040,-0.1549650976029434
ACH-000041,-0.315099220677597
ACH-000042,-0.279448178369315
ACH-000045,-0.3534541215464273
ACH-000047,-0.18522814027612705
ACH-000052,-0.3729627000840954
ACH-000053,-0.2937512758925953
ACH-000054,-0.19178979926809345
ACH-000055,-0.21118957281097006
ACH-000060,-0.4072091032998043
ACH-000067,-0.2269789693211568
ACH-000070,-0.3187746829527134
ACH-000075,-0.18348919721853765
ACH-000078,-0.2531715049808104
ACH-000082,-0.09756898656603802
ACH-000085,-0.5441354587831986
ACH-000086,-0.3887910675692993
ACH-000087,-0.15953982385530047
ACH-000092,-0.4950064526912098
ACH-000095,-0.21321705692226614
ACH-000097,-0.4863902876024042
ACH-000098,-0.46851519410289794
ACH-000099,-0.5203347116867773
ACH-000108,-0.2544927509500005
ACH-000113,-0.3763097969735797
ACH-000116,-0.06701712640241178
ACH-000118,-0.3924226925753702
ACH-000120,-0.058295266598691775
ACH-000123,-0.4029583486238797
ACH-000127,-0.1509974273868585
ACH-000128,-0.2608631527984221
ACH-000132,-0.18777422415599052
ACH-000133,-0.3432077133437903
ACH-000137,-0.3508372334348411
ACH-000138,-0.401062462970158
ACH-000142,-0.2536463615781776
ACH-000143,-0.2892063615590378
ACH-000146,-0.221107815337937
ACH-000148,-0.17544595079647596
ACH-000150,-0.4687146061913639
ACH-000152,-0.2717806851969566
ACH-000153,-0.3507155929581073
ACH-000159,-0.2628863984212452
ACH-000160,-0.018720804904701613
ACH-000163,-0.10739529453820994
ACH-000167,0.5642013136124744
ACH-000168,-0.19487290379448116
ACH-000169,0.03292152347160833
ACH-000178,-0.3016612620548247
ACH-000183,-0.2496024037319881
ACH-000188,-0.2796376123584929
ACH-000189,-0.2145944157848323
ACH-000190,0.19479086242347646
ACH-000198,-0.3912556121227296
ACH-000203,-0.3541469477957448
ACH-000204,-0.1990545668791414
ACH-000206,-0.2973268324114681
ACH-000207,-0.15915236365450844
ACH-000208,-0.6254233456387641
ACH-000210,-0.13205911638436832
ACH-000211,-0.3218091451434018
ACH-000215,-0.32376846538269266
ACH-000221,-0.3789863627532357
ACH-000222,-0.1010265810287846
ACH-000223,-0.27065940798386584
ACH-000226,-0.2994440626573519
ACH-000227,-0.2435154155437307
ACH-000228,-0.27116304306180017
ACH-000231,-0.016749032839355485
ACH-000232,-0.403543729445104
ACH-000233,-0.2190625264178812
ACH-000234,-0.5513871939963454
ACH-000235,-0.32319836038637606
ACH-000237,-0.1636175441137188
ACH-000238,-0.181176664637488
ACH-000242,-0.07928325912344461
ACH-000243,-0.21981055285612716
ACH-000244,-0.11670691705404004
ACH-000246,-0.2733929677430029
ACH-000248,-0.4245304604749275
ACH-000250,-0.27209434434884344
ACH-000251,-0.2307216862822778
ACH-000252,-0.2526047525999986
ACH-000253,-0.3947653033017621
ACH-000255,-0.4676355379644421
ACH-000256,-0.08905548398053957
ACH-000257,-0.17644980927588502
ACH-000258,-0.18131006918121872
ACH-000259,-0.3085082610263299
ACH-000260,-0.31466022421706386
ACH-000261,-0.21443306116312505
ACH-000262,-0.4531033968953158
ACH-000263,-0.30854857151177817
ACH-000264,-0.3930219847545836
ACH-000265,-0.4158767358627614
ACH-000266,-0.3660500465153107
ACH-000272,-0.2296165885421003
ACH-000274,-0.30227194847708344
ACH-000277,-0.014614546270638613
ACH-000278,-0.22933711877977114
ACH-000279,-0.2432240249376296
ACH-000280,-0.38463552436871257
ACH-000281,-0.32900599796319124
ACH-000288,-0.09605140953011056
ACH-000291,-0.2178381972194512
ACH-000293,-0.4249572160363612
ACH-000294,-0.1907737266949076
ACH-000295,-0.3298065704069821
ACH-000296,-0.38036004962617337
ACH-000302,-0.5073688326989745
ACH-000304,-0.0657644761618032
ACH-000307,-0.2573012377870562
ACH-000308,-0.3546793723447517
ACH-000310,-0.2116873942425243
ACH-000311,-0.2889642291880307
ACH-000312,-0.1834630764269934
ACH-000315,-0.3666487966130593
ACH-000316,-0.11420732864446567
ACH-000317,-0.3045638093441438
ACH-000318,-0.524514223485564
ACH-000319,-0.2904299450630272
ACH-000320,-0.11027429957193917
ACH-000322,-0.3628291655095779
ACH-000323,-0.19733266167067615
ACH-000324,-0.31203449365816555
ACH-000329,-0.2582435545610145
ACH-000330,-0.418479457609915
ACH-000331,-0.2335766320838521
ACH-000332,-0.32281327099885715
ACH-000334,-0.221359279993046
ACH-000335,-0.00995065086636863
ACH-000336,-0.3982900243083947
ACH-000337,-0.2921849480034053
ACH-000338,-0.5777327295685589
ACH-000339,-0.2513840993926956
ACH-000341,-0.16413644391255347
ACH-000348,-0.21066816672104507
ACH-000350,-0.4064028059713966
ACH-000352,-0.3194432415739161
