,OR1E2 (8388)
ACH-000004,-0.3738126106082837
ACH-000005,-0.14653091600904836
ACH-000007,-0.4484820468647269
ACH-000009,-0.5112690449219739
ACH-000011,-0.2451144308953565
ACH-000012,-0.2496456083700322
ACH-000013,-0.3516433087846781
ACH-000014,-0.031133513625347317
ACH-000015,-0.3591700077660545
ACH-000017,-0.3381742271894349
ACH-000018,-0.3835693915974801
ACH-000019,-0.4191412585843584
ACH-000021,-0.3809197346781512
ACH-000022,-0.2690987838941032
ACH-000025,-0.1921996412669181
ACH-000028,-0.3831038318800351
ACH-000030,-0.3664548680266274
ACH-000035,-0.2420833642471647
ACH-000036,-0.5712850355729352
ACH-000037,-0.3041957173912273
ACH-000039,-0.4861782121179176
ACH-000040,-0.4305790384725197
ACH-000041,-0.4583398259682286
ACH-000042,-0.35455989694170603
ACH-000045,-0.4273753774256967
ACH-000047,-0.39270806047688506
ACH-000052,-0.27372293343472043
ACH-000053,-0.26012026776452224
ACH-000054,-0.3503488046324085
ACH-000055,-0.3671269770443095
ACH-000060,-0.3546823715646004
ACH-000067,-0.389029892462302
ACH-000070,-0.1044645383593684
ACH-000075,-0.3829649590417791
ACH-000078,-0.6531318170754856
ACH-000082,-0.4104347059514803
ACH-000085,-0.4429878813753824
ACH-000086,-0.2935358656226596
ACH-000087,-0.40555931490984254
ACH-000092,-0.29625115115440115
ACH-000095,-0.5022842208352694
ACH-000097,-0.4076786552761404
ACH-000098,-0.25146668446625103
ACH-000099,-0.5755082955743946
ACH-000108,-0.38303591767726025
ACH-000113,-0.3869884946524085
ACH-000116,-0.4681211602945977
ACH-000118,-0.24885992999814185
ACH-000120,-0.4500811081790281
ACH-000123,-0.4418933442301887
ACH-000127,-0.5178544499378274
ACH-000128,-0.5049590902625712
ACH-000132,-0.4026176829864111
ACH-000133,-0.4255321189514834
ACH-000137,-0.3715262454301614
ACH-000138,-0.2800420132948177
ACH-000142,-0.3634856460901311
ACH-000143,-0.24385263763613854
ACH-000146,-0.2908670486075872
ACH-000148,-0.24030982247329605
ACH-000150,-0.36789193050643576
ACH-000152,-0.4915653947541945
ACH-000153,-0.27394846119878075
ACH-000159,-0.3875127042831037
ACH-000160,-0.2870353098775006
ACH-000163,-0.22075506377006715
ACH-000167,-0.09343063714407568
ACH-000168,-0.251788130526341
ACH-000169,-0.30231670687904605
ACH-000178,-0.4096956506865237
ACH-000183,-0.1765618520145547
ACH-000188,-0.4362153314091119
ACH-000189,-0.3919434558832204
ACH-000190,-0.3663129565468846
ACH-000198,-0.4676605433790002
ACH-000203,-0.4189586839811346
ACH-000204,-0.2669537744574532
ACH-000206,-0.4312289781323073
ACH-000207,-0.5997366427885354
ACH-000208,-0.3229097438157428
ACH-000210,-0.3406963195284001
ACH-000211,-0.25176438975812165
ACH-000215,-0.2667211574885892
ACH-000221,-0.2606740223495119
ACH-000222,-0.1817856427507354
ACH-000223,-0.40188209338313297
