,CDC14A (8556)
ACH-000004,-0.2528611594101823
ACH-000005,-0.04083708492846516
ACH-000007,0.03788350498067501
ACH-000009,-0.016961996381106084
ACH-000011,0.024462883751971868
ACH-000012,0.0769323086736454
ACH-000013,0.004592860776661521
ACH-000014,0.06769157926376554
ACH-000015,-0.0028343459338231658
ACH-000017,-0.0012413432018043575
ACH-000018,-0.02434136094430937
ACH-000019,-0.0867493236531619
ACH-000021,-0.011808115129609451
ACH-000022,0.06498005227134772
ACH-000025,-0.2707205093366555
ACH-000028,-0.10797176455939117
ACH-000030,-0.05260678343555788
ACH-000035,-0.2360239815578094
ACH-000036,-0.02838826375033776
ACH-000037,0.07911230277980896
ACH-000039,-0.0332250140687534
ACH-000040,-0.05892303457301532
ACH-000041,-0.1019203400881751
ACH-000042,0.06509366698862211
ACH-000045,0.052342078889045365
ACH-000047,-0.006590720994376056
ACH-000052,-0.21920797436148906
ACH-000053,0.020081726292672686
ACH-000054,-0.03608565884613387
ACH-000055,0.13051250207647733
ACH-000060,0.01897441650496785
ACH-000067,-0.17028173645756742
ACH-000070,0.006168443641390809
ACH-000075,-0.17267869917703593
ACH-000078,0.030215630093330382
ACH-000082,-0.0291885868453492
ACH-000085,-0.1651795922261608
ACH-000086,-0.14200194472560682
ACH-000087,0.06777368992127063
ACH-000092,-0.16478985753230765
ACH-000095,-0.13002595397822644
ACH-000097,-0.00952991959172698
ACH-000098,-0.05157930625118138
ACH-000099,-0.03935013516216415
ACH-000108,0.09483593728511444
ACH-000113,0.058452317853105326
ACH-000116,0.00826879319854155
ACH-000118,-0.06946461949604292
ACH-000120,0.06592664233049281
ACH-000123,-0.008936399540032848
ACH-000127,-0.03722156644132036
ACH-000128,-0.003935918116840398
ACH-000132,-0.029926105983887667
ACH-000133,-0.05192063991467074
ACH-000137,-0.21809431197911752
ACH-000138,0.01939227701877404
ACH-000142,0.03252025699385893
ACH-000143,-0.004318045387916974
ACH-000146,-0.004875384649251748
ACH-000148,-0.06292921871176038
ACH-000150,-0.013087680465462454
ACH-000152,-0.08235198986986011
ACH-000153,0.08382753170119253
ACH-000159,-0.053496365258533664
ACH-000160,-0.013736044243957576
ACH-000163,-0.09939354124273768
ACH-000167,-0.24200685406216635
ACH-000168,0.06704235810087221
ACH-000169,-0.0706542779607993
ACH-000178,0.014936753103301744
ACH-000183,0.13175836942894562
ACH-000188,0.045261370537382085
ACH-000189,0.14036526254888015
ACH-000190,-0.2169934828123357
ACH-000198,0.02534750202071049
ACH-000203,0.30305472871391737
ACH-000204,0.09074978173286248
ACH-000206,-0.06986072063968103
ACH-000207,-0.06056849010802087
ACH-000208,-0.09003721493474423
ACH-000210,0.032203730025641385
