,PVR (5817)
ACH-000004,-0.15025908587913692
ACH-000005,0.09288956564612624
ACH-000007,0.022036819584750133
ACH-000009,-0.04967197695500113
ACH-000011,-0.01590458508794774
ACH-000012,-0.07779609404133925
ACH-000013,-0.13847946464643374
ACH-000014,-0.059956657868952365
ACH-000015,-0.20210242671299053
ACH-000017,-0.07066980533064066
ACH-000018,-0.012712035663413213
ACH-000019,-0.1800467111094099
ACH-000021,-0.21551688656197585
ACH-000022,-0.05203015266346258
ACH-000025,-0.032291713867048565
ACH-000028,-0.1992799261425504
ACH-000030,-0.09741238097111753
ACH-000035,-0.16018313158076533
ACH-000036,-0.05010913265174365
ACH-000037,-0.02613640613472587
ACH-000039,0.07277209852214793
ACH-000040,0.13199466093448928
ACH-000041,-0.10822008985959963
ACH-000042,-0.10378409190686866
ACH-000045,-0.2135206553181883
ACH-000047,-0.04479773293002216
ACH-000052,-0.28615995446104936
ACH-000053,-0.1867717844674961
ACH-000054,0.0003140576911100352
ACH-000055,-0.11799845166548065
ACH-000060,-0.08903624960353558
ACH-000067,0.17917284619585916
ACH-000070,-0.05283588666521431
ACH-000075,-0.18494179004243996
ACH-000078,-0.12766702890586565
ACH-000082,-0.0053718015602521275
ACH-000085,-0.20265152358044847
ACH-000086,-0.2006624065408814
ACH-000087,0.02474917977747788
ACH-000092,-0.09473587220238763
ACH-000095,-0.006329520776329915
ACH-000097,-0.008988774257748244
ACH-000098,-0.178842932087452
ACH-000099,-0.18471887441170048
ACH-000108,-0.07193244797699402
ACH-000113,-0.13144091425456844
ACH-000116,-0.0572043595705245
ACH-000118,-0.08973160611912705
ACH-000120,-0.1450528845287764
ACH-000123,-0.12325704403723925
ACH-000127,-0.09036550558687388
ACH-000128,-0.1438344495691023
ACH-000132,-0.07195649190622624
ACH-000133,-0.027075536587039536
ACH-000137,-0.07755910325878586
ACH-000138,-0.11642004759794446
ACH-000142,-0.0840838158814789
ACH-000143,0.09402517091006693
ACH-000146,-0.03764181368458466
ACH-000148,-0.022578494268497142
ACH-000150,-0.10681384490859536
ACH-000152,-0.01235116475413698
ACH-000153,-0.01947309613181273
ACH-000159,-0.06384292098065597
ACH-000160,-0.08803972611521507
ACH-000163,-0.11108992769908513
ACH-000167,-0.04241570582456322
ACH-000168,-0.2663942631828549
ACH-000169,-0.007153159119080913
ACH-000178,-0.030566365964665845
ACH-000183,-0.02079957577855944
ACH-000188,0.013620720662191823
ACH-000189,-0.2551698889847529
ACH-000190,-0.2282972513182194
ACH-000198,-0.02215936142617477
ACH-000203,0.17773884819010793
ACH-000204,-0.03241770605801629
ACH-000206,-0.14204546292923192
ACH-000207,-0.17313148321412414
ACH-000208,-0.2345592193197577
ACH-000210,-0.2468099835104487
ACH-000211,-0.059433465401815086
ACH-000215,-0.08680213018488156
ACH-000221,-0.21315076560134533
ACH-000222,-0.06106078450157626
ACH-000223,0.001500794106896354
ACH-000226,-0.04271262726264771
ACH-000227,-0.1461911734217374
ACH-000228,0.003113142761566908
ACH-000231,-0.09524886946343797
ACH-000232,-0.059422886311793315
ACH-000233,-0.014596284724280375
ACH-000234,-0.00020012742506812727
ACH-000235,-0.06836619448136165
ACH-000237,-0.09250840101849332
ACH-000238,0.024029002579276388
ACH-000242,-0.22590096368775775
ACH-000243,-0.08203842493794486
ACH-000244,-0.06383708443981359
ACH-000246,-0.054734035295338775
ACH-000248,-0.14785642647881508
ACH-000250,-0.07270835891531857
ACH-000251,0.0448714374697874
ACH-000252,0.043611061799158565
ACH-000253,-0.04838935412058031
ACH-000255,-0.1378986720319604
ACH-000256,-0.20078741111576856
ACH-000257,-0.1135306507096754
ACH-000258,-0.15334053846259685
ACH-000259,-0.08161079359542127
ACH-000260,-0.11645906894953145
ACH-000261,-0.07895260663378738
ACH-000262,-0.22172567764744772
ACH-000263,0.035396483606150164
ACH-000264,-0.06086416336425225
ACH-000265,-0.12784707810998322
ACH-000266,-0.17138512508348305
ACH-000272,-0.031696492066222
ACH-000274,-0.0387698783981968
ACH-000277,-0.024446824769546682
ACH-000278,-0.04470547432112629
ACH-000279,-0.054871328871359766
ACH-000280,-0.16289605721639475
ACH-000281,-0.06386385582427792
ACH-000288,0.009545799045488556
ACH-000291,-0.15337001091978547
ACH-000293,-0.15920809790370646
ACH-000294,-0.09471084281672697
ACH-000295,0.02117200055023616
ACH-000296,-0.05988845490751608
ACH-000302,-0.3096277120869701
ACH-000304,-0.0352503389651523
ACH-000307,-0.08925632086640696
ACH-000308,-0.11933058225104763
ACH-000310,-0.03339359059975519
ACH-000311,-0.11108396636682813
ACH-000312,-0.08523549788112476
ACH-000315,-0.1800828351852055
ACH-000316,0.02465159700994464
ACH-000317,0.14605696633770315
ACH-000318,-0.1840614342460304
ACH-000319,-0.1499889445606175
ACH-000320,-0.1272380225115943
ACH-000322,-0.04350332706122335
ACH-000323,-0.10377788724310902
ACH-000324,-0.034844942003255344
ACH-000329,-0.1334232558189435
ACH-000330,-0.09145721221532263
ACH-000331,0.07905473969300242
ACH-000332,-0.140266540002065
ACH-000334,0.011289203954632272
ACH-000335,-0.042834488802744736
ACH-000336,0.004530860937291175
ACH-000337,0.02892802014608108
ACH-000338,0.3972107398813317
ACH-000339,-0.041865791645421424
ACH-000341,-0.0027219428210293662
ACH-000348,-0.04502932858727428
ACH-000350,-0.06381962083155199
ACH-000352,0.012266039526939807
ACH-000356,-0.05115110469113025
ACH-000361,-0.02795631885048573
ACH-000362,-0.05711842384503508
ACH-000363,-0.06942395846867627
ACH-000364,-0.2981167971099163
ACH-000365,-0.06934352535037061
ACH-000366,-0.2626682650450017
ACH-000368,0.024074589672881768
ACH-000374,0.0071706799198640045
ACH-000375,-0.15321196395227454
ACH-000376,-0.11487206509714325
ACH-000381,-0.026748938388927758
ACH-000383,-0.09195228839499413
ACH-000387,0.004659547972161739
ACH-000389,0.010518655272731284
ACH-000390,-0.15942489518325187
ACH-000393,-0.14047905934790228
ACH-000395,-0.14834335695647
ACH-000396,-0.1999850629546316
ACH-000397,-0.007509945258575516
ACH-000401,-0.08464318195827987
ACH-000402,-0.06125350102787235
ACH-000403,-0.055773582969773125
ACH-000404,-0.22473466410071802
ACH-000406,0.0011858038378561018
ACH-000407,-0.11796731216062888
ACH-000408,-0.32757988266052324
ACH-000410,-0.05199128292077465
ACH-000411,-0.09675026026881156
ACH-000414,-0.15100196600159638
ACH-000415,-0.10642751081777724
ACH-000416,-0.06713348743082022
ACH-000420,0.014227974251406338
ACH-000421,-0.06336144100965742
ACH-000424,-0.020984157073624558
ACH-000425,-0.14022736204573544
ACH-000426,0.025201980154988868
ACH-000427,-0.0182377793979662
ACH-000433,-0.02431073853461818
ACH-000435,0.0309460577309076
ACH-000436,-0.08966735594510271
ACH-000444,-0.043634722072637286
ACH-000445,-0.1421586020149402
ACH-000448,-0.1441487404232855
ACH-000450,-0.14251243109383005
ACH-000452,-0.1555443224216076
ACH-000454,0.052103675816975635
ACH-000458,-0.03519335660964685
ACH-000459,0.043961363333985766
ACH-000460,-0.10174435757012187
ACH-000461,-0.1109283881669399
ACH-000463,-0.050117911679817655
ACH-000464,0.038494996495499666
ACH-000466,0.027705972722794042
ACH-000467,-0.05785448271946029
ACH-000468,-0.10082760898208484
ACH-000469,-0.1040962713638275
ACH-000470,-0.07599925294651501
ACH-000471,0.0006762000324234457
ACH-000472,-0.14422072011713813
ACH-000473,-0.03126793057512644
ACH-000475,-0.03492154377532137
ACH-000476,-0.056431460044299525
ACH-000477,-0.025898013711351014
ACH-000479,-0.14232911165922338
ACH-000480,0.04707279405247262
ACH-000481,-0.11593030734446405
ACH-000483,0.13073777143196008
ACH-000484,-0.14064815371817918
ACH-000485,-0.042218489252657386
ACH-000486,-0.16964633519235192
ACH-000487,-0.07801220472930133
ACH-000488,0.01617345106308735
ACH-000490,-0.0838302547912151
ACH-000491,-0.08855900894000335
ACH-000495,0.014960621320165825
ACH-000496,-0.035794898378229044
ACH-000499,-0.1735417233572927
ACH-000500,-0.2991591033400036
ACH-000502,-0.10248259160464092
ACH-000503,0.041137454717533696
ACH-000505,-0.02157145130573991
ACH-000507,-0.042659050783946766
ACH-000510,-0.25264156249761266
ACH-000511,-0.12267078697474496
ACH-000512,-0.09720137740158584
ACH-000516,-0.047678229547235725
ACH-000517,-0.18324434440133155
ACH-000518,-0.18566257184773907
ACH-000520,-0.10679857078822444
ACH-000521,-0.03908524890614822
ACH-000522,-0.050765094507518455
ACH-000524,-0.053036200575649534
ACH-000527,-0.09704828554509552
ACH-000528,-0.035796076994403195
ACH-000537,-0.06566815990875395
ACH-000541,-0.41324179223212015
ACH-000542,0.007167201380836282
ACH-000544,-0.043162953930866735
ACH-000545,-0.14048058323647405
ACH-000547,-0.17766625064719396
ACH-000548,-0.061510259164802725
ACH-000549,-0.10162033960299914
ACH-000550,0.039214219055681336
ACH-000552,-0.2339352368121433
ACH-000556,-0.21822899749313446
ACH-000557,-0.14578654144429032
ACH-000569,0.0910925685522842
ACH-000570,-0.14443054326747073
ACH-000571,-0.09804043234739176
ACH-000573,-0.07898295443045078
ACH-000576,-0.09071736053621078
ACH-000579,-0.04933615695312382
ACH-000580,-0.050707509789668835
ACH-000584,-0.051885960634225736
ACH-000585,-0.1156621217597766
ACH-000588,0.026024100482460462
ACH-000589,-0.1926562361058635
ACH-000591,-0.008602011126575434
ACH-000593,-0.09739752819986784
ACH-000600,-0.02052599504785971
ACH-000601,-0.08065012332936533
ACH-000605,-0.14552035440842107
ACH-000606,-0.09562281007945624
ACH-000608,-0.14820455737152566
ACH-000614,-0.05012688278794635
ACH-000616,-0.17886525971249265
ACH-000618,-0.07058663335115986
ACH-000619,0.11990010344180503
ACH-000620,-0.1768233404604818
ACH-000621,-0.15154734471935447
ACH-000622,-0.049223658514395516
ACH-000623,-0.09077621584900727
ACH-000624,-0.055434081562638585
ACH-000627,-0.096232976649034
ACH-000630,-0.09240747658354977
ACH-000631,0.009469640488770262
ACH-000632,-0.016247513343309476
ACH-000633,-0.04959738806375298
ACH-000637,-0.2582693956970393
ACH-000638,-0.07815597305431783
