,NGDN (25983)
ACH-000004,-0.2269761179545208
ACH-000005,-0.13734993423958028
ACH-000007,-0.09573369496986887
ACH-000009,-0.16962915674055262
ACH-000011,-0.2727367963693511
ACH-000012,-0.22800617951908056
ACH-000013,-0.1446185740125515
ACH-000014,0.00856909482891233
ACH-000015,-0.10057024302787868
ACH-000017,-0.26859455331807874
ACH-000018,-0.5017228872566756
ACH-000019,-0.2509489006766113
ACH-000021,-0.09395843483064284
ACH-000022,-0.21605177846188006
ACH-000025,-0.2986278462166013
ACH-000028,-0.17341308124615026
ACH-000030,-0.2954244985680758
ACH-000035,-0.3792482663916626
ACH-000036,-0.3946824364007071
ACH-000037,-0.15177465169355406
ACH-000039,-0.2865797083469239
ACH-000040,-0.2258168437366116
ACH-000041,-0.1950654871791948
ACH-000042,-0.05437218781628365
ACH-000045,-0.2407952878072371
ACH-000047,-0.5452114956095272
ACH-000052,-0.29740476779479746
ACH-000053,-0.23908038226958456
ACH-000054,-0.13499207839286922
ACH-000055,-0.22281589765705972
ACH-000060,-0.4724523836527862
ACH-000067,-0.3078394747332765
ACH-000070,-0.48698717279405496
ACH-000075,-0.3199022635758509
ACH-000078,-0.023019950375001184
ACH-000082,-0.20470400455823126
ACH-000085,-0.2042493903875707
ACH-000086,-0.38912002240490173
ACH-000087,-0.20787184987627375
ACH-000092,-0.32582149924997383
ACH-000095,-0.12627305458008148
ACH-000097,-0.36476377514294345
ACH-000098,-0.3190215333778054
ACH-000099,-0.07382374637530334
ACH-000108,-0.26653908686437444
ACH-000113,-0.044851310530019006
ACH-000116,-0.14061414721047233
ACH-000118,-0.12282266253379545
ACH-000120,-0.17767963809223902
ACH-000123,-0.19882773245383129
ACH-000127,-0.6682541088496478
ACH-000128,-0.028733991818390963
ACH-000132,-0.3493314966942607
ACH-000133,-0.06214810126415465
ACH-000137,-0.25342805561130266
ACH-000138,-0.007686307019058255
ACH-000142,-0.15170504048325115
ACH-000143,-0.14140386058393994
ACH-000146,-0.009938765741901095
ACH-000148,-0.25125198891771394
ACH-000150,-0.6606290643668938
ACH-000152,-0.20214475550459507
ACH-000153,-0.16675388727870058
ACH-000159,-0.496801091273669
ACH-000160,-0.2390498887221012
ACH-000163,-0.2262255143576133
ACH-000167,-0.11359497081619616
ACH-000168,-0.3876700267792365
ACH-000169,-0.21932953730134774
ACH-000178,-0.2349168268202529
ACH-000183,-0.09599189734512492
ACH-000188,-0.2669368858374083
ACH-000189,-0.6781643675213321
ACH-000190,-0.24273038654930185
ACH-000198,-0.3289058902729453
ACH-000203,-0.2790856680475831
ACH-000204,-0.2312053318908313
ACH-000206,-0.4064341385021478
ACH-000207,-0.2464134627627825
ACH-000208,-0.2799922238583349
ACH-000210,-0.32266475146098816
ACH-000211,-0.14171067112975413
ACH-000215,-0.20557274666342773
ACH-000221,-0.03309996332694783
ACH-000222,-0.1238428045862234
ACH-000223,-0.033736761479763094
ACH-000226,-0.4070292797749576
ACH-000227,-0.18317793829716092
ACH-000228,-0.35017027019529323
ACH-000231,-0.4495853054677383
ACH-000232,-0.2782199060950961
ACH-000233,-0.05373055345357492
ACH-000234,-0.16900312348362573
ACH-000235,-0.14669044074194065
ACH-000237,-0.0917603404625508
ACH-000238,-0.15231167807035875
ACH-000242,-0.4312546285140095
ACH-000243,-0.3007340251286568
ACH-000244,-0.4074946343318332
ACH-000246,-0.5335241307108465
ACH-000248,-0.32272113425954435
ACH-000250,-0.8103462211568181
ACH-000251,-0.201581445666405
ACH-000252,-0.2119518943913896
ACH-000253,-0.05613671267844803
ACH-000255,-0.431165863499588
ACH-000256,-0.16652424822477424
ACH-000257,-0.3190563369014327
ACH-000258,-0.27158541463635777
ACH-000259,-0.19947152617042527
ACH-000260,-0.2540935188715099
ACH-000261,-0.31556310503077145
ACH-000262,-0.19426843847773195
ACH-000263,-0.3371663208315686
ACH-000264,-0.12130090459792055
ACH-000265,-0.2225281764104817
ACH-000266,-0.17558780815657998
ACH-000272,-0.3499596261894393
ACH-000274,-0.17180108092629628
ACH-000277,-0.1691628942126828
ACH-000278,-0.2752980517083449
ACH-000279,-0.10124180734567126
ACH-000280,-0.2982779054460243
ACH-000281,-0.2543416056231731
ACH-000288,-0.3065202421671039
ACH-000291,-0.28847638928459435
ACH-000293,-0.4372883608136823
ACH-000294,-0.010444361024476
ACH-000295,-0.7672959322928263
ACH-000296,-0.28314219506881955
ACH-000302,-0.10354755550714384
ACH-000304,-0.152270817432407
ACH-000307,-0.4808250329433284
ACH-000308,-0.10052094564115513
ACH-000310,-0.2599881601543033
ACH-000311,-0.4844169515744367
ACH-000312,-0.08088084525300407
ACH-000315,-0.07086930603718912
ACH-000316,-0.17055675281113666
ACH-000317,-0.8922783624227059
ACH-000318,-0.3031416767500821
ACH-000319,-0.4943233640852537
ACH-000320,-0.4979842870150657
ACH-000322,-0.16159617743078455
ACH-000323,-0.185148480377588
ACH-000324,-0.24328624273644625
ACH-000329,-0.05868439024794655
ACH-000330,-0.3411256302459401
ACH-000331,-0.3807688853896817
ACH-000332,-0.1940084441539837
ACH-000334,-0.34611403147150444
ACH-000335,-0.2646988912194596
ACH-000336,-0.14683500301145178
ACH-000337,-0.3530566675567311
ACH-000338,-0.1506966019155538
ACH-000339,-0.2708942875021434
ACH-000341,-0.2781692048430034
ACH-000348,-0.09252522851333306
ACH-000350,-0.04835119929672517
ACH-000352,-0.2406638226450539
ACH-000356,-0.28776995984734244
ACH-000361,-0.359940722980081
ACH-000362,-0.13010155513516347
ACH-000363,-0.16806053888827258
ACH-000364,-0.07852529672162087
ACH-000365,-0.222325752798616
ACH-000366,-0.2238593121289646
ACH-000368,-0.18742419095292154
ACH-000374,-0.17972578655464974
ACH-000375,-0.3021050814459236
ACH-000376,-0.3103541794638605
ACH-000381,-0.4376699666931872
ACH-000383,-0.5527768644804691
ACH-000387,-0.027960024580414085
ACH-000389,-0.6110225964894558
ACH-000390,-0.6600955289890461
ACH-000393,-0.2975907109987645
ACH-000395,-0.19004142317215875
ACH-000396,-0.2574348182931427
ACH-000397,-0.3077951321508252
ACH-000401,-0.13205180762908314
ACH-000402,0.032949734838165684
ACH-000403,-0.2637758025936437
ACH-000404,-0.4619043732120263
ACH-000406,-0.09948280849605264
ACH-000407,-0.14082937406738275
ACH-000408,-0.2844334184181841
ACH-000410,-0.037465674438795435
ACH-000411,-0.2852317993541406
ACH-000414,-0.1553511368317832
ACH-000415,-0.6636405376066112
ACH-000416,-0.25708077709059074
ACH-000420,-0.32579975096609554
ACH-000421,-0.2359399879560013
ACH-000424,-0.33986964420661475
ACH-000425,-0.13659654223855303
ACH-000426,-0.2569096077351073
ACH-000427,-0.11531482967810243
ACH-000433,-0.5313347653147932
ACH-000435,-0.8368889233569059
ACH-000436,-0.3079995099004083
ACH-000444,-0.178047605191918
ACH-000445,-0.6196225764119356
ACH-000448,-0.23405354337225326
ACH-000450,-0.1703545452696887
ACH-000452,-0.1330851474918788
ACH-000454,-0.3113459140302016
ACH-000458,-0.217689856390688
ACH-000459,-0.12273030613025075
ACH-000460,-0.20746004991419106
ACH-000461,-0.2246444957250692
ACH-000463,-0.19156365790587584
ACH-000464,-0.1316156242900458
ACH-000466,-0.2508826315040523
ACH-000467,-0.2455567875779084
ACH-000468,-0.11456823079523827
ACH-000469,-0.2085098815044661
ACH-000470,-0.4029037556208353
ACH-000471,-0.14269646729356766
ACH-000472,-0.1809570536806176
ACH-000473,-0.11257217669984716
ACH-000475,-0.3612535502583396
ACH-000476,-0.28889436354632203
ACH-000477,-0.10957430086405846
ACH-000479,-0.340469752482707
ACH-000480,-0.09016928705813362
ACH-000481,-0.2779118720319474
ACH-000483,-0.0327077510972165
ACH-000484,-0.1198005430133031
ACH-000485,-0.20634013734077966
ACH-000486,-0.2152298536995946
ACH-000487,-0.6563267228947363
ACH-000488,-0.5811494285612789
ACH-000490,-0.25962400094280397
ACH-000491,-0.20142366104360265
ACH-000495,-0.7321851488830199
ACH-000496,-0.3362741970952597
ACH-000499,-0.27395346810591154
ACH-000500,-0.08648710949831681
ACH-000502,-0.2644792975561509
ACH-000503,-0.18938861846354046
ACH-000505,-0.1797496432011751
ACH-000507,-0.2533690281684447
ACH-000510,-0.2488439574818099
ACH-000511,-0.6587981932625836
ACH-000512,-0.3630550836367292
ACH-000516,-0.29778702840453264
ACH-000517,-0.5769899765928144
ACH-000518,-0.2681112940990796
ACH-000520,-0.3593633094779231
ACH-000521,-0.0988299539521484
ACH-000522,-0.250078513697909
ACH-000524,-0.09051215877014593
ACH-000527,-0.4741761628350856
ACH-000528,-0.6518775682661136
ACH-000537,-0.047929803074831516
ACH-000541,-0.18305459980757266
ACH-000542,-0.2936345839678619
ACH-000544,-0.1929095551811444
ACH-000545,-0.3164995172511331
ACH-000547,-0.27881650239422234
ACH-000548,-0.5685129537978174
ACH-000549,-0.33620836668003634
ACH-000550,-0.2323459807691332
ACH-000552,-0.21804697495663009
ACH-000556,-0.31980943666627354
ACH-000557,-0.15465338842205764
ACH-000569,-0.17511213774857515
ACH-000570,-0.22375264842327228
ACH-000571,-0.16235400088615534
ACH-000573,-0.16226399828194032
ACH-000576,-0.0878578557213941
ACH-000579,-0.343103754729217
ACH-000580,-0.13920264952613154
ACH-000584,-0.15713247398951358
ACH-000585,-0.06465197763295093
ACH-000588,-0.12432824237119333
ACH-000589,-0.09698711706859107
ACH-000591,-0.2349290931246985
ACH-000593,-0.19749132065621855
ACH-000600,-0.3321389197024939
ACH-000601,-0.30107391734868705
ACH-000605,-0.28608351511960484
ACH-000606,-0.26941277413519626
ACH-000608,-0.16656512382510613
ACH-000614,-0.13870250150328509
ACH-000616,-0.2424802590761683
ACH-000618,-0.2583175373461812
ACH-000619,-0.2946040242884686
ACH-000620,-0.08218339756145207
ACH-000621,-0.01722351046251346
ACH-000622,-0.24307149776720074
ACH-000623,-0.5462853413016332
ACH-000624,-0.27999583702351505
ACH-000627,-0.5255091827538056
ACH-000630,-0.1426648732072326
ACH-000631,-0.17498585139473416
ACH-000632,-0.16037292121802454
ACH-000633,-0.1422980118236967
ACH-000637,-0.08269971272280974
ACH-000638,-0.1483642669316344
ACH-000646,-0.1960201359909228
ACH-000647,-0.17565405511351045
ACH-000648,-0.7470592546116536
ACH-000649,-0.2725133852667542
ACH-000651,-0.09647601156923112
ACH-000652,-0.22159420093750584
ACH-000653,-0.2421971578231581
ACH-000657,-0.30635021661539114
ACH-000658,-0.1603738613517107
ACH-000661,-0.06770620543825834
ACH-000662,-0.3769830230785639
ACH-000663,-0.2556791504406424
ACH-000665,-0.23941667432319835
ACH-000671,-0.06912649887360849
ACH-000672,-0.1710017048784644
ACH-000673,-0.29091785734914805
ACH-000676,-0.1643279725654267
ACH-000677,-0.031423306323002574
ACH-000681,-0.2003918629373464
ACH-000683,-0.4514348699774846
ACH-000684,-0.2520516642658437
ACH-000688,-0.18314582914086694
ACH-000693,-0.06428507510311975
ACH-000694,-0.12727138101708446
ACH-000695,-0.12111372763774428
ACH-000696,-0.36643839513620413
ACH-000697,-0.054499012893473885
ACH-000699,-0.1857778625230903
ACH-000701,-0.2546511496349579
ACH-000706,-0.21229437300454745
ACH-000711,-0.3514914483202466
ACH-000713,-0.23999192403851544
ACH-000714,-0.8587707446337081
ACH-000718,-0.3099342080258805
