,RASSF7 (8045)
ACH-000004,0.18130685269209051
ACH-000005,0.23132401783244555
ACH-000007,-0.28555114096006856
ACH-000009,-0.05914037351480578
ACH-000011,-0.010158277176386812
ACH-000012,0.10534430275250506
ACH-000013,0.0669048337608437
ACH-000014,0.07756945602906243
ACH-000015,0.0783258402023991
ACH-000017,0.06275071632648739
ACH-000018,0.13565090586190526
ACH-000019,0.3519233470228507
ACH-000021,0.02435211825703014
ACH-000022,0.05116677198788355
ACH-000025,0.09038434296648563
ACH-000028,-0.04393196902436392
ACH-000030,-0.02084591131156339
ACH-000035,0.11470874390601922
ACH-000036,-0.0368047858458558
ACH-000037,-0.011403798730654335
ACH-000039,-0.07783431395133651
ACH-000040,0.045424815463284064
ACH-000041,0.05300821633093459
ACH-000042,0.030703000095983937
ACH-000045,-0.035609331100950714
ACH-000047,-0.12252680201800578
ACH-000052,0.11874505532292265
ACH-000053,-0.051365257872600684
ACH-000054,-0.01978655566680413
ACH-000055,-0.18759031370838994
ACH-000060,-0.05402161230446408
ACH-000067,-0.0777085191872855
ACH-000070,0.041507195564113225
ACH-000075,-0.05516818546881095
ACH-000078,-0.10252256750667707
ACH-000082,0.08336325511271478
ACH-000085,0.4148204243419307
ACH-000086,0.12354598790023988
ACH-000087,0.1239837972895453
ACH-000092,-0.019573972755023167
ACH-000095,-0.012329915430578441
ACH-000097,-0.025167899652333944
ACH-000098,0.1076149436594038
ACH-000099,0.0048763263873614964
ACH-000108,-0.018066856108247452
ACH-000113,0.0431595155865596
ACH-000116,0.0023392485369993147
ACH-000118,0.08093245515216962
ACH-000120,-0.009789702204984615
ACH-000123,-0.007679813218045306
ACH-000127,0.04647026701728015
ACH-000128,0.06862181208141263
ACH-000132,0.02362141041513
ACH-000133,-0.027383936921369742
ACH-000137,-0.07520109321289549
ACH-000138,-0.04537358011326936
ACH-000142,-0.018648875134506037
ACH-000143,-0.008017954997174562
ACH-000146,0.051653892115929696
ACH-000148,-0.07931942628134588
ACH-000150,0.05271392603599818
ACH-000152,0.030138754303627124
ACH-000153,-0.03545499524787827
ACH-000159,-0.007187476900824933
ACH-000160,0.05700003816259053
ACH-000163,-0.04206992174552248
ACH-000167,-0.11494370630055535
ACH-000168,0.15335409418780616
ACH-000169,0.04053570220081218
ACH-000178,-0.03435017602518664
ACH-000183,-0.020808757845403168
ACH-000188,0.15396567514315668
ACH-000189,-0.16216323471350985
ACH-000190,0.1533130923071688
ACH-000198,0.1001236790793796
ACH-000203,-0.6016239081239597
ACH-000204,0.11696020486292112
ACH-000206,-0.0065083702425452
ACH-000207,0.05966861258507011
ACH-000208,-0.21752590963606494
