,HYPK (25764)
ACH-000004,-0.7968448721140877
ACH-000005,-0.7703731589294541
ACH-000007,-1.1453838909634315
ACH-000009,-0.8649927695209142
ACH-000011,-0.7368257131772994
ACH-000012,-0.6984400067303829
ACH-000013,-0.7639895806524021
ACH-000014,-0.6395377020548713
ACH-000015,-0.8681596271845091
ACH-000017,-0.7719705383575706
ACH-000018,-0.6697619040480415
ACH-000019,-0.666851065100135
ACH-000021,-0.6734583599050871
ACH-000022,-0.6631467629688731
ACH-000025,-0.9235549068393788
ACH-000028,-0.6131824374044549
ACH-000030,-0.7048978954064856
ACH-000035,-0.8457144622364341
ACH-000036,-0.8890208417347509
ACH-000037,-0.5994018404784517
ACH-000039,-0.5712775535796992
ACH-000040,-0.8707629026344313
ACH-000041,-0.677774572619319
ACH-000042,-0.6685664577246979
ACH-000045,-0.7156662774158141
ACH-000047,-0.8626659740933428
ACH-000052,-0.734727680757654
ACH-000053,-0.5699745075935364
ACH-000054,-0.5215804053708509
ACH-000055,-0.7570369379651216
ACH-000060,-0.5705470834110833
ACH-000067,-0.7340048647924072
ACH-000070,-0.5047935475747461
ACH-000075,-0.8557426058710224
ACH-000078,-0.6417447007895625
ACH-000082,-0.6085751718273323
ACH-000085,-0.6083051823155645
ACH-000086,-0.6338404970245861
ACH-000087,-0.7196354589982662
ACH-000092,-0.6608937929254941
ACH-000095,-0.6089866649654585
ACH-000097,-0.6940082428137034
ACH-000098,-0.7223775069890463
ACH-000099,-0.565361160041164
ACH-000108,-0.6233080087013061
ACH-000113,-0.6290501782499354
ACH-000116,-0.8454844603205247
ACH-000118,-0.7942558336768029
ACH-000120,-0.7192234048747795
ACH-000123,-0.5362985504206901
ACH-000127,-0.7433989420223999
ACH-000128,-0.5400681794073494
ACH-000132,-0.8836448287000185
ACH-000133,-0.6375645368847935
ACH-000137,-0.6626746890554102
ACH-000138,-0.6219132321335409
ACH-000142,-0.5897478487824379
ACH-000143,-0.8857656757195959
ACH-000146,-0.4790412577335986
ACH-000148,-1.0199846457314294
ACH-000150,-0.35192554495871864
ACH-000152,-0.7520369738784459
ACH-000153,-0.8020961186137086
ACH-000159,-0.7268461544505307
ACH-000160,-0.7423337449408888
ACH-000163,-0.8130238245258312
ACH-000167,-0.8796085463589194
ACH-000168,-0.6875644219994201
ACH-000169,-0.7829449953815084
ACH-000178,-0.7605394076402986
ACH-000183,-0.8778423855505321
ACH-000188,-0.7584510895544301
ACH-000189,-0.686352708782876
ACH-000190,-1.1157129007507591
ACH-000198,-0.7130636036875856
ACH-000203,-0.5075553004868645
ACH-000204,-0.5640528699367456
ACH-000206,-0.41841421719916655
ACH-000207,-0.6266239197720266
ACH-000208,-1.0211908745498206
ACH-000210,-0.7103362029108297
ACH-000211,-0.6268161227369774
ACH-000215,-0.6146953713030099
ACH-000221,-0.7104043823573094
ACH-000222,-0.8263366546245942
ACH-000223,-0.8020133365517633
ACH-000226,-0.5197184409694463
ACH-000227,-0.7272955457333993
ACH-000228,-0.9006283833440547
ACH-000231,-0.6121762513849276
ACH-000232,-0.547066494838416
ACH-000233,-0.6450652811411951
ACH-000234,-0.7855863939580342
ACH-000235,-0.6952555429169586
ACH-000237,-1.0175919416353223
ACH-000238,-0.7586449645128491
ACH-000242,-0.7557472838870914
ACH-000243,-0.8367911338224098
ACH-000244,-0.6529061625657296
ACH-000246,-0.8853584848594834
ACH-000248,-0.8019862336924838
