,SNTA1 (6640)
ACH-000004,-0.21969208636435386
ACH-000005,-0.16303584735262722
ACH-000007,0.05127495758118596
ACH-000009,-0.08446130265924542
ACH-000011,-0.2683354428255096
ACH-000012,-0.015799645611618847
ACH-000013,0.0857542988979687
ACH-000014,-0.12601768729592433
ACH-000015,0.056550865951378974
ACH-000017,-0.06292636219164212
ACH-000018,-0.045523563512399515
ACH-000019,-0.031465220489335116
ACH-000021,-0.020024766730932654
ACH-000022,-0.0728617845440739
ACH-000025,-0.017424239033050966
ACH-000028,-0.10537465788401716
ACH-000030,-0.08478108516219728
ACH-000035,-0.06481459122452303
ACH-000036,-0.15965789240162012
ACH-000037,-0.006451763332620165
ACH-000039,0.0812438532162637
ACH-000040,0.06225792918438065
ACH-000041,-0.005928082154779962
ACH-000042,-0.1898013617609322
ACH-000045,-0.05758574226639071
ACH-000047,0.005081595390342017
ACH-000052,-0.015663767918575364
ACH-000053,-0.09998848219840224
ACH-000054,-0.018008290637419547
ACH-000055,-0.16411280926182806
ACH-000060,-0.15373013693600085
ACH-000067,-0.0124636415573062
ACH-000070,-0.11740759867325327
ACH-000075,-0.20777323461041106
ACH-000078,-0.0900541789039565
ACH-000082,-0.07487179102974342
ACH-000085,-0.045735171645724534
ACH-000086,-0.04905904083514539
ACH-000087,-0.16575887219794114
ACH-000092,-0.13148068336159655
ACH-000095,-0.08393085940342443
ACH-000097,-0.05904668962416978
ACH-000098,0.05661410416673635
ACH-000099,-0.12132946803571293
ACH-000108,0.0401284690552609
ACH-000113,0.014409072450322285
ACH-000116,-0.13607090160419671
ACH-000118,-0.1879176226828624
ACH-000120,-0.05604629996530764
ACH-000123,-0.1372067804827216
ACH-000127,-0.18451207805333736
ACH-000128,-0.2531566753643405
ACH-000132,0.004863375705373842
ACH-000133,-0.10281975429503526
ACH-000137,-0.04095906617375692
ACH-000138,-0.10309454565215603
ACH-000142,0.06682777765581492
ACH-000143,-0.048187032644432456
ACH-000146,-0.019472672525824145
ACH-000148,-0.03422576930470121
ACH-000150,-0.1690061631019814
ACH-000152,-0.06806627883926802
ACH-000153,-0.1883138375330544
ACH-000159,-0.11573203887803407
ACH-000160,0.001457204451895093
ACH-000163,-0.08861538619965059
ACH-000167,0.003169511215188109
ACH-000168,-0.09031157109460844
ACH-000169,-0.10529365645337327
ACH-000178,0.06260061159356392
ACH-000183,-0.21140016657654406
ACH-000188,0.04259389220680361
ACH-000189,-0.19201473394002105
