,HUS1 (3364)
ACH-000004,-1.0999049665675422
ACH-000005,-1.0222085556524687
ACH-000007,-0.7031310438029815
ACH-000009,-0.3269514720872789
ACH-000011,-0.7159218392387575
ACH-000012,-0.3427807979271092
ACH-000013,-0.7711589320684509
ACH-000014,-0.4809951355514667
ACH-000015,-0.35398415392298643
ACH-000017,-0.3837854871850498
ACH-000018,-0.3805282085735324
ACH-000019,-0.5748299323332394
ACH-000021,-0.5229373452101865
ACH-000022,-0.6145314062318287
ACH-000025,-0.5285627023987454
ACH-000028,-0.589381489922724
ACH-000030,-0.4094989325956839
ACH-000035,-0.5557256629596395
ACH-000036,-0.3610932930809423
ACH-000037,-0.4599653637043383
ACH-000039,-0.6153003718794804
ACH-000040,-0.12004552844105995
ACH-000041,-0.6139548690871045
ACH-000042,-0.20699289596649484
ACH-000045,-0.497003478453597
ACH-000047,-0.6087420619671255
ACH-000052,-0.5027623267395186
ACH-000053,-0.4790392002314297
ACH-000054,-0.21843485914768046
ACH-000055,-0.8533526372364079
ACH-000060,-0.35373195875538826
ACH-000067,-0.30259861632111595
ACH-000070,-0.4035582789494527
ACH-000075,-0.4167575355675392
ACH-000078,0.02412293363235181
ACH-000082,-0.4459701306275952
ACH-000085,-0.06754127116124407
ACH-000086,-0.4030341247484375
ACH-000087,-0.9208706298645792
ACH-000092,-0.21644517087637305
ACH-000095,-0.3556359543336921
ACH-000097,-0.19039085868200334
ACH-000098,-0.2973751422384328
ACH-000099,-0.457984241136299
ACH-000108,-0.22143765218329528
ACH-000113,-0.36377944082529495
ACH-000116,-0.555411643012667
ACH-000118,-0.5619867869545393
ACH-000120,-0.7197957172016519
ACH-000123,-0.4927739739254712
ACH-000127,-0.5241393229023293
ACH-000128,-0.047997899578738325
ACH-000132,-0.5907281993083324
ACH-000133,-0.5326186286260095
ACH-000137,-0.685751200779506
ACH-000138,-0.4186173812080867
ACH-000142,-0.6918359432620885
ACH-000143,-0.6860396697285536
ACH-000146,-0.9843275202263606
ACH-000148,-0.5007183429191824
ACH-000150,-0.19901112754961625
ACH-000152,-0.27220912556291593
ACH-000153,-0.57477712719271
ACH-000159,-0.4414972501637489
ACH-000160,-0.4304770768727029
ACH-000163,-0.2904840980427002
ACH-000167,-0.6354765234537393
ACH-000168,-0.530230362281494
ACH-000169,-0.2557873756911264
ACH-000178,-0.5985088522906461
ACH-000183,-0.6121017481814345
ACH-000188,-0.4996342011114801
ACH-000189,-0.5153482350540706
ACH-000190,-0.4748513528603896
ACH-000198,-0.255793840381785
ACH-000203,-0.23724644675323586
ACH-000204,-0.4743016345766694
ACH-000206,-0.8831686847792551
ACH-000207,-0.5281366643292092
ACH-000208,-0.6282716605615033
ACH-000210,-0.6129068924457322
ACH-000211,-0.23112549144810765
ACH-000215,-0.3302825484003135
ACH-000221,-0.6179810269982714
ACH-000222,-0.26943593160181
ACH-000223,-0.6286028239015141
ACH-000226,-0.553848302201693
ACH-000227,-0.6451195693800162
ACH-000228,-0.6101348211669806
ACH-000231,-0.6668877650060054
ACH-000232,-0.6384034145127654
ACH-000233,-0.43768635289641455
ACH-000234,-0.08466449602315203
ACH-000235,-0.3781505016927157
ACH-000237,-0.7531371182762489
ACH-000238,-0.4799463013468851
ACH-000242,-0.314740043919883
ACH-000243,-0.4376416714573351
ACH-000244,-0.3223897427707042
ACH-000246,-0.5854865857864819
ACH-000248,-0.3519233676448541
ACH-000250,-0.40916224089093706
ACH-000251,-0.33896006111001986
ACH-000252,-0.6840344484976137
ACH-000253,-0.1566742740789306
ACH-000255,-0.8141733088927823
ACH-000256,-0.6394923271981238
ACH-000257,-0.3580278165769287
ACH-000258,-0.3175936558514286
ACH-000259,-0.5270986222743581
ACH-000260,-0.5536997515906227
ACH-000261,-0.4370435369468365
ACH-000262,-0.2076545586934988
ACH-000263,-0.3715839551707783
ACH-000264,-0.3372007163558768
ACH-000265,-0.4232079847070849
ACH-000266,-0.2070095959190377
ACH-000272,-0.34621037349522793
ACH-000274,-0.14589833981551645
ACH-000277,-0.2069874915812104
ACH-000278,-0.586964103053086
ACH-000279,-0.4407863116084164
ACH-000280,-0.3392344996423733
ACH-000281,-0.2703123225301453
ACH-000288,-0.4811386901428622
ACH-000291,-0.8410733204033044
ACH-000293,-0.7342710614049727
ACH-000294,-0.5690897755318909
ACH-000295,-0.6126257348052329
ACH-000296,-0.5407588161865561
ACH-000302,-0.6035893139772883
ACH-000304,-0.5616010161793854
ACH-000307,-0.15296748376680475
ACH-000308,-0.4124877010780701
ACH-000310,-0.20395599932039024
ACH-000311,-0.5977454160966585
ACH-000312,-0.13207657176196747
ACH-000315,-0.5290307699682947
ACH-000316,-0.4641704862893126
ACH-000317,-0.5866053537108845
ACH-000318,-0.9594303150175988
ACH-000319,-0.4852733685601742
ACH-000320,-0.3149582340454505
ACH-000322,-0.4731075827702745
ACH-000323,-0.4002720558266493
ACH-000324,-0.6294087632401587
ACH-000329,-0.4720049245713199
ACH-000330,-0.10000857709775278
ACH-000331,-0.29018175267648744
ACH-000332,-0.12320878692690587
ACH-000334,-0.31326851337830364
ACH-000335,-0.7736716924019339
ACH-000336,-0.5288430877000209
ACH-000337,-0.3792667462730189
ACH-000338,-0.8023265029672602
ACH-000339,-0.7553990722729016
ACH-000341,-0.2393842103801218
ACH-000348,-0.4697872245714639
ACH-000350,-0.1379509477569309
ACH-000352,-0.19085399620782545
ACH-000356,-0.6365208678489906
ACH-000361,-0.3320260494268365
ACH-000362,-0.5324495916174349
ACH-000363,-0.18136081119535447
ACH-000364,-0.6557509685933359
ACH-000365,-0.2383964481002983
ACH-000366,-0.5649823965002405
ACH-000368,-0.2177082429212936
ACH-000374,-0.5780229136765275
ACH-000375,-0.53914066827042
ACH-000376,-0.30116250466756905
ACH-000381,-0.6755196805180841
ACH-000383,-0.5772844156631683
ACH-000387,-0.7197111021482898
ACH-000389,-0.3971751125488949
ACH-000390,-0.44959981655800896
ACH-000393,-0.3797628940653476
ACH-000395,-0.31539682011205394
ACH-000396,-0.6749662561168019
ACH-000397,-0.6561374387065552
ACH-000401,-0.5130002813791827
ACH-000402,-0.4160954613234812
ACH-000403,0.0056119793399467145
ACH-000404,-0.5331417974353659
ACH-000406,-0.470118961263935
ACH-000407,-0.5178720908192272
ACH-000408,-0.4878072297771918
ACH-000410,-0.3327244485758114
ACH-000411,-0.5533347371861568
ACH-000414,-0.7338086109674365
ACH-000415,-0.6918806649834438
ACH-000416,-0.3995920697445001
ACH-000420,-0.1110920678712291
ACH-000421,-0.478382363559529
ACH-000424,-0.7142529498430731
ACH-000425,-0.5064379160338393
ACH-000426,-0.632165482548473
ACH-000427,-0.30915608734988825
ACH-000433,-0.20056923957193232
ACH-000435,-0.3120269680063664
ACH-000436,-0.519046531301534
ACH-000444,-0.7302288456433698
ACH-000445,-0.11787091298947085
ACH-000448,-0.654161402775167
ACH-000450,-0.6725685216735197
ACH-000452,-0.3531221399973944
ACH-000454,-0.4894086607464195
ACH-000458,-0.4149403629004337
ACH-000459,-0.8709585204238458
ACH-000460,-0.5481242536144999
ACH-000461,-0.7397650454672048
ACH-000463,-0.642675799484874
ACH-000464,-0.5804283000468184
ACH-000466,-0.2407530256115942
ACH-000467,-0.5156361348715581
ACH-000468,-0.2768830073688726
ACH-000469,-0.5597296963665038
ACH-000470,-0.3974478885363882
ACH-000471,-0.6823587776252911
ACH-000472,-0.4419959711401821
ACH-000473,-0.5272058248755022
ACH-000475,-0.565294722344295
ACH-000476,-0.14681399661895062
ACH-000477,-0.3726678324626058
ACH-000479,-0.19716573325070236
ACH-000480,-0.8288709988509614
ACH-000481,-0.19433472342393235
ACH-000483,-0.3881925851826393
ACH-000484,-0.2530755358550301
ACH-000485,-0.3741798161869
ACH-000486,-0.696653256633002
ACH-000487,-0.3678421297552276
ACH-000488,-0.4967491935494429
ACH-000490,-0.448205407972926
ACH-000491,-0.4082956322973346
ACH-000495,-0.6778859429390043
ACH-000496,-0.5061823577265537
ACH-000499,-0.5799853863638252
ACH-000500,-0.26079589483919696
ACH-000502,-0.5869364512440577
ACH-000503,-0.8625453940952951
ACH-000505,-0.22562558401751545
ACH-000507,-0.5367255012307256
ACH-000510,-0.3250101408879279
ACH-000511,-0.4450744999016517
ACH-000512,-0.3942713289963005
ACH-000516,-0.1943883959642232
ACH-000517,-0.1869296639674799
ACH-000518,-0.2831183731951924
ACH-000520,-0.332687754787209
ACH-000521,-0.33518546089130546
ACH-000522,-0.6018353802067283
ACH-000524,-0.5134184338180956
ACH-000527,-0.3965629668569821
ACH-000528,-0.6567007587261187
ACH-000537,-0.3325918724235842
ACH-000541,-0.1471165665962522
ACH-000542,-0.5182278893467444
ACH-000544,-0.8205948045095461
ACH-000545,-0.4755524335069717
ACH-000547,-0.6918052367110054
ACH-000548,-0.650142513813691
ACH-000549,-0.2765347969797334
ACH-000550,-0.3238161275630033
ACH-000552,-0.2942784268041117
ACH-000556,-0.18491747050434693
ACH-000557,-0.6713455613012619
ACH-000569,-0.1574090776607324
ACH-000570,-0.4217194410042343
ACH-000571,-0.4087906184080417
ACH-000573,-0.7150324180301275
ACH-000576,-0.1497026168604757
ACH-000579,-0.08744118050492529
ACH-000580,-0.7526152722192256
ACH-000584,-0.7467334872128822
ACH-000585,-0.8265934724657226
ACH-000588,-0.7649974150097769
ACH-000589,-0.7694029327620586
ACH-000591,-0.6051260538524025
ACH-000593,-0.8153395563218699
ACH-000600,-0.566624469216099
ACH-000601,-0.3962795882586342
ACH-000605,-0.38056346684835296
ACH-000606,-0.3757158882957885
ACH-000608,-0.2478963335843676
ACH-000614,-0.7199808095163505
ACH-000616,-1.08332802406302
ACH-000618,-0.36948660217949947
ACH-000619,-0.4266347998174533
ACH-000620,-0.6104211095653852
ACH-000621,-0.25179949993964906
ACH-000622,-0.32877325188408
ACH-000623,-0.3771708937068067
ACH-000624,-0.7725809720791204
ACH-000627,-0.12681910579950825
ACH-000630,-0.4553080276779356
ACH-000631,-0.7167047201556629
ACH-000632,-0.7544122649352314
ACH-000633,-0.053961134207631295
ACH-000637,-0.6264769064028128
ACH-000638,-0.5340145282273463
ACH-000646,-0.15920675458407416
ACH-000647,-0.3569206323128032
ACH-000648,-0.4912441261072686
ACH-000649,-0.3358227565912435
ACH-000651,-0.2570845976549584
ACH-000652,-0.3801185708407076
ACH-000653,-0.455014960251982
ACH-000657,-0.365698002583034
ACH-000658,-0.3916404641564567
ACH-000661,-0.7745464588782366
ACH-000662,-0.2732657818071301
ACH-000663,-0.6794729741189585
ACH-000665,-0.6999571611258836
ACH-000671,-0.6177846917468199
ACH-000672,-0.8865757733548953
ACH-000673,-0.327995807373197
ACH-000676,-0.768191515289357
ACH-000677,-0.400858613969738
ACH-000681,-0.4838951936558112
ACH-000683,-0.2902936945979797
ACH-000684,-0.7954017140355474
ACH-000688,-0.3885753295562888
ACH-000693,-0.5415215468242236
ACH-000694,-0.668947511437161
ACH-000695,0.06877386416356612
ACH-000696,-0.6345059214891061
ACH-000697,-0.4270429473312611
ACH-000699,-0.8631967677801727
ACH-000701,-0.23253199589777446
ACH-000706,-0.42092509661232985
ACH-000711,-0.6189729483849835
ACH-000713,-0.6747661522366708
ACH-000714,-0.2918367772278939
ACH-000718,-0.2632502441964759
ACH-000720,-0.8425228054487156
ACH-000721,-0.3371871177112403
ACH-000724,-0.19977871860153745
ACH-000725,-0.18532581332559336
ACH-000732,-0.6148521228422221
ACH-000734,-0.4809246367509216
ACH-000735,-0.31104371790132346
ACH-000736,-0.7209140796294338
ACH-000738,-0.39621280623365707
ACH-000746,-0.4714362039896546
ACH-000747,-0.3776829352818665
ACH-000748,-0.21057383712325906
ACH-000753,-0.7192808410070916
ACH-000756,-0.4958490471298696
ACH-000757,-0.27144034185841964
ACH-000758,-0.4217378857770695
ACH-000760,-0.2456592729100661
ACH-000762,-0.35576615054781635
ACH-000763,-0.43417228611476216
ACH-000764,-0.5081300168957817
ACH-000765,-0.4559196216859852
ACH-000766,-0.5844805715224887
ACH-000767,-0.0981974511521774
ACH-000768,-0.8003734234983162
ACH-000769,-0.5769720633846781
ACH-000770,-0.5068219540064158
ACH-000771,-0.6478116312598079
ACH-000773,-0.42700857940933695
ACH-000776,-0.4189764518239184
ACH-000777,-0.7067649940749549
ACH-000778,-0.3571414843989024
ACH-000781,-0.5690166478619779
ACH-000782,-0.8979208534039891
ACH-000783,-0.20453989425276645
ACH-000784,-0.24632838783628105
ACH-000785,-0.4744028694669159
ACH-000787,-0.4004005416338759
ACH-000788,-0.4680543569288755
ACH-000791,-0.2201692743742025
ACH-000792,-0.5236910219200547
ACH-000794,-0.5751842376798822
ACH-000796,-0.5542896397793721
ACH-000798,-0.4898418498213039
ACH-000799,-0.5420087450065846
ACH-000800,-0.6537168715959246
ACH-000802,-0.8141154119046783
ACH-000804,-0.5675326800625949
ACH-000805,-0.4595697146606856
ACH-000809,-0.2890780406332695
ACH-000810,-0.4834800325073521
ACH-000811,-0.5073306785181673
ACH-000817,-0.20713533545697468
ACH-000819,-0.37323840335158337
ACH-000820,-0.6408617146441703
ACH-000821,-0.7464040944994963
ACH-000822,-0.3518946048493984
