,MZF1 (7593)
ACH-000004,-0.4992763543360063
ACH-000005,-0.44681338031032003
ACH-000007,-0.290604075200107
ACH-000009,-0.5233128936961583
ACH-000011,-0.3635668786870453
ACH-000012,-0.4077739106280579
ACH-000013,-0.29976936486551403
ACH-000014,-0.37602253884025855
ACH-000015,-0.376124316101012
ACH-000017,-0.29982210026889605
ACH-000018,-0.3216581621050927
ACH-000019,-0.2813064712900151
ACH-000021,-0.33283971659280986
ACH-000022,-0.5120550596960435
ACH-000025,-0.15430948296709687
ACH-000028,-0.3874097165475523
ACH-000030,-0.3348865799106971
ACH-000035,-0.4261803515856864
ACH-000036,-0.4920844947617714
ACH-000037,-0.4245118928696402
ACH-000039,-0.5419658248539981
ACH-000040,-0.2583407041252743
ACH-000041,-0.4685176587871381
ACH-000042,-0.30171865885199284
ACH-000045,-0.2555687799829252
ACH-000047,-0.4787272018399188
ACH-000052,-0.6423322684454031
ACH-000053,-0.3592801963411226
ACH-000054,-0.386904186855841
ACH-000055,-0.3362043809979585
ACH-000060,-0.3686431323775503
ACH-000067,-0.4060748751524431
ACH-000070,-0.6986780002750038
ACH-000075,-0.49025931508770704
ACH-000078,-0.3922898645983791
ACH-000082,-0.3482247597563701
ACH-000085,-0.3408719906140111
ACH-000086,-0.2647058791087449
ACH-000087,-0.2554117405301294
ACH-000092,-0.43931585192070893
ACH-000095,-0.4872029251493264
ACH-000097,-0.5261189837677803
ACH-000098,-0.3323361108427962
ACH-000099,-0.4625191472581454
ACH-000108,-0.3987724904611601
ACH-000113,-0.2170016217966808
ACH-000116,-0.5112068269236432
ACH-000118,-0.3489317898446028
ACH-000120,-0.2353514950126061
ACH-000123,-0.6407179286121689
ACH-000127,-0.2121849801321725
ACH-000128,-0.4195601620700736
ACH-000132,-0.4551846713120327
ACH-000133,-0.29414872593773955
ACH-000137,-0.23455987962833325
ACH-000138,-0.4993233316891766
ACH-000142,-0.4362357241578145
ACH-000143,-0.4413084032175039
