,URI1 (8725)
ACH-000004,-0.9273169829769944
ACH-000005,-0.8306870061206751
ACH-000007,-0.6760852798007675
ACH-000009,-0.8963071178387156
ACH-000011,-0.5755562588393601
ACH-000012,-0.9501682846655028
ACH-000013,-0.9401006979896288
ACH-000014,-0.5570936429919678
ACH-000015,-0.8711522852577266
ACH-000017,-1.1617362390701016
ACH-000018,-0.8099829523969085
ACH-000019,-0.950363368559934
ACH-000021,-0.9656218730282922
ACH-000022,-0.7820492951060523
ACH-000025,-0.9195704811114496
ACH-000028,-0.9303126255880092
ACH-000030,-1.1451500587725223
ACH-000035,-0.8167528291474471
ACH-000036,-0.920082529333152
ACH-000037,-0.8926031888063729
ACH-000039,-0.8883175126387732
ACH-000040,-0.8392431836908955
ACH-000041,-1.294063868258227
ACH-000042,-0.8992059422964938
ACH-000045,-0.7709016905426037
ACH-000047,-0.7410578703043046
ACH-000052,-0.8248915092279954
ACH-000053,-0.7761091622558721
ACH-000054,-0.6296636793926542
ACH-000055,-0.970321296952622
ACH-000060,-0.8059192240676383
ACH-000067,-0.9548010899603988
ACH-000070,-0.5358842252984632
ACH-000075,-0.7068521648046059
ACH-000078,-0.9811517520935864
ACH-000082,-0.9587585377261248
ACH-000085,-1.0588206295827574
ACH-000086,-0.970891158881132
ACH-000087,-1.0613750144875318
ACH-000092,-0.71709639871214
ACH-000095,-0.9333235251681474
ACH-000097,-0.8874208838596966
ACH-000098,-1.03738147327225
ACH-000099,-0.7411544812122273
ACH-000108,-1.0071664934357865
ACH-000113,-0.8479630363199457
ACH-000116,-0.8944514779708551
ACH-000118,-1.0046257920873216
ACH-000120,-0.7406537371266858
ACH-000123,-0.8523745640285909
ACH-000127,-0.9605631734405442
ACH-000128,-0.7594690488300363
ACH-000132,-0.9914858665936924
ACH-000133,-0.8010763541320061
ACH-000137,-0.8529164160361791
ACH-000138,-0.8021651165358092
ACH-000142,-1.1266058817310336
ACH-000143,-0.9733193846982032
ACH-000146,-0.9368512207859632
ACH-000148,-0.8554929981867578
ACH-000150,-0.8617938085555803
ACH-000152,-0.7040639483469493
ACH-000153,-0.9376072168876592
ACH-000159,-0.8490630702650215
ACH-000160,-0.7134503563835143
ACH-000163,-0.7842644028212357
ACH-000167,-0.7956507222729363
ACH-000168,-0.8250270057455614
ACH-000169,-0.7841714390068638
ACH-000178,-0.8638730259308841
ACH-000183,-0.9146351516807004
ACH-000188,-1.1746280633391997
ACH-000189,-0.6693657238262457
ACH-000190,-0.7534362936040182
ACH-000198,-0.8457144029414074
ACH-000203,-1.0118967938811472
ACH-000204,-0.974067764537726
ACH-000206,-1.308568032310393
ACH-000207,-1.1061187252759286
ACH-000208,-0.6908173351161396
ACH-000210,-0.5529575297851095
ACH-000211,-0.6377906484228066
ACH-000215,-0.8682982430169317
ACH-000221,-1.0774262723554568
ACH-000222,-0.985422187681494
ACH-000223,-0.8828822047606676
ACH-000226,-0.8318696863268198
ACH-000227,-0.883693805174678
ACH-000228,-0.8363597038575309
ACH-000231,-0.6772700970503744
ACH-000232,-0.8923526273155098
ACH-000233,-0.7900391776111483
ACH-000234,-0.8763877154183898
ACH-000235,-1.0131503920803118
ACH-000237,-0.8230454389866017
ACH-000238,-0.7950811240616631
ACH-000242,-0.5989739106798501
ACH-000243,-0.940742014642872
ACH-000244,-0.7087982856861129
ACH-000246,-0.8076631395192616
ACH-000248,-0.8408632600752584
ACH-000250,-0.8911848454869131
ACH-000251,-1.1413856436180192
ACH-000252,-0.8575914833541938
ACH-000253,-0.9445838542941916
ACH-000255,-0.8757785065774174
ACH-000256,-0.964185047936202
ACH-000257,-0.7341633747940928
ACH-000258,-0.7809471154805487
ACH-000259,-0.9897720754797216
ACH-000260,-0.9315535803682023
ACH-000261,-0.9881914392650633
ACH-000262,-0.8712603184561654
ACH-000263,-0.7021372777081577
ACH-000264,-0.7893320694892093
ACH-000265,-1.0769442767090929
ACH-000266,-1.0191318864597014
ACH-000272,-0.6559744767802511
ACH-000274,-0.8950405733858843
ACH-000277,-0.8269642862079888
ACH-000278,-0.952838774809158
ACH-000279,-0.962850039019722
ACH-000280,-0.7910037687303556
ACH-000281,-0.7799888156633805
ACH-000288,-0.7887977022742559
