,DDIT3 (1649)
ACH-000004,0.09816296143717156
ACH-000005,0.04200893057816045
ACH-000007,-0.1079976786600961
ACH-000009,-0.13104609646307372
ACH-000011,-0.15144991375683528
ACH-000012,-0.035808199772345194
ACH-000013,-0.10556806138505406
ACH-000014,-0.11002521501078767
ACH-000015,-0.1868085771517344
ACH-000017,-0.2041670621128208
ACH-000018,-0.10581452194042457
ACH-000019,-0.06524930768494185
ACH-000021,-0.1728892607726394
ACH-000022,-0.05039111712056412
ACH-000025,-0.19653027761282346
ACH-000028,-0.2603268889299526
ACH-000030,-0.09564721295641118
ACH-000035,-0.31709111411143304
ACH-000036,-0.057796542739794864
ACH-000037,-0.3647617503776951
ACH-000039,-0.08362114174862903
ACH-000040,-0.2452695152477117
ACH-000041,-0.3871456097777213
ACH-000042,-0.07516913530752166
ACH-000045,-0.18217599117457076
ACH-000047,-0.13506919334822945
ACH-000052,-0.4425428780947927
ACH-000053,-0.06639949548869388
ACH-000054,-0.06350168463530938
ACH-000055,0.17464280665694895
ACH-000060,-0.14623859867551509
ACH-000067,-0.18588300368400126
ACH-000070,-0.03812144519474638
ACH-000075,-0.12347554808330198
ACH-000078,-0.08841374286517985
ACH-000082,-0.21760084099723576
ACH-000085,-0.21702924994269102
ACH-000086,-0.2893210036784822
ACH-000087,-0.3803821904670461
ACH-000092,-0.2012376037981819
ACH-000095,-0.11859158267112545
ACH-000097,-0.28352910054188984
ACH-000098,-0.11074442382601296
ACH-000099,-0.119500360847926
ACH-000108,0.0251834222863706
ACH-000113,-0.07519205162584951
ACH-000116,-0.05411086660502413
ACH-000118,-0.22950729371220344
ACH-000120,-0.020843726399988237
ACH-000123,-0.18900618349314194
ACH-000127,0.01282780313506634
ACH-000128,-0.10138891951218104
ACH-000132,0.029043665624349718
ACH-000133,-0.2581928601266708
ACH-000137,-0.3681732576648775
ACH-000138,-0.178043647933386
ACH-000142,-0.15140471689970955
ACH-000143,-0.22054714735398367
ACH-000146,-0.2024603892894173
ACH-000148,-0.206214739650326
ACH-000150,-0.3224578123212923
ACH-000152,-0.25846881107707964
