,RNMT (8731)
ACH-000004,-1.3069670148754915
ACH-000005,-0.9145531666336598
ACH-000007,-0.7179128807661027
ACH-000009,-0.8009664011226572
ACH-000011,-0.7992261019118739
ACH-000012,-0.8935567210896228
ACH-000013,-0.8008638059112456
ACH-000014,-1.0132530113994154
ACH-000015,-0.9378569894369692
ACH-000017,-0.9983279250084404
ACH-000018,-1.1708897323703638
ACH-000019,-0.6474914644888705
ACH-000021,-0.9178043843824192
ACH-000022,-0.7138909902856684
ACH-000025,-0.8566917718785799
ACH-000028,-0.9197538785717636
ACH-000030,-0.8892038445762342
ACH-000035,-1.162412240791978
ACH-000036,-0.8684911699485127
ACH-000037,-0.8849450304385417
ACH-000039,-0.8472245568925257
ACH-000040,-0.6992421744971643
ACH-000041,-1.0419483523110242
ACH-000042,-0.9747603340109692
ACH-000045,-0.8612941760093896
ACH-000047,-0.9170869285643896
ACH-000052,-0.9680546087136316
ACH-000053,-0.8889350119002576
ACH-000054,-0.9557506473844258
ACH-000055,-0.7295569375361008
ACH-000060,-0.7653732568754165
ACH-000067,-1.0372602425852078
ACH-000070,-0.8597366536319241
ACH-000075,-0.8176438322627414
ACH-000078,-0.7225418034871635
ACH-000082,-0.7498022486830752
ACH-000085,-1.1515582372276814
ACH-000086,-0.903596244414302
ACH-000087,-0.9790797590839831
ACH-000092,-0.7241613623181977
ACH-000095,-0.8142528977184227
ACH-000097,-0.7689781061141655
ACH-000098,-1.0572025401330982
ACH-000099,-0.6928305084661291
ACH-000108,-1.1536653647254342
ACH-000113,-0.9009767779332436
ACH-000116,-0.9103201121473428
ACH-000118,-0.953375609097406
ACH-000120,-0.8545067069239801
ACH-000123,-0.8328297839772015
ACH-000127,-0.8246726757069951
ACH-000128,-0.8933979516425075
ACH-000132,-0.8596503825639948
ACH-000133,-0.6615713125943156
ACH-000137,-1.2927423007112488
ACH-000138,-1.1554741432474436
ACH-000142,-0.892694005731995
ACH-000143,-0.9514099613927272
ACH-000146,-0.9457458302503404
ACH-000148,-0.9975706330523056
ACH-000150,-0.7540699459110094
ACH-000152,-1.0765788411417785
ACH-000153,-0.5900582139214496
ACH-000159,-0.9273545059921192
ACH-000160,-0.43009460774889535
ACH-000163,-0.8304037759946434
ACH-000167,-0.4913059087280126
ACH-000168,-0.8685935572211501
ACH-000169,-0.9169200986469188
ACH-000178,-1.0738654551387068
ACH-000183,-0.9337630016123816
ACH-000188,-0.5901632982132101
ACH-000189,-0.924031202560722
ACH-000190,-0.6818651140941631
ACH-000198,-0.9820895384447094
ACH-000203,-1.288671961628469
ACH-000204,-0.5712060088252596
ACH-000206,-0.9782584372701792
ACH-000207,-0.7150907465391486
ACH-000208,-1.101629249973796
ACH-000210,-1.1403749986028135
ACH-000211,-0.9195365240383914
ACH-000215,-0.9476190158244708
ACH-000221,-1.2420768925709855
ACH-000222,-0.9305912093648531
ACH-000223,-0.8854511318592172
ACH-000226,-0.9265677710019397
ACH-000227,-0.4526760831690302
ACH-000228,-1.2483840996998272
ACH-000231,-0.7603628373927491
ACH-000232,-0.9750761877868986
ACH-000233,-1.1780525640983566
ACH-000234,-0.5813997176401448
ACH-000235,-0.9802310889784408
ACH-000237,-1.001104687535183
ACH-000238,-0.8881937375827854
ACH-000242,-0.8529037366937602
ACH-000243,-0.98764922244633
ACH-000244,-0.9080284412707909
ACH-000246,-1.0080700877398898
ACH-000248,-0.9201945755121392
ACH-000250,-0.9584964309686648
ACH-000251,-1.022151445644182
