,BUD13 (84811)
ACH-000004,-0.5905947982196801
ACH-000005,-0.5403210791874139
ACH-000007,-0.5723289861934845
ACH-000009,-0.40069632752262985
ACH-000011,-0.8520112169364333
ACH-000012,-0.5273358314817079
ACH-000013,-0.9430144605297728
ACH-000014,-0.4792223005110693
ACH-000015,-0.3354190865673813
ACH-000017,-0.5109987511180188
ACH-000018,-0.5035151990482016
ACH-000019,-0.7182670553364341
ACH-000021,-0.4607847391960258
ACH-000022,-0.4589784864408446
ACH-000025,-0.548486906507258
ACH-000028,-0.7764349977173571
ACH-000030,-0.6179017714720708
ACH-000035,-0.4614496742033752
ACH-000036,-0.9027963100014412
ACH-000037,-0.365641001551647
ACH-000039,-0.9579514594695636
ACH-000040,-0.5041613278166226
ACH-000041,-0.299588139928152
ACH-000042,-0.31548515789110865
ACH-000045,-0.45034573996000987
ACH-000047,-0.8220069612755769
ACH-000052,-0.8425047934546044
ACH-000053,-0.9883555580058354
ACH-000054,-0.6114435841796015
ACH-000055,-0.5844992344406242
ACH-000060,-0.5819405263617757
ACH-000067,-0.5980620244826472
ACH-000070,-0.733613957074919
ACH-000075,-0.9210028626103228
ACH-000078,-0.4849619445105056
ACH-000082,-0.6314692085421676
ACH-000085,-0.5742314028374084
ACH-000086,-0.6546335616730916
ACH-000087,-0.9653093778328572
ACH-000092,-0.7137979401638258
ACH-000095,-0.4638868436221295
ACH-000097,-0.7938725371011878
ACH-000098,-0.4576536771023815
ACH-000099,-0.4106955287051556
ACH-000108,-0.5367107328902306
ACH-000113,-0.6118879118831212
ACH-000116,-0.8227686009290897
ACH-000118,-0.9950621465643136
ACH-000120,-0.5380860469337269
ACH-000123,-0.7391890994795492
ACH-000127,-0.40954776752599664
ACH-000128,-0.5788466688199159
ACH-000132,-0.4585508792621628
ACH-000133,-0.6031835144124426
ACH-000137,-1.0571378295562892
ACH-000138,-0.465280872139097
ACH-000142,-0.5782144663569599
ACH-000143,-0.7427901203550535
ACH-000146,-0.6584887435471768
ACH-000148,-0.5706179917425311
ACH-000150,-0.5197400752397573
ACH-000152,-0.6127582938785856
ACH-000153,-0.8673948864104049
ACH-000159,-0.6498023744317009
ACH-000160,-0.945425522054927
ACH-000163,-0.422923370011213
ACH-000167,-1.2316059255449834
ACH-000168,-0.352283891854
ACH-000169,-0.5627332762427377
ACH-000178,-0.5140817889545708
ACH-000183,-0.4377819187376058
ACH-000188,-0.8191399031855912
ACH-000189,-0.5489254243950713
ACH-000190,-0.7976165864573149
ACH-000198,-0.6875473834985211
ACH-000203,-0.30090260889860104
ACH-000204,-0.5816496247201812
ACH-000206,-0.5638280720653327
ACH-000207,-0.7506584471778419
ACH-000208,-0.8004652544329691
ACH-000210,-0.4249718319953634
ACH-000211,-0.5869653789996083
ACH-000215,-0.4912064610785285
ACH-000221,-0.26499904927659873
ACH-000222,-0.5334667622383422
ACH-000223,-0.638163370417669
ACH-000226,-0.8174143219841582
ACH-000227,-0.5016690867698232
ACH-000228,-0.5581523966371307
ACH-000231,-0.8120774012551918
ACH-000232,-0.6909577820254115
ACH-000233,-0.8955288397229306
ACH-000234,-0.5361762158565837
ACH-000235,-0.5268614149679092
ACH-000237,-0.8212270279376241
ACH-000238,-0.5922024775335394
ACH-000242,-0.4916081545114132
ACH-000243,-0.6637891018941815
ACH-000244,-0.7791494654176819
ACH-000246,-0.7278061944863286
ACH-000248,-0.3157770945979063
ACH-000250,-0.6356533313275717
ACH-000251,-0.6978616132037955
ACH-000252,-0.8440919397456694
ACH-000253,-0.6851659540554779
ACH-000255,-0.814617975324717
ACH-000256,-0.396305523947416
ACH-000257,-0.7191640796673892
ACH-000258,-0.5978905320454769
ACH-000259,-0.8428757873041092
ACH-000260,-0.7988702608794875
ACH-000261,-0.616580443473235
ACH-000262,-0.9396675289829312
ACH-000263,-0.3349071654496277
ACH-000264,-0.822602609483245
ACH-000265,-0.5080230837462703
ACH-000266,-0.5194188074332193
ACH-000272,-0.51330247442373
ACH-000274,-0.4708273635948638
ACH-000277,-0.6870215342194014
ACH-000278,-0.8223507056800082
ACH-000279,-0.4096965539710058
ACH-000280,-0.7156948502640417
ACH-000281,-0.17377355952696685
ACH-000288,-0.5977113429155776
ACH-000291,-0.597114637385992
ACH-000293,-0.5987428283129884
ACH-000294,-0.6085318906716808
ACH-000295,-0.22324380230137486
ACH-000296,-0.3956525849554247
ACH-000302,-0.34414925757964315
ACH-000304,-0.5638691375740611
ACH-000307,-0.5378276293630789
ACH-000308,-0.6220781553343726
ACH-000310,-0.5133692013383716
ACH-000311,-0.8595881375789318
ACH-000312,-0.40115039151828413
ACH-000315,-1.0627684765667558
ACH-000316,-0.8375732851213362
ACH-000317,-0.9385118307409788
ACH-000318,-0.7872557791444937
ACH-000319,-0.8720661960712328
ACH-000320,-0.4442255818419275
ACH-000322,-0.6011424172026039
ACH-000323,-0.4821673852880289
ACH-000324,-0.5081556495072397
ACH-000329,-0.60260665532561
ACH-000330,-0.9295269795249499
ACH-000331,-0.7345943930141833
ACH-000332,-0.43644167093736
ACH-000334,-0.40325225802085546
ACH-000335,-0.5712640894858074
ACH-000336,-0.6263862716975099
ACH-000337,-0.7478484872504109
ACH-000338,-0.6776756714074876
ACH-000339,-0.5560717666898226
ACH-000341,-0.4899826247497714
ACH-000348,-0.4728502361888032
ACH-000350,-0.4962589453336403
ACH-000352,-0.39724812634935935
ACH-000356,-0.35162162355377524
ACH-000361,-0.41280669706347
ACH-000362,-0.5953086747777211
ACH-000363,-0.5685150389114499
ACH-000364,-0.8293461312971069
ACH-000365,-0.6478746574371185
ACH-000366,-0.636300102922094
ACH-000368,-0.5144041619932838
ACH-000374,-0.8046687678647692
ACH-000375,-0.7683746818641572
