,HIGD2A (192286)
ACH-000004,-0.07168782160431066
ACH-000005,-0.4040031133970135
ACH-000007,-0.06742015934308135
ACH-000009,-0.16174903087394282
ACH-000011,-0.07733990133748543
ACH-000012,-0.21595845797581129
ACH-000013,-0.14422722534911972
ACH-000014,-0.1540532906743762
ACH-000015,-0.5304904168223699
ACH-000017,-0.21349975809040175
ACH-000018,-0.09198098714241996
ACH-000019,-0.3421094062789064
ACH-000021,-0.14556448648323986
ACH-000022,-0.1703375151172507
ACH-000025,-0.16091501149196327
ACH-000028,-0.27941475702801205
ACH-000030,-0.08255685159318764
ACH-000035,-0.2953865083938855
ACH-000036,-0.04235567406455682
ACH-000037,-0.14285531539529672
ACH-000039,-0.32584104053770524
ACH-000040,-0.20174476320628948
ACH-000041,-0.12790545030924802
ACH-000042,-0.105754642456533
ACH-000045,-0.13975001349591026
ACH-000047,-0.18700563279478385
ACH-000052,-0.17079680362050634
ACH-000053,-0.1136625968251251
ACH-000054,-0.16924738586418436
ACH-000055,-0.20170401295668985
ACH-000060,-0.13276988269241108
ACH-000067,-0.08057979914715586
ACH-000070,-0.32226178179118203
ACH-000075,-0.30420868106130194
ACH-000078,-0.4895799668308762
ACH-000082,-0.2253790557606428
ACH-000085,-0.26673300886084145
ACH-000086,-0.19026118497535147
ACH-000087,-0.1829843579539047
ACH-000092,-0.21740452108435707
ACH-000095,-0.18337025381465
ACH-000097,-0.16952808411760684
ACH-000098,-0.16325559181155544
ACH-000099,-0.3044803107870261
ACH-000108,-0.2061522845647768
ACH-000113,-0.33731336216810376
ACH-000116,-0.18024676272481552
ACH-000118,-0.5370696626776224
ACH-000120,-0.2618996494212657
ACH-000123,-0.4210885831290955
ACH-000127,-0.1651183303746696
ACH-000128,-0.19946958341431148
ACH-000132,-0.16912237911529107
ACH-000133,-0.08509597650236585
ACH-000137,-0.09359823977837196
ACH-000138,-0.2998307391821129
ACH-000142,0.0024485543788415557
ACH-000143,-0.1912026340258603
ACH-000146,-0.270033950290528
ACH-000148,-0.29922863221367685
ACH-000150,-0.3622827516960469
ACH-000152,-0.22199832560049212
ACH-000153,-0.37577380081761547
ACH-000159,-0.22881050360296326
ACH-000160,-0.20713679567450904
ACH-000163,-0.1463596093033578
ACH-000167,0.06422414891393789
ACH-000168,-0.14463658178918115
ACH-000169,-0.07887515430751142
ACH-000178,-0.042988821985750436
ACH-000183,-0.3613830345118443
ACH-000188,-0.08432557381473213
ACH-000189,-0.24200105036931535
ACH-000190,-0.3017513567671593
ACH-000198,-0.16841855741772446
ACH-000203,-0.5373732677264581
ACH-000204,-0.33760296188803784
ACH-000206,0.2411386062187695
ACH-000207,-0.30253721047537485
ACH-000208,-0.20326972019944226
ACH-000210,-0.5446167288338499
ACH-000211,-0.18135202146974488
ACH-000215,-0.22358769457569166
ACH-000221,-0.4673909583302054
ACH-000222,-0.02476069650552673
ACH-000223,-0.2334759649372075
ACH-000226,0.07544542212189305
ACH-000227,-0.35302578082622216
ACH-000228,-0.09017448231244438
ACH-000231,-0.15784787309304238
ACH-000232,-0.2549132276633656
ACH-000233,-0.15522309131749376
ACH-000234,-0.22204321113878145
ACH-000235,-0.10869284481593493
ACH-000237,-0.145902509366592
ACH-000238,-0.203878678914865
ACH-000242,-0.1659501056430724
ACH-000243,-0.07424145384094781
ACH-000244,-0.20759446016761166
ACH-000246,-0.241644565510734
ACH-000248,-0.04972934657434604
ACH-000250,-0.12243678056696422
ACH-000251,-0.08793341207287393
ACH-000252,-0.015773542835346658
ACH-000253,-0.17851026490910984
ACH-000255,-0.21154242831289166
ACH-000256,-0.2799267643785786
ACH-000257,-0.3087342063943188
ACH-000258,-0.008475126078624991
ACH-000259,-0.2609017552811542
ACH-000260,-0.1059329433395185
ACH-000261,-0.17115293868387732
ACH-000262,-0.007365790487400802
ACH-000263,-0.4216589657911881
ACH-000264,-0.1757914814100719
ACH-000265,-0.3404161270760588
ACH-000266,-0.1855090062824534
ACH-000272,-0.12244823443079135
ACH-000274,-0.2061295529746468
ACH-000277,-0.2792067431175791
ACH-000278,-0.1728804928735713
ACH-000279,-0.33741645634417355
ACH-000280,-0.2374485326891159
ACH-000281,-0.2925138300989335
ACH-000288,-0.16262122409871002
ACH-000291,-0.18621236711503933
ACH-000293,-0.06240353907166327
ACH-000294,-0.1336666227025488
ACH-000295,-0.24790988534673356
ACH-000296,0.019598667407988102
ACH-000302,-0.11435480447107295
ACH-000304,-0.2117333338219834
ACH-000307,-0.11002721314806513
ACH-000308,-0.13675874386311065
ACH-000310,-0.32351835464219564
ACH-000311,-0.17247175562731096
ACH-000312,-0.41751298988667257
ACH-000315,-0.3608160619206955
ACH-000316,-0.15026331303593704
ACH-000317,-0.26740087075053803
ACH-000318,-0.1312298101210666
ACH-000319,-0.11956432022419032
ACH-000320,-0.1272702433379499
ACH-000322,-0.12433313968585193
ACH-000323,-0.2243714157646348
ACH-000324,-0.02161722543981096
ACH-000329,-0.4467504109011831
ACH-000330,-0.28758643140011153
ACH-000331,-0.2003527578428328
ACH-000332,-0.08873894894071399
ACH-000334,-0.18760391016994216
ACH-000335,0.05075327260629822
ACH-000336,-0.1936673998053597
ACH-000337,-0.20449730382293796
ACH-000338,-0.14113755741643208
ACH-000339,-0.06921578837053581
ACH-000341,-0.26526733098877986
ACH-000348,-0.20386256421236204
ACH-000350,-0.2872194283926268
ACH-000352,-0.17456977713246385
ACH-000356,-0.24295630403760646
ACH-000361,-0.2347863384928205
ACH-000362,-0.07967449154840278
ACH-000363,-0.14352241196458945
ACH-000364,-0.12780183946083712
ACH-000365,-0.19450701309204374
ACH-000366,-0.16755666185485013
ACH-000368,-0.3202523770871283
ACH-000374,-0.24697909416108865
ACH-000375,-0.4039347777074607
ACH-000376,-0.32317538887482344
ACH-000381,-0.2737296403605329
ACH-000383,-0.21003126778493608
ACH-000387,-0.15982359395293042
ACH-000389,-0.11603331553088668
ACH-000390,-0.3287697903024801
ACH-000393,-0.16761619792193652
ACH-000395,-0.23073656334215475
ACH-000396,0.031887227194595275
ACH-000397,-0.12450610810991197
ACH-000401,-0.2372952693320447
ACH-000402,0.12111312463077445
ACH-000403,-0.26621380367488723
ACH-000404,0.0948771666251816
ACH-000406,-0.4078729632274456
ACH-000407,-0.25566043532979954
ACH-000408,-0.04274553738074216
ACH-000410,-0.2627366696792645
ACH-000411,-0.191602033284463
ACH-000414,-0.07930548388337083
ACH-000415,-0.18938779156830776
ACH-000416,-0.11940849871715167
ACH-000420,-0.2955910695628716
ACH-000421,-0.11830879086492205
ACH-000424,-0.4399877806692339
ACH-000425,-0.12828905808985033
ACH-000426,-0.1242435357639108
ACH-000427,-0.3985710579017992
ACH-000433,-0.2988573612822384
ACH-000435,-0.008275813620840804
ACH-000436,0.0784540608112574
ACH-000444,0.0241194490779652
ACH-000445,-0.2104714397343664
ACH-000448,-0.0983857733414182
ACH-000450,-0.043060287943534385
ACH-000452,-0.14232877498293833
ACH-000454,-0.3971267847975391
ACH-000458,0.013276884062608936
ACH-000459,-0.29973379280521284
ACH-000460,-0.09637368943443804
ACH-000461,-0.5012655295393682
ACH-000463,-0.2339929013291329
ACH-000464,-0.2559264558232756
ACH-000466,-0.2716999740075016
ACH-000467,-0.3103594207958188
ACH-000468,-0.2178355187785145
ACH-000469,-0.2764923408437565
ACH-000470,-0.20941862229791736
ACH-000471,-0.15811648269937909
ACH-000472,-0.18738837953146628
ACH-000473,-0.1863454480071577
ACH-000475,-0.2790869231782236
ACH-000476,-0.27797378813959656
ACH-000477,-0.2114755095162339
ACH-000479,-0.17936128544735214
ACH-000480,-0.21101531875337928
ACH-000481,-0.18272375295877516
ACH-000483,-0.1325332895464194
ACH-000484,-0.0953765777872788
ACH-000485,-0.16657528622138928
ACH-000486,-0.11597814877646917
ACH-000487,-0.15883771666946545
ACH-000488,-0.2231236526752716
ACH-000490,-0.07943013409249049
ACH-000491,-0.4808786661153485
ACH-000495,-0.3666203111894655
ACH-000496,-0.07387894484557819
ACH-000499,-0.11920271258673147
ACH-000500,-0.17864880239080205
ACH-000502,-0.07219699805625797
ACH-000503,-0.1950888497505544
ACH-000505,-0.26083469619577104
ACH-000507,-0.2481852522812192
ACH-000510,-0.2055747610018301
ACH-000511,-0.0813199703772619
ACH-000512,-0.11503018272594917
ACH-000516,-0.05525316376021298
ACH-000517,-0.22472560272340275
ACH-000518,-0.12240843105751095
ACH-000520,-0.08120092578592901
ACH-000521,-0.3268146939091418
ACH-000522,-0.10956129533517454
ACH-000524,-0.17402992551855118
ACH-000527,-0.1556286925199062
ACH-000528,-0.2236316202478144
ACH-000537,-0.1995424860796427
ACH-000541,-0.2446626472023509
ACH-000542,-0.0907261035014834
ACH-000544,-0.3016350909323225
ACH-000545,-0.16734343636703233
ACH-000547,-0.2581791025888804
ACH-000548,-0.16461385622927704
ACH-000549,-0.10971432226222463
ACH-000550,-0.3664243772199068
ACH-000552,-0.17548122209149455
ACH-000556,-0.16395878674910094
ACH-000557,-0.26889385487588097
ACH-000569,-0.222243342585724
ACH-000570,-0.3376130940724915
ACH-000571,-0.2708903780495465
ACH-000573,-0.06738026947760697
ACH-000576,-0.21111445448660635
ACH-000579,-0.2015996447428029
ACH-000580,0.09224796476871744
ACH-000584,-0.08254388095387916
ACH-000585,-0.18782314693342256
ACH-000588,-0.316996878750588
ACH-000589,-0.13068825008817642
ACH-000591,-0.2282280262729089
ACH-000593,-0.31562589633327703
ACH-000600,-0.1037898094982493
ACH-000601,-0.1785921204577222
ACH-000605,-0.3629590028471156
