,HIST2H3A (333932)
ACH-000004,-1.2686239084214606
ACH-000005,-1.4248796190778097
ACH-000007,-1.0684387144979235
ACH-000009,-1.2001464891701537
ACH-000011,-1.2248350070968212
ACH-000012,-1.2372358782768027
ACH-000013,-1.1507441028019656
ACH-000014,-1.0030664097581985
ACH-000015,-1.3576753640223322
ACH-000017,-0.8964875817440529
ACH-000018,-1.023547465412155
ACH-000019,-1.033497523215803
ACH-000021,-0.8882858769957277
ACH-000022,-1.1300004202214458
ACH-000025,-1.349197737837542
ACH-000028,-1.161145010987907
ACH-000030,-1.1693268048809409
ACH-000035,-1.1370492325637729
ACH-000036,-0.9616429010904938
ACH-000037,-1.0127503064245014
ACH-000039,-1.422447643175557
ACH-000040,-1.1270976958687458
ACH-000041,-1.1479693318867152
ACH-000042,-1.2421553396560676
ACH-000045,-1.2951411236969816
ACH-000047,-0.9939779998541742
ACH-000052,-1.1190157785056318
ACH-000053,-0.9965584906970728
ACH-000054,-1.000203877083656
ACH-000055,-1.171922460516587
ACH-000060,-1.5043840794065109
ACH-000067,-1.0967577051783102
ACH-000070,-0.936249828598102
ACH-000075,-0.8936468554791717
ACH-000078,-1.071444132780702
ACH-000082,-1.0256340265658208
ACH-000085,-1.4933476422467529
ACH-000086,-1.235108959733301
ACH-000087,-1.0729064049900878
ACH-000092,-1.1747691313082116
ACH-000095,-1.3197349719734988
ACH-000097,-1.3849545300783397
ACH-000098,-1.1129070578453568
ACH-000099,-0.8930188746445384
ACH-000108,-0.8878979308447408
ACH-000113,-1.3999160832442674
ACH-000116,-0.9241785906700414
ACH-000118,-1.080113745520967
ACH-000120,-0.8972191222395287
ACH-000123,-0.970142663075348
ACH-000127,-1.0996146844872254
ACH-000128,-1.442925498987068
ACH-000132,-0.8348854679429574
ACH-000133,-1.370753509974186
ACH-000137,-1.17900152115249
ACH-000138,-1.3873602257424178
ACH-000142,-1.0953141953174652
ACH-000143,-0.9618688475026148
ACH-000146,-1.1997863186152855
ACH-000148,-1.1800557761785362
ACH-000150,-1.0409788128739768
ACH-000152,-1.2056710849728265
ACH-000153,-1.3310104528927902
ACH-000159,-1.043560024629136
ACH-000160,-1.1021668417807726
ACH-000163,-1.1428249587565236
ACH-000167,-1.6810671179857701
ACH-000168,-1.4562186672519672
ACH-000169,-1.3762586987478798
ACH-000178,-1.2398206720953862
ACH-000183,-1.3736523903082458
ACH-000188,-1.26197731233378
ACH-000189,-1.341814974498626
ACH-000190,-1.0509058056073282
ACH-000198,-1.11985695371852
ACH-000203,-1.172569550556286
ACH-000204,-0.7599176828930004
ACH-000206,-1.221822037077294
ACH-000207,-0.7279144451944966
ACH-000208,-0.8735671232026515
ACH-000210,-1.0210404931824488
ACH-000211,-1.4154611203465768
ACH-000215,-1.1331591450489862
ACH-000221,-1.6395101855171081
ACH-000222,-0.9851100247643534
ACH-000223,-1.0984005583133238
ACH-000226,-0.9416247423702778
ACH-000227,-1.1318745012529443
ACH-000228,-0.942614478497948
ACH-000231,-1.1702457694171575
ACH-000232,-1.4008664470322478
ACH-000233,-0.9021070126321804
ACH-000234,-1.2335171476424138
ACH-000235,-1.2926211312257658
ACH-000237,-1.1810093716483685
ACH-000238,-0.8732105121151159
ACH-000242,-0.8938536397413689
ACH-000243,-1.2814860332129079
ACH-000244,-1.1624058817658538
ACH-000246,-0.9038965336183742
ACH-000248,-0.9637296312519248
ACH-000250,-0.9438340381364132
ACH-000251,-2.029615536820009
ACH-000252,-1.0182680067606906
ACH-000253,-1.1119912687566225
ACH-000255,-1.1830316554317448
ACH-000256,-1.1743463607775997
ACH-000257,-1.1142363686903487
ACH-000258,-1.075551838392007
ACH-000259,-1.2903092810479395
ACH-000260,-1.073424633904411
ACH-000261,-1.2456289476665765
ACH-000262,-1.195843102496252
ACH-000263,-1.2492128755385334
ACH-000264,-0.8820460345305197
ACH-000265,-1.2303495124071346
ACH-000266,-1.080830480457092
ACH-000272,-0.9620886147522169
ACH-000274,-1.3877951304695684
ACH-000277,-0.8323948028004757
ACH-000278,-1.3971542441685327
ACH-000279,-0.9924601799189524
ACH-000280,-0.9639730968247092
ACH-000281,-1.1106189370248338
ACH-000288,-0.9371719885942612
ACH-000291,-1.2065988349680028
ACH-000293,-0.8787560662454527
ACH-000294,-1.3394646646575659
ACH-000295,-0.934961701380227
ACH-000296,-1.3096370397402621
ACH-000302,-0.979585500829737
ACH-000304,-1.5661012513619186
ACH-000307,-1.4400310342640774
ACH-000308,-1.1129174224828284
ACH-000310,-0.9519492311989668
ACH-000311,-1.7361295592706982
ACH-000312,-1.0149287286774142
ACH-000315,-1.2920841558552312
ACH-000316,-0.8912403613467244
ACH-000317,-0.8729556377907538
ACH-000318,-1.283854380750677
ACH-000319,-1.0473836117060906
ACH-000320,-1.1417247315423849
ACH-000322,-0.73973103266675
ACH-000323,-1.0308098740559202
ACH-000324,-1.0425584919598097
ACH-000329,-1.1837172367203008
ACH-000330,-0.934966067746685
ACH-000331,-1.1148067332699705
ACH-000332,-1.140383992921196
ACH-000334,-0.9961423946380068
ACH-000335,-1.012471504608984
ACH-000336,-1.6474378638433511
ACH-000337,-1.4813635540634131
ACH-000338,-0.4953931440272653
ACH-000339,-1.30111581185141
ACH-000341,-1.5321265066648804
ACH-000348,-1.0789027617695994
ACH-000350,-1.280393450426617
ACH-000352,-1.4536426778773948
ACH-000356,-1.4837032822943783
ACH-000361,-1.1219682300852116
ACH-000362,-1.2293893705085808
ACH-000363,-0.8247627545615686
