,HM13 (81502)
ACH-000004,-0.3083658342010354
ACH-000005,-0.18005402814006213
ACH-000007,-0.04559558744256177
ACH-000009,-0.1618125939347253
ACH-000011,-0.07176310164138681
ACH-000012,-0.15036625107188992
ACH-000013,-0.044500835054466656
ACH-000014,-0.13785982040847974
ACH-000015,-0.11700864710871176
ACH-000017,-0.03524922649791492
ACH-000018,-0.0049394809303730395
ACH-000019,-0.11448394438848344
ACH-000021,-0.07480072999522734
ACH-000022,-0.14199692587463975
ACH-000025,-0.4536435634813387
ACH-000028,-0.18466647036302608
ACH-000030,-0.12648537970515286
ACH-000035,-0.026408711251403608
ACH-000036,-0.19304178921051565
ACH-000037,-0.13907291488790607
ACH-000039,-0.06391553239203376
ACH-000040,-0.056172885697755116
ACH-000041,-0.0034904325873566155
ACH-000042,-0.2774545498396541
ACH-000045,-0.12862286056053315
ACH-000047,-0.14651711031361025
ACH-000052,-0.05726191059980715
ACH-000053,-0.1621728344978672
ACH-000054,-0.024022819367213736
ACH-000055,-0.1512229442144408
ACH-000060,-0.3239602488775246
ACH-000067,-0.3429712781479445
ACH-000070,-0.048654416983731484
ACH-000075,-0.3304087355576793
ACH-000078,-0.20518464733488698
ACH-000082,-0.2378517633605594
ACH-000085,-0.02530039459538544
ACH-000086,-0.1738815371210308
ACH-000087,-0.173351308109832
ACH-000092,-0.35437313283370403
ACH-000095,-0.1314767601961151
ACH-000097,-0.18288815985559853
ACH-000098,-0.0846302378621632
ACH-000099,-0.08959980768897229
ACH-000108,-0.1812898216670496
ACH-000113,-0.2996335940942801
ACH-000116,-0.2584546830714544
ACH-000118,-0.10091827900990674
ACH-000120,-0.1814537694861992
ACH-000123,-0.15741448713557807
ACH-000127,-0.1361975548337574
ACH-000128,-0.21457718950982269
ACH-000132,-0.10375669599082356
ACH-000133,-0.5026342185934664
ACH-000137,0.05070225244917921
ACH-000138,-0.2204434969487671
ACH-000142,-0.14613336934613608
ACH-000143,0.01438925827739604
ACH-000146,-0.04199821374720975
ACH-000148,-0.08420299452001938
ACH-000150,-0.2707846626424516
ACH-000152,-0.14356425662878727
ACH-000153,-0.19600310799264933
ACH-000159,-0.2390342287357141
ACH-000160,-0.1645443569078155
ACH-000163,-0.14637247424496358
ACH-000167,-0.3494272154204393
ACH-000168,-0.20475366906634884
ACH-000169,-0.2307115240715637
ACH-000178,-0.2371912276470888
ACH-000183,0.03356235189646087
ACH-000188,-0.23290963409448365
ACH-000189,-0.3943884092320775
ACH-000190,-0.2719642304550214
ACH-000198,-0.20079224340665575
ACH-000203,0.04849845950744616
ACH-000204,0.013977890302737257
ACH-000206,0.17385035936494192
ACH-000207,0.00560072985371164
ACH-000208,0.04931286466540543
ACH-000210,-0.10026658016808034
ACH-000211,-0.13326193471879408
ACH-000215,-0.18830060892326125
ACH-000221,-0.1019267175294107
ACH-000222,-0.1236044228080506
ACH-000223,-0.2409291254923275
ACH-000226,-0.3629585705816184
ACH-000227,-0.0597936908900085
ACH-000228,-0.2802958560883317
ACH-000231,-0.19650912794527944
ACH-000232,-0.22860141874145096
ACH-000233,-0.061564405527228375
ACH-000234,-0.4718928004437669
ACH-000235,-0.1882929640413416
ACH-000237,-0.040261766653858326
ACH-000238,-0.2442732566590408
ACH-000242,-0.03859468933739598
ACH-000243,-0.26719520501865685
ACH-000244,-0.2724300631594154
ACH-000246,-0.09205139364620693
ACH-000248,-0.2031820359858276
ACH-000250,-0.20963271192549535
ACH-000251,-0.2585312189681103
ACH-000252,-0.0924212228516012
ACH-000253,-0.15630283125193398
ACH-000255,-0.28329830385346594
ACH-000256,-0.29731076611964474
ACH-000257,0.015958947264152472
ACH-000258,-0.34124951023937616
ACH-000259,-0.2237288283802977
ACH-000260,-0.20640588146890831
ACH-000261,-0.1095137589414166
ACH-000262,-0.20782783325660736
ACH-000263,0.10581914477765822
ACH-000264,-0.2442864138719572
ACH-000265,-0.07919601740467515
ACH-000266,-0.08248877488590327
ACH-000272,-0.1654106647936983
ACH-000274,-0.2753676871288713
ACH-000277,-0.4102161083292713
ACH-000278,-0.11672688119943575
ACH-000279,-0.010073607027433587
ACH-000280,-0.27027896725207473
