,SASS6 (163786)
ACH-000004,-0.7796499987613729
ACH-000005,-0.9269286976968659
ACH-000007,-0.9016381595380072
ACH-000009,-0.9122902584283832
ACH-000011,-0.8219492986366522
ACH-000012,-0.7238530998042908
ACH-000013,-1.0605702590808863
ACH-000014,-0.6798247220824036
ACH-000015,-0.8645616957471347
ACH-000017,-0.9333794154497924
ACH-000018,-0.835636674331702
ACH-000019,-0.8698278121010821
ACH-000021,-0.7805079284403484
ACH-000022,-0.7642481534851091
ACH-000025,-0.7131755030443874
ACH-000028,-1.0215450178896393
ACH-000030,-0.9127950203301854
ACH-000035,-0.9001490036515489
ACH-000036,-0.8883064612982865
ACH-000037,-0.9212403065265959
ACH-000039,-0.8652821776209839
ACH-000040,-0.6662543428552943
ACH-000041,-0.8970772532279421
ACH-000042,-0.9566810505258452
ACH-000045,-0.5950178807802695
ACH-000047,-0.6526591884395131
ACH-000052,-0.9642256714279502
ACH-000053,-0.8540020059841563
ACH-000054,-0.8492225851622706
ACH-000055,-0.7119051665770352
ACH-000060,-0.7330042859722087
ACH-000067,-0.8871077464622269
ACH-000070,-1.1405407828684038
ACH-000075,-0.7511451493864242
ACH-000078,-0.4906834409210013
ACH-000082,-0.7059948273178349
ACH-000085,-1.0675551920721629
ACH-000086,-0.6708136375899246
ACH-000087,-0.9757216993717088
ACH-000092,-0.677510339190322
ACH-000095,-0.8029106858016581
ACH-000097,-1.0573755744572402
ACH-000098,-0.7363510622986034
ACH-000099,-0.5959433697438636
ACH-000108,-0.8980386103597771
ACH-000113,-0.5422162422444802
ACH-000116,-0.8384448961636438
ACH-000118,-0.7538471606238908
ACH-000120,-1.0201520403858706
ACH-000123,-0.8584514007279644
ACH-000127,-0.9089100718269708
ACH-000128,-0.6594545704204947
ACH-000132,-0.7773027780217999
ACH-000133,-0.7897049592165042
ACH-000137,-0.6738180811221891
ACH-000138,-0.7383355804697656
ACH-000142,-0.6511824094053863
ACH-000143,-0.937297293191674
ACH-000146,-0.4694568553146913
ACH-000148,-0.7273607522707842
ACH-000150,-1.0199441811494183
ACH-000152,-0.6630197039150656
ACH-000153,-1.3005737980236796
ACH-000159,-1.0565469353601282
ACH-000160,-0.9830055412849196
ACH-000163,-0.7138867810845432
ACH-000167,-0.8367795811265226
ACH-000168,-0.4294102095773981
ACH-000169,-0.8995409236457617
ACH-000178,-0.7090023733670316
ACH-000183,-0.7753498659678999
ACH-000188,-0.8294025290029645
ACH-000189,-0.9316928312461532
ACH-000190,-0.8513902598000171
ACH-000198,-0.7884713749724468
ACH-000203,-1.3781638681588173
ACH-000204,-0.9439248944147616
ACH-000206,-0.847255840879731
ACH-000207,-0.7080871708291072
ACH-000208,-0.7969326303350753
ACH-000210,-1.030023959669495
ACH-000211,-0.7826887689348316
ACH-000215,-0.8010402526660911
ACH-000221,-1.0202837847504946
ACH-000222,-0.7377533351627562
ACH-000223,-0.6676667318202286
ACH-000226,-1.0079049806075195
ACH-000227,-0.6950119098232322
ACH-000228,-1.1123986792799034
ACH-000231,-0.8981791366322693
ACH-000232,-0.7616109365759248
ACH-000233,-0.7891568605855388
ACH-000234,-0.8874678297842665
ACH-000235,-0.9481064898088202
ACH-000237,-0.9748700198583342
ACH-000238,-1.0946309755355743
ACH-000242,-0.7486228886933347
ACH-000243,-0.9561802282215174
