,ETV3L (440695)
ACH-000004,0.2029025971299731
ACH-000005,0.2824044665358945
ACH-000007,-0.036638961358838575
ACH-000009,-0.13501277398463885
ACH-000011,0.07018740520983087
ACH-000012,-0.09537199321813757
ACH-000013,0.059830357167627926
ACH-000014,0.08824554264415076
ACH-000015,-0.006117456121968394
ACH-000017,0.08905881377638955
ACH-000018,0.10041544195337193
ACH-000019,0.022038498301776142
ACH-000021,0.04172814674376903
ACH-000022,0.05085027933490867
ACH-000025,-0.017669538234114143
ACH-000028,0.028263186787170155
ACH-000030,0.03521260282506215
ACH-000035,0.02751640362406573
ACH-000036,0.0108518321084886
ACH-000037,0.04382630291112164
ACH-000039,0.06515307761048933
ACH-000040,0.04076951405876469
ACH-000041,0.11840905113589102
ACH-000042,0.09098650593791044
ACH-000045,0.05709165364056255
ACH-000047,-0.07601095075745644
ACH-000052,-0.0617303507644406
ACH-000053,0.0056060816375211224
ACH-000054,0.018426849139995937
ACH-000055,-0.058565044699181563
ACH-000060,0.1319048804115222
ACH-000067,0.08142683770711896
ACH-000070,0.10289833693477247
ACH-000075,-0.045107927565375766
ACH-000078,-0.1013585796345132
ACH-000082,0.11718890431672932
ACH-000085,-0.11883992318053599
ACH-000086,-0.1674496655000109
ACH-000087,0.09319770265521687
ACH-000092,-0.09244995520543592
ACH-000095,0.1234170541013119
ACH-000097,0.06951111698534537
ACH-000098,0.02800880167781282
ACH-000099,0.0534373848218855
ACH-000108,-0.013478691231672595
ACH-000113,0.09860790275909297
ACH-000116,0.02713067504649367
ACH-000118,-0.012660321433479805
ACH-000120,-0.009070714420038106
ACH-000123,-0.008555774172727995
ACH-000127,0.023029683277470257
ACH-000128,0.10044094238412454
ACH-000132,0.0129021972779772
ACH-000133,0.01312773490459826
ACH-000137,0.0061309163076049365
ACH-000138,0.05231076467904395
ACH-000142,0.09281687546123812
ACH-000143,-0.1403185683254006
ACH-000146,0.02246299147669603
ACH-000148,-0.00544608613337712
ACH-000150,0.2299663318401892
ACH-000152,0.006437360202766811
ACH-000153,0.08476217888318757
ACH-000159,0.10192649620773417
ACH-000160,0.0860880145175179
