,BRF2 (55290)
ACH-000004,-1.2536011460355967
ACH-000005,-1.2701232467642376
ACH-000007,-1.0812489434040475
ACH-000009,-1.2070044695262434
ACH-000011,-1.3199479346782863
ACH-000012,-1.1430292739977768
ACH-000013,-1.2645718756694913
ACH-000014,-1.320735555891978
ACH-000015,-1.071445653596972
ACH-000017,-1.3588523946072912
ACH-000018,-1.229703392900651
ACH-000019,-1.4294468794286783
ACH-000021,-1.1387995933788857
ACH-000022,-1.0360293729518908
ACH-000025,-1.2333822589586625
ACH-000028,-1.2720959999520554
ACH-000030,-1.340712909209426
ACH-000035,-1.3240745131185314
ACH-000036,-1.0276231943066585
ACH-000037,-0.4599895746392016
ACH-000039,-1.2435950995596137
ACH-000040,-1.1008498007876104
ACH-000041,-1.2579639774201743
ACH-000042,-1.2743330358201936
ACH-000045,-1.0681176198891824
ACH-000047,-1.1965894744413617
ACH-000052,-1.2342214514690697
ACH-000053,-1.4079162946199972
ACH-000054,-1.0213641454589344
ACH-000055,-1.4314991502291554
ACH-000060,-1.0873470519204769
ACH-000067,-1.0089292258982197
ACH-000070,-1.304864088304923
ACH-000075,-1.1558223195077182
ACH-000078,-1.1338248829476432
ACH-000082,-1.0201013629749291
ACH-000085,-1.1554666817322952
ACH-000086,-1.2291829977954316
ACH-000087,-1.2024151720054248
ACH-000092,-1.012044759043501
ACH-000095,-1.0705625376266936
ACH-000097,-1.088994459879856
ACH-000098,-1.1351865866295334
ACH-000099,-1.09039148891815
ACH-000108,-1.3648113543143792
ACH-000113,-1.1175028085829195
ACH-000116,-1.1541688477290122
ACH-000118,-1.3559624981432494
ACH-000120,-1.0672839828219047
ACH-000123,-1.291409526199686
ACH-000127,-1.336874279364865
ACH-000128,-1.3457292607170588
ACH-000132,-1.3111256420807795
ACH-000133,-0.9242943508964286
ACH-000137,-1.225870105680251
ACH-000138,-0.9685942544875084
ACH-000142,-1.119107210658393
ACH-000143,-1.2818524886776101
ACH-000146,-1.1888418952388342
ACH-000148,-1.2007183067175284
ACH-000150,-1.507645306040456
ACH-000152,-1.022001039636254
ACH-000153,-1.3895184862562284
ACH-000159,-1.3431216833407276
ACH-000160,-1.498570592928039
ACH-000163,-1.0595543550324995
ACH-000167,-1.2959454984571586
ACH-000168,-1.0535521352338946
ACH-000169,-1.2659980808791875
ACH-000178,-1.236922782620822
ACH-000183,-1.1733731217753096
ACH-000188,-1.1776712513041467
ACH-000189,-0.9830827614967949
ACH-000190,-1.4125533476459666
ACH-000198,-1.2030970715066298
ACH-000203,-1.5164450452288898
ACH-000204,-1.1622366395056365
ACH-000206,-1.2842224135407585
ACH-000207,-1.1734905961133597
ACH-000208,-0.9013549115599498
ACH-000210,-0.9042577413738452
ACH-000211,-1.157326939182052
ACH-000215,-1.1835462608070642
ACH-000221,-1.3479499035018372
ACH-000222,-1.1089742262080091
ACH-000223,-1.437147370999234
ACH-000226,-1.1499580120242952
ACH-000227,-0.8290402550248341
ACH-000228,-1.4417969117511658
ACH-000231,-1.196591244981616
ACH-000232,-1.2452966329058026
ACH-000233,-1.3286296317364663
ACH-000234,-1.1616221262334558
ACH-000235,-1.089623724690476
ACH-000237,-1.2294486655505892
ACH-000238,-0.9036435367189241
ACH-000242,-0.8511522269174279
ACH-000243,-0.8742752520139649
ACH-000244,-1.0801301323311263
ACH-000246,-1.15442855192644
ACH-000248,-1.32312399428149
ACH-000250,-1.1860033164084136
ACH-000251,-1.184942627824717
ACH-000252,-1.2724177622624206
ACH-000253,-1.1838339504627702
ACH-000255,-1.0841078914425228
ACH-000256,-1.28962913556102
ACH-000257,-1.3994298545074084
ACH-000258,-1.0726976601329117
ACH-000259,-1.3963903855577495
ACH-000260,-1.220165847316461
ACH-000261,-1.2935596825292326
ACH-000262,-1.5924738100890532
ACH-000263,-1.3085363269908343
ACH-000264,-1.295889752401614
ACH-000265,-1.2757318490409713
ACH-000266,-1.073007408590594
ACH-000272,-1.1643428991121232
ACH-000274,-1.176165108383703
ACH-000277,-1.397054665813968
ACH-000278,-1.522123555820292
ACH-000279,-1.1763335798330532
ACH-000280,-1.3411786326763708
ACH-000281,-1.1397406249726212
ACH-000288,-0.9152807783145688
ACH-000291,-1.255727176611435
ACH-000293,-1.452402966889765
ACH-000294,-1.206057660542229
ACH-000295,-1.4294645596236155
ACH-000296,-1.316002265817097
ACH-000302,-1.3075499297852402
ACH-000304,-1.3183001446883245
ACH-000307,-1.2493763102617008
ACH-000308,-1.370338601568469
ACH-000310,-1.1848483610319167
ACH-000311,-1.041320401549953
ACH-000312,-1.2726316868866678
ACH-000315,-1.6566027280827338
ACH-000316,-1.3228861660061115
ACH-000317,-1.3271082724069103
ACH-000318,-1.2345095225612597
ACH-000319,-1.2982720338004683
ACH-000320,-1.1532351435017811
ACH-000322,-1.0959387575094486
ACH-000323,-1.1687963765899918
ACH-000324,-1.1892878363094423
ACH-000329,-1.1283134073945706
ACH-000330,-1.6173883172099093
ACH-000331,-1.2891110073691356
ACH-000332,-1.280840085194168
ACH-000334,-1.333957405389088
ACH-000335,-1.0356908175349058
ACH-000336,-1.3800497659400102
ACH-000337,-1.4675716545901032
ACH-000338,-1.3216534800832629
ACH-000339,-1.2522885901906178
ACH-000341,-1.1171942533431325
ACH-000348,-1.166444109256487
ACH-000350,-1.2624925724296379
ACH-000352,-1.41322348795855
ACH-000356,-1.3311612847996483
ACH-000361,-0.906867858223942
ACH-000362,-0.9893571227558836
ACH-000363,-1.294414633008093
ACH-000364,-1.3594406831042973
ACH-000365,-1.1636315786205886
ACH-000366,-1.128592370399599
ACH-000368,-1.1610286216041608
ACH-000374,-1.3709779790069043
ACH-000375,-1.3530005069737248
ACH-000376,-1.0538314427926003
ACH-000381,-1.3780641332721062
ACH-000383,-1.1974163580186286
ACH-000387,-1.2572342980980866
ACH-000389,-1.1002084412682678
ACH-000390,-1.3339182491394348
ACH-000393,-1.2144297261918966
