,CCS (9973)
ACH-000004,-0.09240810382657004
ACH-000005,-0.3094067201428637
ACH-000007,-0.43116110297748095
ACH-000009,-0.17100299177804268
ACH-000011,-0.5097338022995752
ACH-000012,-0.18641861085974293
ACH-000013,-0.16467431542510605
ACH-000014,-0.1534143649171658
ACH-000015,-0.19015821465116106
ACH-000017,-0.25335833877313524
ACH-000018,-0.13397343110115853
ACH-000019,-0.05242600711088313
ACH-000021,-0.15731523321855662
ACH-000022,-0.18806843552500296
ACH-000025,-0.07836679998518067
ACH-000028,-0.6009479575956755
ACH-000030,-0.4536611595178599
ACH-000035,-0.2396377537431109
ACH-000036,-0.2608072491424052
ACH-000037,-0.5922702443243428
ACH-000039,-0.3013790360367866
ACH-000040,-0.12164345910309053
ACH-000041,-0.2400156901590477
ACH-000042,-0.18166143814713545
ACH-000045,-0.3702864083110101
ACH-000047,-0.17712297971703295
ACH-000052,-0.28089933888123186
ACH-000053,-0.10860431968049852
ACH-000054,-0.1520086010459225
ACH-000055,-0.17218734946438108
ACH-000060,-0.1798311348185201
ACH-000067,0.012890880391334713
ACH-000070,-0.269977643362884
ACH-000075,-0.1089024640089176
ACH-000078,-0.1300480694082197
ACH-000082,-0.28452950379730235
ACH-000085,-0.05789454578498265
ACH-000086,-0.5644330914523868
ACH-000087,-0.2518409842952751
ACH-000092,-0.058012843587386925
ACH-000095,-0.1762316624656872
ACH-000097,-0.4110967122876763
ACH-000098,0.029975120346395163
ACH-000099,-0.16552085385650492
ACH-000108,-0.1268820203125632
ACH-000113,-0.0077701068308141785
ACH-000116,-0.2576356021038252
ACH-000118,-0.13243028582157512
ACH-000120,-0.3553550749444873
ACH-000123,-0.2358638091444242
ACH-000127,-0.1925040379368346
ACH-000128,0.05960493220865636
ACH-000132,-0.12476480007109494
ACH-000133,-0.3788873674524648
ACH-000137,-0.0712418114087231
ACH-000138,-0.2770599977308865
ACH-000142,-0.21445262193231368
ACH-000143,-0.03313266864321029
ACH-000146,-0.04925841443807241
ACH-000148,-0.12102315355460967
ACH-000150,-0.0942905437817224
ACH-000152,-0.535355648036151
ACH-000153,-0.2483868469532108
ACH-000159,-0.6947957282084486
ACH-000160,-0.20078054781263094
ACH-000163,-0.2728243577048228
ACH-000167,-0.5126379483046013
ACH-000168,-0.2481268490844881
ACH-000169,-0.3538254927261494
ACH-000178,-0.16150798470606806
ACH-000183,-0.034526136764514576
ACH-000188,-0.2439489509731507
ACH-000189,-0.4391343437036157
ACH-000190,-0.2765834944955233
ACH-000198,-0.2357274238454163
ACH-000203,-0.3016011759964423
ACH-000204,-0.03206510210386234
ACH-000206,-0.15898119749388331
ACH-000207,-0.4415772994078393
ACH-000208,-0.1290545533851158
ACH-000210,-0.3137283681634623
ACH-000211,-0.2883336481905289
ACH-000215,-0.5759817891914366
ACH-000221,-0.2818570860737005
ACH-000222,-0.10956892142031167
ACH-000223,-0.2095023009662829
ACH-000226,-0.24513515286979135
ACH-000227,-0.3102764824110541
ACH-000228,-0.4222668893139385
ACH-000231,-0.1995913943109741
ACH-000232,-0.13673963769545375
ACH-000233,-0.31253891153154545
ACH-000234,-0.3190351044323271
ACH-000235,-0.3486661933147226
ACH-000237,-0.5002138441029955
ACH-000238,-0.13808382904594746
ACH-000242,-0.14303768832405733
ACH-000243,-0.21159499743366225
ACH-000244,-0.4547076312432348
ACH-000246,-0.42699213417621423
ACH-000248,-0.2390678548047569
ACH-000250,-0.2980824507674583
ACH-000251,-0.3305533192562119
ACH-000252,-0.3088589478275807
ACH-000253,-0.22764005473931986
ACH-000255,-0.21322453785934334
ACH-000256,-0.2749192641434773
ACH-000257,-0.023804427144283817
ACH-000258,-0.11638611967563182
ACH-000259,-0.15996241476188627
ACH-000260,-0.4459564405744907
ACH-000261,-0.2095910986969571
ACH-000262,-0.205227540592697
ACH-000263,-0.5107942607151368
ACH-000264,-0.1705315917936617
ACH-000265,-0.1981261799466676
ACH-000266,-0.1330828587117533
ACH-000272,-0.14547025733206792
ACH-000274,0.00646763577592126
ACH-000277,-0.3667016318678279
ACH-000278,-0.28118250482451
ACH-000279,-0.21950093929942605
ACH-000280,-0.31394201334103194
ACH-000281,-0.0710925036857183
ACH-000288,-0.1380818356728707
ACH-000291,-0.2631002546651834
ACH-000293,-0.3097881587647425
ACH-000294,-0.21927633909389052
ACH-000295,-0.08032203455755205
ACH-000296,-0.16648187906185855
ACH-000302,-0.19869146480576624
ACH-000304,-0.2924829025586057
ACH-000307,-0.14273830114944702
ACH-000308,-0.2131059662334107
ACH-000310,-0.04448705309566578
ACH-000311,-0.13696585904048147
ACH-000312,-0.2598417076838607
ACH-000315,-0.23793003961365594
ACH-000316,-0.17880075000417014
ACH-000317,-0.3122552139569569
ACH-000318,-0.31292905695051865
ACH-000319,-0.360200881549658
ACH-000320,-0.01395628934653498
ACH-000322,-0.0670175381211501
ACH-000323,-0.00960345448782407
ACH-000324,-0.6493813113469565
ACH-000329,-0.01178110957964284
ACH-000330,-0.43967546123840795
ACH-000331,-0.10232820331311394
ACH-000332,-0.28189594578265914
ACH-000334,-0.385847707946014
ACH-000335,-0.17640105713553936
ACH-000336,-0.03773682635061349
ACH-000337,-0.4567557785939085
ACH-000338,-0.23094833348948146
ACH-000339,-0.6074099061030541
ACH-000341,-0.3052181840438535
ACH-000348,-0.3716300530235323
ACH-000350,-0.15149982702288947
ACH-000352,-0.3432134190444825
ACH-000356,-0.5799153144148307
ACH-000361,-0.11661528191260245
ACH-000362,-0.2217932046585645
ACH-000363,-0.1337875300534537
ACH-000364,-0.374018977412056
ACH-000365,-0.197470045511852
ACH-000366,-0.3478034739642967
ACH-000368,-0.15183312611830854
ACH-000374,-0.2744652904828365
ACH-000375,-0.4984248578206166
ACH-000376,-0.560885298811139
ACH-000381,-0.19048435555293955
ACH-000383,-0.20685056705905155
ACH-000387,-0.20353345818613391
ACH-000389,-0.2025025475006825
ACH-000390,-0.07725235746729664
ACH-000393,-0.21508148654248288
ACH-000395,-0.4319642788180265
ACH-000396,-0.27252689499784616
ACH-000397,-0.14905930956680552
ACH-000401,-0.4283190282106829
ACH-000402,0.08142385435510728
ACH-000403,-0.09635187510240167
ACH-000404,-0.06441919135830229
ACH-000406,-0.04618103417932233
ACH-000407,-0.3436483471249613
ACH-000408,-0.33658955405716195
ACH-000410,-0.3485016301502996
ACH-000411,-0.15601023037779846
ACH-000414,-0.194961880237902
ACH-000415,-0.32407346179947505
ACH-000416,-0.12711204105137278
ACH-000420,-0.20069793154339333
ACH-000421,-0.2059890667731504
ACH-000424,-0.24083153911113914
ACH-000425,-0.18403148031787905
ACH-000426,-0.12175249280542505
ACH-000427,-0.354015446202504
ACH-000433,-0.2316285668221092
ACH-000435,0.02208906054642631
ACH-000436,-0.05667301567929011
ACH-000444,-0.27327442062262386
ACH-000445,-0.057763184095422214
ACH-000448,-0.08779699732424752
ACH-000450,-0.5128089759351395
ACH-000452,-0.2908030365554326
ACH-000454,-0.05644827219607474
ACH-000458,-0.24719880129131466
ACH-000459,0.00473238320009985
ACH-000460,-0.3622902803577018
ACH-000461,-0.3808147206417489
ACH-000463,-0.7856465865774848
ACH-000464,-0.0908192647237642
ACH-000466,-0.15003863494717426
ACH-000467,-0.18108079293393745
ACH-000468,-0.1126608564012767
ACH-000469,-0.1710586964662697
ACH-000470,-0.12098345023601588
ACH-000471,-0.3317696300697065
ACH-000472,-0.41580749213381
ACH-000473,-0.3430469056616464
ACH-000475,-0.21438374291527865
ACH-000476,-0.1865705823378988
ACH-000477,-0.8811263044296712
ACH-000479,-0.18697420908645848
ACH-000480,-0.23356659168536234
ACH-000481,-0.20875275387671166
ACH-000483,-0.13135967105478788
ACH-000484,-0.2665101655078126
