,HIST1H2AM (8336)
ACH-000004,-0.2911848446625828
ACH-000005,-0.2958800582321478
ACH-000007,-0.4049585837056525
ACH-000009,-0.1215301693958537
ACH-000011,-0.2900363420866173
ACH-000012,-0.19694567105691893
ACH-000013,-0.271074657034728
ACH-000014,-0.23841357176183964
ACH-000015,-0.22707939127989615
ACH-000017,-0.3821895513944328
ACH-000018,-0.2109246025251061
ACH-000019,-0.2420788996810394
ACH-000021,-0.30019484662269963
ACH-000022,-0.17112488340878146
ACH-000025,-0.16153073128861994
ACH-000028,-0.2652340904496616
ACH-000030,-0.2670402033005093
ACH-000035,-0.3022065211492159
ACH-000036,-0.2519074085589074
ACH-000037,-0.2642836640099864
ACH-000039,-0.24471848916569716
ACH-000040,-0.19182629487518
ACH-000041,-0.2698536832950601
ACH-000042,-0.12569109280250018
ACH-000045,-0.35427217992696824
ACH-000047,-0.4068256532382727
ACH-000052,-0.3109889134076779
ACH-000053,-0.28732137868613017
ACH-000054,-0.1472873497652447
ACH-000055,-0.3045966152702478
ACH-000060,-0.31738663698213165
ACH-000067,-0.30453890417594065
ACH-000070,-0.20765283124961265
ACH-000075,-0.20775012726814754
ACH-000078,-0.21092775665152744
ACH-000082,-0.06171958047758218
ACH-000085,-0.309300298395345
ACH-000086,-0.3350223665441683
ACH-000087,-0.2511608638946926
ACH-000092,-0.15911821137847545
ACH-000095,-0.3277250404068461
ACH-000097,-0.30855328667023874
ACH-000098,-0.2185963293890949
ACH-000099,-0.2663404702153759
ACH-000108,-0.10702341914751264
ACH-000113,-0.2459807882290493
ACH-000116,-0.21654561528883373
ACH-000118,-0.2751818112423769
ACH-000120,-0.30085404976357744
ACH-000123,-0.2776470803446225
ACH-000127,-0.33528847039032594
ACH-000128,-0.3937139128212331
ACH-000132,-0.3182468549930167
ACH-000133,-0.26453793761491906
ACH-000137,-0.25517513784750384
ACH-000138,-0.2562062945026154
ACH-000142,-0.2905343567985401
ACH-000143,-0.3029813662967769
ACH-000146,-0.16904744396116025
ACH-000148,-0.13944068381032848
ACH-000150,-0.1049813854865312
ACH-000152,-0.315320698422213
ACH-000153,-0.2370125887041193
ACH-000159,-0.2468107764611449
ACH-000160,-0.2523001525727196
ACH-000163,-0.3100496093497864
ACH-000167,-0.3088908447390845
ACH-000168,-0.4546987358707287
ACH-000169,-0.3712213078302503
ACH-000178,-0.12815117067166734
ACH-000183,-0.208961956373228
ACH-000188,-0.16443737043426845
ACH-000189,-0.316587640116714
ACH-000190,-0.4126361281437727
ACH-000198,-0.2819205149906356
ACH-000203,-0.5191148713022942
ACH-000204,0.1342778277891993
ACH-000206,-0.11456603137117564
ACH-000207,-0.2200539422567348
ACH-000208,-0.2432310642909391
ACH-000210,-0.20291569474551266
ACH-000211,-0.2643941672869361
ACH-000215,-0.2616732931830724
ACH-000221,-0.3537489941604725
ACH-000222,-0.4637674926686173
ACH-000223,-0.4369503509002944
ACH-000226,-0.2420221348790988
ACH-000227,-0.2406396444480283
ACH-000228,-0.4115627012692293
ACH-000231,-0.3051612800739855
ACH-000232,-0.18734118865838492
ACH-000233,-0.4330483411871681
ACH-000234,-0.2965555181882891
ACH-000235,-0.3019227598437637
ACH-000237,-0.2718624147183511
ACH-000238,-0.3737951380819453
ACH-000242,-0.3111690509477724
ACH-000243,-0.23956380789638776
ACH-000244,-0.1997839670270536
ACH-000246,-0.3082066708540324
ACH-000248,-0.29658347903803184
ACH-000250,-0.18138273351717213
ACH-000251,-0.1605122624856251
ACH-000252,-0.0924415479548154
ACH-000253,-0.2949152511106038
ACH-000255,-0.16520982748912988
ACH-000256,-0.4513036591932848
ACH-000257,-0.2574353480714309
ACH-000258,-0.3652171944720098
ACH-000259,-0.08295481965028052
ACH-000260,-0.3248244832504865
