,PDE6H (5149)
ACH-000004,0.3419975455906937
ACH-000005,0.1843233695848248
ACH-000007,0.3086740741178232
ACH-000009,0.2421300762501147
ACH-000011,0.1882754114378947
ACH-000012,0.3227573876692812
ACH-000013,0.2813548819867259
ACH-000014,0.2680676155483078
ACH-000015,0.129429279365657
ACH-000017,0.21485483972830716
ACH-000018,0.23801820605212634
ACH-000019,0.27946164483951724
ACH-000021,0.2275582442921873
ACH-000022,0.21123486644847408
ACH-000025,0.16625659230061848
ACH-000028,0.3781600742685
ACH-000030,0.24941031040912345
ACH-000035,0.20280221374462248
ACH-000036,0.21924356146153565
ACH-000037,0.16850065382640106
ACH-000039,0.17459198781298496
ACH-000040,0.2524052304071933
ACH-000041,0.19493025967973715
ACH-000042,0.2916260352812375
ACH-000045,0.06140136002496175
ACH-000047,0.1416522737851095
ACH-000052,0.21788924774300056
ACH-000053,0.27836196843996897
ACH-000054,0.2691367654924912
ACH-000055,0.17282779869955608
ACH-000060,0.2537785633139704
ACH-000067,0.572145313984134
ACH-000070,0.21565136462065135
ACH-000075,0.0194496926655909
ACH-000078,0.3552070515143695
ACH-000082,0.15798845661879507
ACH-000085,-0.04289511090947423
ACH-000086,0.3078599583074431
ACH-000087,0.2686001750240773
ACH-000092,0.25157666564628794
ACH-000095,0.2646712422902273
ACH-000097,0.2596477309990108
ACH-000098,0.3003171124537127
ACH-000099,0.30633381903533874
ACH-000108,0.5052615369943275
ACH-000113,0.13500108910253247
ACH-000116,0.3435157273622225
ACH-000118,0.2591758480351547
ACH-000120,0.20136266889857704
ACH-000123,0.23127139800720845
ACH-000127,0.24987840360309801
ACH-000128,0.19277809859972708
ACH-000132,0.3214021048121605
ACH-000133,0.2139591923655651
ACH-000137,0.2659948127235377
ACH-000138,0.20902249477741566
ACH-000142,0.19837478435658445
ACH-000143,0.3781534890749288
ACH-000146,0.3113080935606686
ACH-000148,0.2594403890662165
ACH-000150,0.32557314001444
ACH-000152,0.21637750190826707
ACH-000153,0.2316930317595726
ACH-000159,0.20326773201814613
ACH-000160,0.3179265615496406
ACH-000163,0.24652746480689305
ACH-000167,0.256977864909735
ACH-000168,0.2735661734763561
ACH-000169,0.3741934112896945
ACH-000178,0.2519493651284549
ACH-000183,0.227434852281454
ACH-000188,0.2007837010114117
ACH-000189,0.4062771095808882
ACH-000190,0.06680467213700438
ACH-000198,0.2740792681085471
ACH-000203,0.26229715258428205
ACH-000204,0.2355363383499927
ACH-000206,0.2254557783768693
ACH-000207,0.2694122128692549
ACH-000208,0.1280977243991259
ACH-000210,0.2467914725180141
ACH-000211,0.14773776148376094
ACH-000215,0.19779120050204232
