,CDK11A (728642)
ACH-000004,-0.4738895424392249
ACH-000005,-0.6600751198174775
ACH-000007,-0.7293096676010865
ACH-000009,-0.7883510617366183
ACH-000011,-0.8403666378699602
ACH-000012,-0.8423914316031835
ACH-000013,-0.5796991176895705
ACH-000014,-0.5319949414206838
ACH-000015,-0.4904394463932574
ACH-000017,-0.5028219661490295
ACH-000018,-0.7726703699853935
ACH-000019,-0.658459942529807
ACH-000021,-0.5876164660972077
ACH-000022,-0.8419224185576859
ACH-000025,-0.6550699470187429
ACH-000028,-0.4153003475090711
ACH-000030,-0.7491408635706431
ACH-000035,-0.8577370914703051
ACH-000036,-0.7577966466368193
ACH-000037,-0.8971206265123447
ACH-000039,-0.6345061289342656
ACH-000040,-0.5748503691532
ACH-000041,-0.6424386821400689
ACH-000042,-0.6474463026368218
ACH-000045,-0.6224907222947397
ACH-000047,-0.6624762159320932
ACH-000052,-0.6744132348604044
ACH-000053,-0.6153134901797449
ACH-000054,-0.7066473374499659
ACH-000055,-0.5305199794418187
ACH-000060,-0.9021284564431824
ACH-000067,-0.5603639614396855
ACH-000070,-0.7382902321984071
ACH-000075,-0.6005078761369245
ACH-000078,-0.7455053960403968
ACH-000082,-0.8942423076418521
ACH-000085,-0.5735350136022516
ACH-000086,-0.6401103467270479
ACH-000087,-0.7472194885732706
ACH-000092,-0.6783999667136894
ACH-000095,-0.76725075814839
ACH-000097,-0.7664427629027606
ACH-000098,-0.5363561118521848
ACH-000099,-0.9489366449539368
ACH-000108,-0.7380177356507649
ACH-000113,-0.8719833980536729
ACH-000116,-0.6288092486422991
ACH-000118,-0.7027976427915009
ACH-000120,-0.9112667543302918
ACH-000123,-0.7428081000535707
ACH-000127,-0.8252357557316945
ACH-000128,-0.6658509322796313
ACH-000132,-0.6515245686814372
ACH-000133,-0.7510289132083586
ACH-000137,-0.7083607924536884
ACH-000138,-0.648635535224986
ACH-000142,-0.7559659065800561
ACH-000143,-0.639931643676348
ACH-000146,-0.5834929597642977
ACH-000148,-0.5725338196038605
ACH-000150,-0.8957400368731959
ACH-000152,-0.7915825359752159
ACH-000153,-0.5524275559083869
ACH-000159,-0.5482594959997809
ACH-000160,-0.6481972338857066
ACH-000163,-0.5043802474561279
ACH-000167,-1.4637069891101502
ACH-000168,-0.8094331740192859
ACH-000169,-0.8097090337469718
ACH-000178,-0.6182448923591554
ACH-000183,-0.4793382102298484
ACH-000188,-0.7362988528178711
ACH-000189,-0.8096163573101139
ACH-000190,-0.5253046761019269
ACH-000198,-0.5057485886750577
ACH-000203,-0.531635251787066
ACH-000204,-0.5380956393510684
ACH-000206,-0.5454120843153305
ACH-000207,-0.4335604920579541
ACH-000208,-0.7952364873310996
ACH-000210,-0.8190813540148824
ACH-000211,-0.5756713437988452
ACH-000215,-0.6770762814922792
ACH-000221,-0.7176523708562512
ACH-000222,-0.6616690791208852
ACH-000223,-0.7842990763362755
ACH-000226,-0.7029330179609831
ACH-000227,-0.7046820434091202
ACH-000228,-0.4268397569728277
ACH-000231,-0.5924922705024006
ACH-000232,-0.5846099205960767
ACH-000233,-0.7327452047203862
ACH-000234,-0.7856339827164263
ACH-000235,-0.6638482424619209
ACH-000237,-0.8238144450024817
ACH-000238,-0.8104383034102381
ACH-000242,-0.4604744264118094
ACH-000243,-0.7034957837863273
ACH-000244,-0.5352980540344151
ACH-000246,-0.7611043947849632
ACH-000248,-0.729004076958245
ACH-000250,-0.8020560414869013
ACH-000251,-0.6449683001271618
ACH-000252,-0.9655273976399807
ACH-000253,-0.5471069779669772
ACH-000255,-0.721483895608415
ACH-000256,-0.6655243747523629
ACH-000257,-0.7587756850944477
ACH-000258,-0.5300910047113873
ACH-000259,-0.6220356941042585
ACH-000260,-0.7768220956967191
ACH-000261,-0.7683700242703493
ACH-000262,-0.5935878576725527
ACH-000263,-0.6979052192949327
ACH-000264,-0.7080728332702269
ACH-000265,-0.5592304775174938
ACH-000266,-0.464903417025555
ACH-000272,-0.7657732614502138
ACH-000274,-0.6627111449965271
ACH-000277,-1.0656028460580511
ACH-000278,-0.7133929602193357
ACH-000279,-0.7598841906510816
ACH-000280,-0.5639245396461033
ACH-000281,-0.6146692321496902
ACH-000288,-0.7383976226258132
ACH-000291,-0.7283600083924083
ACH-000293,-0.6528130813137571
ACH-000294,-1.0311754998422962
ACH-000295,-0.7254476434776052
ACH-000296,-0.9445200940443796
ACH-000302,-0.7450377099216221
ACH-000304,-0.5957611850073087
ACH-000307,-0.6490245142462371
ACH-000308,-0.6729470637266121
ACH-000310,-0.9330012066060565
ACH-000311,-0.6488024644567871
ACH-000312,-0.8230778057674051
ACH-000315,-0.7335707760339095
ACH-000316,-0.6634277024947077
ACH-000317,-0.6747907253815372
ACH-000318,-0.5909922267263167
ACH-000319,-0.8589857114283079
ACH-000320,-0.7464747807008729
ACH-000322,-0.8778686907445343
ACH-000323,-0.9028214380778492
ACH-000324,-0.740219952093574
ACH-000329,-0.6793710375108373
ACH-000330,-0.910535200500086
ACH-000331,-0.7973534787161926
ACH-000332,-0.7340387227763263
ACH-000334,-0.6933133360903082
ACH-000335,-0.4754417877747714
ACH-000336,-0.6125406140284718
ACH-000337,-0.4163679142237684
ACH-000338,-1.0137275541789987
ACH-000339,-0.5992814844324067
ACH-000341,-0.5882809507793789
ACH-000348,-0.6641463509419606
ACH-000350,-0.6111501083070989
ACH-000352,-0.6006668030403489
ACH-000356,-0.6480699669323748
ACH-000361,-0.5666113703218171
ACH-000362,-0.5520032194888185
ACH-000363,-0.7028602068840236
ACH-000364,-0.7493171462531486
ACH-000365,-0.7094468244002464
ACH-000366,-0.8455727927591358
ACH-000368,-0.5937145226572668
ACH-000374,-0.5461263896563295
ACH-000375,-0.7332529524162172
ACH-000376,-0.5469218797285192
ACH-000381,-0.7891204392470419
ACH-000383,-0.8730765040134054
ACH-000387,-0.6537193297249283
ACH-000389,-0.6881321735180184
ACH-000390,-0.7734313419757805
ACH-000393,-0.7622145251390438
ACH-000395,-0.8028238014019312
ACH-000396,-0.8168513211727837
ACH-000397,-0.8412004840350135
ACH-000401,-0.6579317690732951
ACH-000402,-0.7680062018296232
ACH-000403,-0.844481797351072
ACH-000404,-0.7525188990991085
ACH-000406,-0.723118053711268
ACH-000407,-0.767691661727194
ACH-000408,-0.8078546244319165
ACH-000410,-0.6008344863295395
ACH-000411,-0.9308579348039124
ACH-000414,-0.6531527154489732
ACH-000415,-0.5222307148941208
ACH-000416,-0.7151504640301967
ACH-000420,-0.5980870152984253
ACH-000421,-0.594160205138175
ACH-000424,-0.7312396125202991
ACH-000425,-0.7596944477919955
ACH-000426,-0.6480523697011531
ACH-000427,-0.8033016489156238
ACH-000433,-0.7375966122462306
ACH-000435,-1.075709287147631
ACH-000436,-0.5859051864603301
ACH-000444,-0.9451778422138992
ACH-000445,-0.7824379553550423
ACH-000448,-0.7474056988872098
ACH-000450,-0.861511525743172
ACH-000452,-0.5557523373150274
ACH-000454,-0.6850560878390649
ACH-000458,-0.6192778180164873
ACH-000459,-0.6658425960086994
ACH-000460,-0.7560589682341631
ACH-000461,-0.4722912941696156
ACH-000463,-0.7074403913855459
ACH-000464,-0.8129773216341326
ACH-000466,-0.5985736466017207
ACH-000467,-0.7701973485371543
ACH-000468,-0.6242459921271939
ACH-000469,-0.6908223967974514
