,UBE2O (63893)
ACH-000004,-0.2814744478527299
ACH-000005,0.05047505203931525
ACH-000007,-0.3410374714392963
ACH-000009,-0.4483240055394587
ACH-000011,-0.6233923361916224
ACH-000012,-0.273184126078477
ACH-000013,-0.32842194880545056
ACH-000014,-0.15728051941920995
ACH-000015,-0.2204374532667592
ACH-000017,-0.4499753913444572
ACH-000018,-0.2816281200144875
ACH-000019,-0.3030733123205492
ACH-000021,-0.3133778374649404
ACH-000022,-0.2940272897544315
ACH-000025,-0.2712496730983336
ACH-000028,-0.3289882081050595
ACH-000030,-0.3833455726167328
ACH-000035,-0.2047865393113948
ACH-000036,-0.3688487403332046
ACH-000037,-0.3929620582720883
ACH-000039,-0.5103333146450123
ACH-000040,-0.3672019768514529
ACH-000041,-0.5141203420548103
ACH-000042,-0.3851398498967951
ACH-000045,-0.24576533878640844
ACH-000047,-0.26653576813453683
ACH-000052,-0.4520028445431598
ACH-000053,-0.31149256236715017
ACH-000054,-0.3027046366865491
ACH-000055,-0.3419199305109017
ACH-000060,-0.3428447911608023
ACH-000067,-0.24987399195181126
ACH-000070,-0.3238896380756909
ACH-000075,-0.34888173299337466
ACH-000078,-0.4857524778822178
ACH-000082,-0.3468921470392103
ACH-000085,-0.5370647675859462
ACH-000086,-0.36864817780804143
ACH-000087,-0.17125123751488291
ACH-000092,-0.34238363243632225
ACH-000095,-0.3783339587809039
ACH-000097,-0.18924909171890245
ACH-000098,-0.24697403809586416
ACH-000099,-0.5652276727591725
ACH-000108,-0.3851843496177704
ACH-000113,-0.25811486195585776
ACH-000116,-0.4948561883735168
ACH-000118,-0.1848007529236616
ACH-000120,-0.6150750530236452
ACH-000123,-0.43263249582267976
ACH-000127,-0.4606582923518277
ACH-000128,-0.26775037096580034
ACH-000132,-0.3821175698803985
ACH-000133,-0.3269078812584916
ACH-000137,-0.2799167162604529
ACH-000138,-0.43257606743314897
ACH-000142,-0.4136053761153589
ACH-000143,-0.4474462210869765
ACH-000146,-0.3109055631179383
ACH-000148,-0.3088060413073525
ACH-000150,-0.5667726951315295
ACH-000152,-0.5005473123068872
ACH-000153,-0.17017655268230325
ACH-000159,-0.4244862704226712
ACH-000160,-0.4093940953221672
ACH-000163,-0.2587925736931074
ACH-000167,-0.4414101442386078
ACH-000168,-0.5550843478098406
