,RICTOR (253260)
ACH-000004,-0.18074363927897524
ACH-000005,-0.058125542095949764
ACH-000007,-0.7635242211959329
ACH-000009,-0.2820567630755804
ACH-000011,-0.9209272872731952
ACH-000012,-0.14675148734952015
ACH-000013,-0.6756073502102907
ACH-000014,-0.6289505050695772
ACH-000015,-0.07776838153122985
ACH-000017,-0.974258101220314
ACH-000018,-0.5355070731848327
ACH-000019,-0.455408389415056
ACH-000021,-0.16183550877039976
ACH-000022,-0.5106832039345096
ACH-000025,-0.6241290123470324
ACH-000028,-0.3946624302220931
ACH-000030,-0.29059397761949496
ACH-000035,-0.4564150149723574
ACH-000036,-0.4314943827186597
ACH-000037,-0.3483047426871837
ACH-000039,-0.5826948805883142
ACH-000040,-0.3757892250515
ACH-000041,-0.6244557708541617
ACH-000042,-0.4833273992648749
ACH-000045,-0.0756598261630105
ACH-000047,-0.25302039339799304
ACH-000052,-0.5072026587521249
ACH-000053,-0.4359700480891372
ACH-000054,-0.33992578891623776
ACH-000055,0.14771056033453392
ACH-000060,-0.5288621101861211
ACH-000067,-0.7226489693040606
ACH-000070,-0.4711091039551401
ACH-000075,-0.2412575338847229
ACH-000078,-0.2279593987632393
ACH-000082,-0.2803571490634329
ACH-000085,-0.5733136126204686
ACH-000086,-0.4663492970699499
ACH-000087,-0.40531460671201297
ACH-000092,-0.5729529160903316
ACH-000095,-0.6020209831144515
ACH-000097,-0.8484775359708103
ACH-000098,-0.8654883184438809
ACH-000099,-0.3165323709318186
ACH-000108,-0.5774988679754883
ACH-000113,-0.2761450613280453
ACH-000116,-0.3330787604228252
ACH-000118,-0.4955909036367573
ACH-000120,-0.2733162666749267
ACH-000123,-0.29846353811027704
ACH-000127,-0.29424565975881056
ACH-000128,-0.4753536469281162
ACH-000132,-0.2494844050873261
ACH-000133,-0.2895034657137362
ACH-000137,-0.1644326088253569
ACH-000138,-0.25182358636631724
ACH-000142,-0.36174642558625225
ACH-000143,-0.7564489220428979
ACH-000146,-0.4524123464386182
ACH-000148,-0.697019554333515
ACH-000150,-0.4531034980360495
ACH-000152,-0.6364309943791842
ACH-000153,-0.4593100812344294
ACH-000159,-0.6312603401311346
ACH-000160,-0.359480536675351
ACH-000163,-0.5185443531393079
ACH-000167,-0.7563045292504768
ACH-000168,-0.2936803944142424
ACH-000169,-0.3414001482899168
ACH-000178,-0.5563502143769469
ACH-000183,-0.7813140986175973
ACH-000188,-0.08589280236148979
ACH-000189,-0.5483127026134214
ACH-000190,-0.4560794923960897
ACH-000198,0.06845216160116017
ACH-000203,0.158027507287701
ACH-000204,-0.7686747811265431
ACH-000206,-0.13006373259311846
ACH-000207,-0.611068067300932
