,GCSAML (148823)
ACH-000004,-0.06552019524509609
ACH-000005,-0.23233043015353186
ACH-000007,-0.2519268038545288
ACH-000009,-0.03498906552575682
ACH-000011,-0.14683801306847788
ACH-000012,-0.11592208018534594
ACH-000013,-0.02386013945658316
ACH-000014,-0.04910028282645728
ACH-000015,-0.05071744166377439
ACH-000017,-0.18445159503856995
ACH-000018,-0.2394031355047746
ACH-000019,-0.1031294181950123
ACH-000021,-0.08143559849309966
ACH-000022,-0.1115030276653531
ACH-000025,0.0038459820198793702
ACH-000028,-0.1783801235024417
ACH-000030,-0.09310011000166883
ACH-000035,-0.053900262354119786
ACH-000036,-0.018791516628267675
ACH-000037,-0.1187803962633899
ACH-000039,0.1485183733966529
ACH-000040,-0.17390891598807265
ACH-000041,-0.1368733811405506
ACH-000042,-0.04982064685270325
ACH-000045,-0.15178954048920068
ACH-000047,-0.10965813252775737
ACH-000052,-0.24165275078499104
ACH-000053,-0.0359512153636739
ACH-000054,-0.09339423149893612
ACH-000055,-0.3244516883498689
ACH-000060,-0.16620953322936494
ACH-000067,-0.0622133827685647
ACH-000070,-0.09798341787322934
ACH-000075,0.12358427428491672
ACH-000078,-0.17795895335657005
ACH-000082,-0.04226120135666601
ACH-000085,0.0031416903510678965
ACH-000086,-0.06231185330028768
ACH-000087,-0.12773170423844046
ACH-000092,-0.10149072128771566
ACH-000095,0.02115296937933794
ACH-000097,-0.06185992025998512
ACH-000098,-0.10876006692422166
ACH-000099,-0.08029148708308839
ACH-000108,-0.10577927879971408
ACH-000113,-0.09090623252219107
ACH-000116,-0.2076051186738214
ACH-000118,-0.14385555354090696
ACH-000120,-0.01115512654500761
ACH-000123,-0.07441070720715917
ACH-000127,-0.11530875747762567
ACH-000128,-0.1524428510261543
ACH-000132,-0.16570938699308524
ACH-000133,-0.05589761666113602
ACH-000137,0.10286640456595993
ACH-000138,-0.02682600193554824
ACH-000142,0.027834853310819464
ACH-000143,-0.016908607855416754
ACH-000146,-0.05533686931933453
ACH-000148,-0.1447360759929503
ACH-000150,-0.2305993889256473
ACH-000152,-0.08119201000857977
ACH-000153,-0.002074695839709585
ACH-000159,-0.06297808585127998
ACH-000160,0.012891824565286527
ACH-000163,-0.17840784577855526
ACH-000167,0.22152131281227824
ACH-000168,-0.10190628107822927
ACH-000169,-0.15608483333689918
ACH-000178,-0.02686199027989341
ACH-000183,-0.12622933991191493
ACH-000188,-0.0485401798829762
ACH-000189,-0.2669142885772749
ACH-000190,-0.19403914851305012
ACH-000198,0.027576123758400357
ACH-000203,-0.043451043369099884
ACH-000204,-0.16487292162393574
ACH-000206,-0.14145946623487288
ACH-000207,-0.049584151859670536
ACH-000208,-0.01828854391855621
ACH-000210,-0.5277040160183614
ACH-000211,-0.0986328150048368
ACH-000215,-0.14676771474636452
ACH-000221,0.02512823742179774
ACH-000222,-0.14009801371077588
ACH-000223,-0.08475706693497204
ACH-000226,0.004350424689803919
ACH-000227,-0.06196319253056616
ACH-000228,-0.12080824181481685
ACH-000231,-0.05775219309059355
ACH-000232,-0.1999346525550688
ACH-000233,-0.3170936855011163
