,OR5AC2 (81050)
ACH-000004,-0.07208094445251521
ACH-000005,-0.18714488374748234
ACH-000007,0.1506945379444823
ACH-000009,0.06372924184481404
ACH-000011,0.0274058529619988
ACH-000012,0.0947568432381616
ACH-000013,0.09771271542609014
ACH-000014,-0.18939787727912316
ACH-000015,0.08703403963651186
ACH-000017,0.03711018333806791
ACH-000018,0.16868460966327978
ACH-000019,-0.06849900868482359
ACH-000021,-0.003928865009365843
ACH-000022,0.08783553907294721
ACH-000025,-0.04376260426124266
ACH-000028,0.01859898279318725
ACH-000030,0.06921863001766043
ACH-000035,-0.11393261005665185
ACH-000036,0.0945738196034198
ACH-000037,0.02857888650387446
ACH-000039,-0.010642558608226915
ACH-000040,-0.09341251183378096
ACH-000041,0.01948842393094261
ACH-000042,0.13195510450031905
ACH-000045,0.05208145879344615
ACH-000047,0.06325418168522898
ACH-000052,0.14014128992208835
ACH-000053,-0.026103768825295613
ACH-000054,-0.0627677785830199
ACH-000055,-0.010623567981515444
ACH-000060,-0.19314562397631327
ACH-000067,-0.03213100796795892
ACH-000070,0.08352182977311942
ACH-000075,-0.08509516292609058
ACH-000078,0.0597174102075174
ACH-000082,0.09762232218709688
ACH-000085,-0.011160531283482156
ACH-000086,0.1036603799472812
ACH-000087,0.06397951488990049
ACH-000092,0.007897802329642002
ACH-000095,0.004835710470793451
ACH-000097,-0.03255566729404973
ACH-000098,0.078225361063457
ACH-000099,0.07834317737376909
ACH-000108,-0.04155337381286574
ACH-000113,-0.014456616975919044
ACH-000116,0.09301302075682946
ACH-000118,0.04461729747057186
ACH-000120,0.03201120144637284
ACH-000123,0.018589384044154972
ACH-000127,0.07732251402375516
ACH-000128,0.04287128522906559
ACH-000132,-0.11513341343425905
ACH-000133,0.032188207561323366
ACH-000137,-0.010685313298672948
ACH-000138,0.04915982421033655
ACH-000142,0.052543399421992584
ACH-000143,-0.11180674627233804
ACH-000146,0.06727005334892311
ACH-000148,0.0947710903029771
ACH-000150,0.04703100493259108
ACH-000152,-0.0171693705391576
ACH-000153,0.015278405799158698
ACH-000159,0.054806377430069386
ACH-000160,0.1319901719299524
ACH-000163,-0.08883922071219592
ACH-000167,-0.1485340623163552
ACH-000168,0.17811412056843864
ACH-000169,0.025029117168915274
ACH-000178,-0.018822716234467515
ACH-000183,0.14472503250964042
ACH-000188,-0.010366352022340757
ACH-000189,-0.07781503608735348
ACH-000190,0.06759945470575345
ACH-000198,0.05659950000598798
ACH-000203,0.0345099457121355
ACH-000204,0.06036942034640645
ACH-000206,-0.001798286946530784
ACH-000207,-0.003678861222982851
ACH-000208,0.2012998604837803
ACH-000210,0.047451371242740716
ACH-000211,-0.0005203654336133479
ACH-000215,0.07542822304288611
ACH-000221,-0.07383801772583085
ACH-000222,0.008150532936085792
ACH-000223,0.09088365063044207
ACH-000226,0.0001952426690303529
ACH-000227,0.0972806750469648
ACH-000228,0.06677920971060465
ACH-000231,0.0736896595351296
ACH-000232,-0.0972591109390592
ACH-000233,0.003762382294559758
ACH-000234,0.0903831382830443
ACH-000235,0.021176674875741024
ACH-000237,-0.04969673430239541
ACH-000238,0.20563679212030905
ACH-000242,0.03331270656056201
ACH-000243,0.1077498564725132
ACH-000244,-0.14410020363054638
ACH-000246,-0.02081888057698894
ACH-000248,0.01307138344647132
ACH-000250,-0.03092862437680268
ACH-000251,-0.16622924856465626
ACH-000252,-0.0623000877945344
ACH-000253,-0.0527284521444541
ACH-000255,0.12308886898632443
ACH-000256,0.10316709990356104
ACH-000257,0.08410384752658495
ACH-000258,0.2418263660478177
ACH-000259,-0.03500706886533192
ACH-000260,0.002772443281554009
ACH-000261,-0.04848758092867347
ACH-000262,-0.08345785609060659
ACH-000263,0.1095572341468585
ACH-000264,0.006898095362310596
ACH-000265,0.003632577596043704
ACH-000266,0.07888715003931425
ACH-000272,-0.040153251889625916
ACH-000274,-0.0476829025499378
ACH-000277,0.05058094797473564
ACH-000278,0.013569676061591188
ACH-000279,0.039412313902580966
ACH-000280,0.004860787325877414
ACH-000281,0.0612643151103795
ACH-000288,0.06718275666584389
ACH-000291,-0.09174591826404202
ACH-000293,-0.032114317161372516
ACH-000294,0.03461021656575016
ACH-000295,0.11997824177082166
ACH-000296,-0.12605028529425946
ACH-000302,-0.052277316642217055
ACH-000304,0.009516695250298985
ACH-000307,0.00630752247332809
ACH-000308,0.1279765937609746
ACH-000310,0.01074702278151878
ACH-000311,-0.06270346994447881
ACH-000312,-0.010458761733186007
ACH-000315,0.13340204088975946
ACH-000316,0.04303642724279237
ACH-000317,-0.009941404735116866
ACH-000318,0.010429724288313612
ACH-000319,-0.0034002352714495704
ACH-000320,-0.08229525602730328
ACH-000322,0.02305389588955024
ACH-000323,0.038527961449576584
ACH-000324,0.0302690602045582
ACH-000329,0.0467913533214995
ACH-000330,0.040172450813160725
ACH-000331,-0.034318013170986116
ACH-000332,0.050949495566618035
ACH-000334,-0.0014043463551636193
ACH-000335,0.0666224255157195
ACH-000336,0.13248707203343416
ACH-000337,-0.03631722508792312
ACH-000338,-0.06945149946521785
ACH-000339,0.038755882520079166
ACH-000341,-0.028822102083056262
ACH-000348,0.01822118248941489
ACH-000350,-0.07553616509542195
ACH-000352,-0.002227696609641297
ACH-000356,-0.0026253489115678477
