,XRN2 (22803)
ACH-000004,-1.270022207702471
ACH-000005,-1.22674341975642
ACH-000007,-0.9534499742412847
ACH-000009,-0.9920073773711148
ACH-000011,-0.82053303747971
ACH-000012,-0.9683875737811456
ACH-000013,-0.994235533390534
ACH-000014,-1.0462834352725892
ACH-000015,-1.0035969053928242
ACH-000017,-0.9642806325910648
ACH-000018,-0.911382722486758
ACH-000019,-0.5130161659583354
ACH-000021,-1.0464558376967652
ACH-000022,-0.9882232760416132
ACH-000025,-1.1546178486888892
ACH-000028,-0.9301581547062427
ACH-000030,-0.9392841780142452
ACH-000035,-1.2106300663513905
ACH-000036,-0.7460962265623766
ACH-000037,-0.4471485196281894
ACH-000039,-1.096418433527616
ACH-000040,-0.9976300539621428
ACH-000041,-0.8262020516660394
ACH-000042,-0.9988877974025374
ACH-000045,-0.9112838167393801
ACH-000047,-0.9262309581423772
ACH-000052,-1.2849962626303957
ACH-000053,-0.9792730412747808
ACH-000054,-0.9816986153702416
ACH-000055,-1.0871758710011146
ACH-000060,-0.8732119608065946
ACH-000067,-0.9189471761961719
ACH-000070,-0.8764907995369511
ACH-000075,-1.356665698295023
ACH-000078,-0.8106599123627468
ACH-000082,-0.8410097078994397
ACH-000085,-0.9123813650615102
ACH-000086,-0.9519176719539628
ACH-000087,-0.9631139090777578
ACH-000092,-0.8097027721396397
ACH-000095,-0.8808581003519368
ACH-000097,-1.1528963850727092
ACH-000098,-1.1283587307821827
ACH-000099,-0.9868953332129315
ACH-000108,-1.0558518788253688
ACH-000113,-0.8590946339857657
ACH-000116,-1.2261234215374919
ACH-000118,-0.9644293065626374
ACH-000120,-1.1421524574056665
ACH-000123,-0.8261302926829742
ACH-000127,-0.9675208220947727
ACH-000128,-1.0656490575063726
ACH-000132,-0.9011004757967838
ACH-000133,-1.1195621385928447
ACH-000137,-1.3780630138449608
ACH-000138,-1.065536607518198
ACH-000142,-0.8141076003559004
ACH-000143,-0.9956620408735269
ACH-000146,-0.8831952632423048
ACH-000148,-1.0014476598952828
ACH-000150,-1.0506707979688557
ACH-000152,-0.9357207633159588
ACH-000153,-1.158586307150165
ACH-000159,-0.7303938248158189
ACH-000160,-1.3190093234273332
ACH-000163,-1.1429511905179528
ACH-000167,-1.0859195423995327
ACH-000168,-1.0621189670051991
