,PDF (64146)
ACH-000004,-0.11181842070985616
ACH-000005,-0.2104493850158484
ACH-000007,0.012042228033056315
ACH-000009,0.008483428340334682
ACH-000011,-0.04216307862816172
ACH-000012,-0.1837028817826721
ACH-000013,-0.061464900666871124
ACH-000014,0.08148005582371598
ACH-000015,0.03667357835675325
ACH-000017,-0.09594682019486783
ACH-000018,0.03148403396064278
ACH-000019,-0.23277359319063384
ACH-000021,-0.0736981332229593
ACH-000022,-0.10223604175692526
ACH-000025,-0.14575264021653245
ACH-000028,0.024475408941446026
ACH-000030,-0.054045606534278784
ACH-000035,-0.10244695382712683
ACH-000036,-0.2007340061020676
ACH-000037,-0.365729354006642
ACH-000039,-0.10032751084849101
ACH-000040,-0.12909323323611518
ACH-000041,0.03383608460667337
ACH-000042,-0.10935686748952897
ACH-000045,0.02101931348387684
ACH-000047,0.030167049240214086
ACH-000052,-0.10189920610614787
ACH-000053,-0.15351029461546525
ACH-000054,-0.138402000333244
ACH-000055,-0.14848032448766474
ACH-000060,0.014167906060570187
ACH-000067,-0.17553061885566726
ACH-000070,0.028029235687256432
ACH-000075,-0.10449601137188727
ACH-000078,-0.05417975745097444
ACH-000082,-0.08237405289544628
ACH-000085,-0.12870741373929867
ACH-000086,-0.05242264879841066
ACH-000087,0.04370607704185231
ACH-000092,-0.05242313229563239
ACH-000095,-0.08180834223978976
ACH-000097,-0.07066488556422196
ACH-000098,-0.057764960483915724
ACH-000099,-0.03258483002066217
ACH-000108,-0.05044102372072213
ACH-000113,-0.13620190374485616
ACH-000116,0.05380599131692125
ACH-000118,-0.05852840397330389
ACH-000120,-0.13257043845102728
ACH-000123,-0.03078806612125718
ACH-000127,-0.19469586800896346
ACH-000128,0.1192112054231862
ACH-000132,-0.27893394053743625
ACH-000133,-0.23507243936257002
ACH-000137,-0.0987039131573756
ACH-000138,-0.05612184341188002
ACH-000142,-0.05895050409822331
ACH-000143,-0.1564152712743095
ACH-000146,0.010604130798220705
ACH-000148,-0.06940247712649372
ACH-000150,-0.06519538649420391
ACH-000152,-0.2058505613813902
ACH-000153,-0.15872951918609365
ACH-000159,-0.08204056176048348
ACH-000160,-0.005715943871815571
ACH-000163,0.05965395415134207
ACH-000167,-0.113748460032758
ACH-000168,-0.1948408832340222
ACH-000169,-0.02201754518609459
ACH-000178,-0.14273590166844355
ACH-000183,-0.11131126986792006
ACH-000188,-0.01676469828584976
ACH-000189,-0.1013263856877798
ACH-000190,-0.344656340854012
ACH-000198,-0.022265892807567886
ACH-000203,-0.18569091210552416
ACH-000204,-0.2187551287048889
ACH-000206,-0.32245409483238624
ACH-000207,-0.1300932451645072
ACH-000208,-0.11450061338956613
ACH-000210,-0.17458180579453744
ACH-000211,-0.07013649352139509
ACH-000215,-0.0876091937397415
ACH-000221,-0.21586879124963806
ACH-000222,-0.15115650256710875
ACH-000223,-0.027547120144029574
ACH-000226,0.0018875298564268329
ACH-000227,-0.07631356607641841
ACH-000228,-0.038519574668045696
ACH-000231,-0.004244124897862239
ACH-000232,-0.1141096915720029
ACH-000233,-0.06653720866647779
ACH-000234,-0.07819348814456666
ACH-000235,-0.07604610962260999
ACH-000237,-0.10233062982300024
ACH-000238,-0.05978814289946696
ACH-000242,-0.17628622282045578
ACH-000243,-0.10394068700792794
ACH-000244,0.03376385325864912
ACH-000246,-0.06779941585437972
ACH-000248,-0.06826295065665504
ACH-000250,-0.14469424594796712
ACH-000251,-0.02048942775761501
ACH-000252,0.029517931780272406
ACH-000253,-0.05073874201684268
ACH-000255,-0.097622104181972
ACH-000256,0.025467428360211337
ACH-000257,-0.046820472087373416
