,AP1G2 (8906)
ACH-000004,-0.2436586830057717
ACH-000005,-0.5016642281526481
ACH-000007,-0.15211836791724398
ACH-000009,-0.34925060766117016
ACH-000011,-0.17893436514845998
ACH-000012,-0.35436787142726217
ACH-000013,-0.1583031450110253
ACH-000014,-0.2667942925586859
ACH-000015,-0.2967590251473109
ACH-000017,-0.4190228927970339
ACH-000018,-0.149239058751363
ACH-000019,-0.3254481778670061
ACH-000021,-0.22179293912474526
ACH-000022,-0.2885662929619491
ACH-000025,-0.16404959925063192
ACH-000028,-0.3947496209402804
ACH-000030,-0.3076026225697812
ACH-000035,-0.13150105360868244
ACH-000036,-0.29677804998503793
ACH-000037,-0.27377941881112744
ACH-000039,-0.38710874665829537
ACH-000040,-0.4206546719043823
ACH-000041,-0.198441271378358
ACH-000042,-0.22075930339802866
ACH-000045,-0.25333454074950285
ACH-000047,-0.3092057269602112
ACH-000052,-0.2695809357952008
ACH-000053,-0.3894676911975104
ACH-000054,-0.30874148027703785
ACH-000055,-0.13498414727325062
ACH-000060,-0.5472546535606214
ACH-000067,-0.4134951639873432
ACH-000070,-0.5548903970829946
ACH-000075,0.0550143624561114
ACH-000078,-0.35072775464307776
ACH-000082,-0.2959542849438201
ACH-000085,-0.2559998853358185
ACH-000086,-0.2900469590316063
ACH-000087,-0.5681139821431995
ACH-000092,-0.4256343569744788
ACH-000095,-0.3413585065462536
ACH-000097,-0.4092591404740206
ACH-000098,-0.2286808262823973
ACH-000099,-0.392189723552916
ACH-000108,-0.12888431652811255
ACH-000113,-0.3877895002731532
ACH-000116,-0.32959883980710514
ACH-000118,-0.3737948261782113
ACH-000120,-0.2520663948104246
ACH-000123,-0.29164673510466754
ACH-000127,-0.34839071543562683
ACH-000128,-0.20065020129917485
ACH-000132,-0.2778128229850771
ACH-000133,-0.3777169804817477
ACH-000137,-0.3241356238386257
ACH-000138,-0.3420953610183902
ACH-000142,-0.2545627097226039
ACH-000143,-0.09407495770341466
ACH-000146,-0.2015615850889637
ACH-000148,-0.30735454615109625
ACH-000150,-0.05962302027903048
ACH-000152,-0.3681171777677537
ACH-000153,-0.2814830661149798
ACH-000159,-0.3605294032547088
ACH-000160,-0.5216670255621925
ACH-000163,-0.3490100882493871
ACH-000167,-0.3270408803459577
ACH-000168,-0.3416087459660842
ACH-000169,-0.3541334434707512
ACH-000178,-0.3754530386095684
ACH-000183,-0.1604866296842603
ACH-000188,-0.36058235551467777
ACH-000189,-0.5829468423319885
ACH-000190,-0.5497114511470346
ACH-000198,-0.22447315027817635
ACH-000203,-0.24309869266706136
ACH-000204,-0.27731659683479665
ACH-000206,-0.12224203217440048
ACH-000207,-0.4926437598001278
ACH-000208,-0.6887727370168442
ACH-000210,-0.3423132693835001
ACH-000211,-0.2865423496196564
ACH-000215,-0.2877098232517127
ACH-000221,-0.3197865922566253
ACH-000222,-0.0016667612372343462
ACH-000223,-0.3367724457992101
ACH-000226,-0.3525010578343962
ACH-000227,-0.18639119433710866
ACH-000228,-0.1657433120658177
ACH-000231,-0.37802864101302136
ACH-000232,-0.2477820316285928
ACH-000233,-0.3475860927347089
ACH-000234,-0.4036869202069353
ACH-000235,-0.2863084241445229
ACH-000237,-0.17608609555819998
ACH-000238,-0.42958406325167103
ACH-000242,-0.7784467532609562
ACH-000243,-0.3666966469662183
ACH-000244,-0.21881595637389947
ACH-000246,-0.2548935409077253
ACH-000248,-0.4628168535900506
ACH-000250,-0.25297736890497835
ACH-000251,0.09942823168309813
ACH-000252,-0.6272297674617207
ACH-000253,-0.16745537086981654
ACH-000255,-0.3742158606773547
ACH-000256,-0.3157608414558785
ACH-000257,-0.4929560874563589
ACH-000258,-0.20124931602574744
ACH-000259,-0.2461869142245925
ACH-000260,-0.2744009937672004
ACH-000261,-0.3659957095651245
ACH-000262,-0.17188499760636425
ACH-000263,-0.29793438825825425
ACH-000264,-0.32708074580089275
ACH-000265,-0.22125946578985733
ACH-000266,-0.23942519430185005
ACH-000272,-0.3345542742350289
ACH-000274,-0.2967000157556265
ACH-000277,-0.17269815236467084
ACH-000278,-0.35441606292076083
ACH-000279,-0.3478763750916353
ACH-000280,-0.2390032675980917
ACH-000281,-0.14886537472704894
ACH-000288,-0.28664877366011593
ACH-000291,-0.2084610624172044
ACH-000293,-0.3469283544627396
ACH-000294,-0.20775466768697806
ACH-000295,-0.2694794372979718
ACH-000296,-0.2417292186372245
ACH-000302,-0.20632966080054246
ACH-000304,-0.3960454664994559
ACH-000307,-0.2047517194071886
ACH-000308,-0.2467643639025377
ACH-000310,-0.32798813970352275
ACH-000311,-0.3799179815398945
ACH-000312,-0.19235465041830965
ACH-000315,-0.23259358181007425
ACH-000316,-0.2181595768470621
ACH-000317,-0.38869342443284427
ACH-000318,-0.5185744245548943
ACH-000319,-0.3043473376254596
ACH-000320,-0.2647524738905864
ACH-000322,-0.19155979323155786
ACH-000323,-0.3401262756549052
ACH-000324,-0.26762023917014577
ACH-000329,-0.19615195599772295
ACH-000330,-0.0853521716793044
ACH-000331,-0.21592951441620295
ACH-000332,-0.13831626980043712
ACH-000334,-0.31806674082077163
ACH-000335,-0.4785981564084794
ACH-000336,-0.36063262705870586
ACH-000337,-0.5807296406436336
ACH-000338,0.11014548072935036
ACH-000339,-0.3917117874991117
ACH-000341,-0.40795244530912
ACH-000348,-0.2618392794718987
ACH-000350,-0.2373437709948216
ACH-000352,-0.2850252905364236
ACH-000356,-0.4499295623821545
ACH-000361,-0.2762450475160002
ACH-000362,-0.3370275658121599
ACH-000363,-0.335169593036326
ACH-000364,-0.3078122869862008
ACH-000365,-0.32682124138100555
ACH-000366,-0.3367619656865654
ACH-000368,-0.1929088074614935
ACH-000374,-0.28462269864013184
ACH-000375,-0.3845082768771231
ACH-000376,-0.45634359066415997
ACH-000381,-0.2982889983233309
ACH-000383,-0.27312201463197205
ACH-000387,-0.2881093347609326
ACH-000389,-0.3942046713352553
ACH-000390,-0.3819180643884407
ACH-000393,-0.4143222906140134
ACH-000395,-0.16351027673316712
ACH-000396,-0.2279687489454871
ACH-000397,-0.3207491251898449
ACH-000401,-0.19006652649203729
ACH-000402,-0.027821440591322785
ACH-000403,-0.3064973751623519
ACH-000404,-0.2101278892788221
ACH-000406,-0.2623995137565861
ACH-000407,-0.3388864033690857
ACH-000408,-0.19146657507857429
ACH-000410,-0.4015985734049253
ACH-000411,-0.17820704528721878
ACH-000414,-0.2216947836998871
ACH-000415,-0.435316763131355
ACH-000416,-0.2652345575081421
ACH-000420,-0.2963557184601737
ACH-000421,-0.3142356617305902
ACH-000424,-0.2768866175456728
ACH-000425,-0.2522969092015086
ACH-000426,0.08526225666282132
ACH-000427,-0.35486920197582056
ACH-000433,-0.4551431283814301
ACH-000435,-0.15439775694692315
ACH-000436,-0.25024042898558085
ACH-000444,-0.35773622637982216
ACH-000445,-0.2425631386957962
ACH-000448,-0.38886907334116905
ACH-000450,-0.5800662606005393
ACH-000452,-0.2617800479686241
ACH-000454,-0.3934429564597521
ACH-000458,-0.40294476714932204
ACH-000459,-0.07994039817371272
ACH-000460,-0.3354295204965742
ACH-000461,-0.3572239826482684
ACH-000463,-0.33319050599315697
ACH-000464,-0.23595236956371626
ACH-000466,-0.3054346407882313
ACH-000467,-0.3786450827949287
ACH-000468,-0.16597285720236082
ACH-000469,-0.44486984356582776
ACH-000470,-0.33912083383415537
ACH-000471,-0.23712526295651226
ACH-000472,-0.2873377398246211
ACH-000473,-0.2638408698197737
ACH-000475,-0.3529058319103058
ACH-000476,-0.2393780695877647
ACH-000477,-0.3762460709426312
ACH-000479,-0.2508438307521627
ACH-000480,-0.25252032964092763
ACH-000481,-0.4280629188936708
ACH-000483,-0.408376428260865
ACH-000484,-0.5201733598737577
ACH-000485,-0.2326913897341547
ACH-000486,-0.4113963140907251
ACH-000487,-0.11293841812585816
ACH-000488,-0.4016595860732116
ACH-000490,-0.3730481159772327
ACH-000491,-0.30724280411028826
ACH-000495,-0.4075317249210644
ACH-000496,-0.22423172585861265
ACH-000499,-0.27387404417343986
ACH-000500,-0.14087502179378578
ACH-000502,-0.4531222993930442
ACH-000503,-0.2706830955960199
ACH-000505,-0.2759816700790891
ACH-000507,-0.4144758147156906
ACH-000510,-0.2453327298694917
ACH-000511,-0.3410590293405965
ACH-000512,-0.2926608332736317
ACH-000516,-0.23791045480245784
ACH-000517,-0.2520732407086145
ACH-000518,-0.29683244083417365
ACH-000520,-0.4723701561488156
ACH-000521,-0.28824333464406954
ACH-000522,-0.31461480116083546
ACH-000524,-0.3736282446622041
ACH-000527,-0.3285065668635014
ACH-000528,-0.2135322182842985
ACH-000537,-0.3751461913956363
ACH-000541,-0.44228568217157294
ACH-000542,-0.4090228681030567
ACH-000544,-0.3173729021101109
ACH-000545,-0.4582186748699374
ACH-000547,-0.3052017493225256
ACH-000548,-0.09350376232203764
ACH-000549,-0.2818936937129684
ACH-000550,-0.4273172794561598
ACH-000552,-0.43453588278438987
ACH-000556,-0.2721193046299043
ACH-000557,-0.3045741148623823
ACH-000569,-0.1788775489160016
ACH-000570,-0.3073262336461237
ACH-000571,-0.29136383207663696
ACH-000573,-0.38891869787041305
ACH-000576,-0.2952861509730015
ACH-000579,-0.07741520837101716
ACH-000580,-0.2808211657460554
ACH-000584,-0.3547137735645734
ACH-000585,-0.2640381684713841
ACH-000588,-0.4356425700445799
ACH-000589,-0.11388841452598575
ACH-000591,-0.22078941985201167
ACH-000593,-0.2293026633943407
ACH-000600,-0.3311427346294236
ACH-000601,-0.34073899003106883
ACH-000605,-0.2399193572534489
ACH-000606,-0.35765286340320485
ACH-000608,-0.3098576979703507
ACH-000614,-0.11072148766577612
ACH-000616,-0.31541737052211843
ACH-000618,-0.2367423597717447
ACH-000619,-0.2459036314484452
ACH-000620,-0.3116733755121578
ACH-000621,-0.2911576322092205
ACH-000622,-0.3274498086467386
ACH-000623,-0.3434448882308914
ACH-000624,-0.3628358974560343
ACH-000627,-0.4303900316332686
ACH-000630,-0.19778361140494494
ACH-000631,-0.6204519681796363
ACH-000632,-0.4362862853987305
ACH-000633,-0.3120404459640829
ACH-000637,-0.370070511615125
ACH-000638,-0.2503820517697153
ACH-000646,-0.6441257240825569
ACH-000647,-0.2124986122959251
ACH-000648,-0.5079145446792532
ACH-000649,-0.32366102561714805
ACH-000651,-0.34426810026207794
ACH-000652,-0.26530375124809397
ACH-000653,-0.17042124691250282
ACH-000657,-0.3798446020686719
ACH-000658,-0.17001440182879027
ACH-000661,-0.4811540928453858
ACH-000662,-0.36859558158266426
ACH-000663,-0.4574018425998624
ACH-000665,-0.22567347076686534
ACH-000671,-0.4175050261576629
ACH-000672,-0.4885365893662746
ACH-000673,-0.2228247014258244
ACH-000676,-0.21187056169792504
ACH-000677,-0.3056017365001769
ACH-000681,-0.3100701408714163
ACH-000683,-0.3875729191399776
ACH-000684,-0.5283548770313001
ACH-000688,-0.3112128846637244
ACH-000693,-0.3581933869735033
ACH-000694,-0.4674808886628674
ACH-000695,-0.0763284391398085
ACH-000696,-0.462696377130192
ACH-000697,-0.21909024126258167
ACH-000699,-0.3519120382019039
ACH-000701,-0.2158524997143688
ACH-000706,-0.27171616241869084
ACH-000711,-0.32243752627103145
ACH-000713,-0.5069821959643837
ACH-000714,-0.3141000940218174
ACH-000718,-0.21253023398990975
ACH-000720,-0.2501848805119791
ACH-000721,-0.3798875051288305
ACH-000724,-0.2363183486538171
ACH-000725,-0.4693810383673533
ACH-000732,-0.35640927867349603
ACH-000734,-0.2470054458401951
ACH-000735,-0.295588266899996
ACH-000736,-0.2707687448561277
ACH-000738,-0.3420529677537313
ACH-000746,-0.42500446015417903
ACH-000747,-0.4085938368073097
ACH-000748,-0.4220395673646363
ACH-000753,-0.4163451226311917
ACH-000756,-0.3647938262289194
ACH-000757,-0.3266541856304828
ACH-000758,-0.21557409319763812
ACH-000760,-0.2208256746987879
ACH-000762,-0.27413049723965
