,RPA2 (6118)
ACH-000004,-0.5866612219927305
ACH-000005,-0.7968800599373781
ACH-000007,-0.8945010527150641
ACH-000009,-1.0282792037489543
ACH-000011,-1.4420659869289345
ACH-000012,-1.1774296905277566
ACH-000013,-1.41590884110793
ACH-000014,-1.0132180539744615
ACH-000015,-0.8902417819675211
ACH-000017,-1.2066444915289285
ACH-000018,-0.898642718652979
ACH-000019,-1.1122907887654971
ACH-000021,-0.925611071997312
ACH-000022,-1.2427703149254767
ACH-000025,-1.0077533661043585
ACH-000028,-1.037247955077674
ACH-000030,-1.3181175986403024
ACH-000035,-1.1226122218676278
ACH-000036,-1.0534562007289654
ACH-000037,-1.036701225996168
ACH-000039,-0.9983615160822532
ACH-000040,-1.0935753247403135
ACH-000041,-0.935147841381194
ACH-000042,-1.1254704864526357
ACH-000045,-1.0218076181074387
ACH-000047,-1.0222175277211958
ACH-000052,-0.8607224288978491
ACH-000053,-0.9430208096870891
ACH-000054,-1.0291698747906128
ACH-000055,-1.0107651212290276
ACH-000060,-1.047231158272793
ACH-000067,-0.8978777820894932
ACH-000070,-1.0254037492917385
ACH-000075,-0.91758084673485
ACH-000078,-0.998028629407639
ACH-000082,-1.3337850872219934
ACH-000085,-1.162398497480105
ACH-000086,-0.8092836039074043
ACH-000087,-0.9294274814542784
ACH-000092,-0.9294086130866916
ACH-000095,-1.0693652261929931
ACH-000097,-1.1968756758302213
ACH-000098,-0.8554678191806366
ACH-000099,-0.8872345632152062
ACH-000108,-1.07328935769434
ACH-000113,-1.0630209880874957
ACH-000116,-1.235310463649301
ACH-000118,-1.0410372003829764
ACH-000120,-1.1989925340685157
ACH-000123,-0.9416427659149162
ACH-000127,-1.3623977468200092
ACH-000128,-0.8435387456082322
ACH-000132,-1.0129050580412244
ACH-000133,-1.3313625644605125
ACH-000137,-0.9571155391738672
ACH-000138,-1.04006193321697
ACH-000142,-1.0184541286692324
ACH-000143,-0.9826993672817697
ACH-000146,-1.0919621151613552
ACH-000148,-1.1757210626926116
ACH-000150,-1.1033283283266635
ACH-000152,-0.9588109308065034
ACH-000153,-1.2471130102676948
ACH-000159,-1.2317530326156056
ACH-000160,-1.1172470326460426
ACH-000163,-0.7375763163411494
ACH-000167,-2.362613048114844
ACH-000168,-0.7618323105385795
ACH-000169,-0.8336973944366404
ACH-000178,-1.0516977188463836
ACH-000183,-1.0847642554932242
ACH-000188,-1.1206242932376171
ACH-000189,-1.0755478245120982
ACH-000190,-0.9582254673482472
ACH-000198,-0.9985837576062538
ACH-000203,-0.9413694903002592
ACH-000204,-0.909050764182048
ACH-000206,-1.4540699625545932
ACH-000207,-1.8030645966010428
ACH-000208,-0.8035200299236278
ACH-000210,-1.3284215917530642
ACH-000211,-0.9351037717104702
ACH-000215,-1.0740972840766383
ACH-000221,-0.8534928006644226
ACH-000222,-1.002095384250855
ACH-000223,-1.164526250250344
ACH-000226,-0.9731071087747584
ACH-000227,-1.6057984386129434
ACH-000228,-1.1491978301968009
ACH-000231,-0.8172312409400404
ACH-000232,-1.008044304423802
ACH-000233,-0.9891160253276716
ACH-000234,-1.2561580035193092
ACH-000235,-1.120782713832104
ACH-000237,-1.4640086774198355
ACH-000238,-1.2674257221151493
ACH-000242,-1.0583345108088085
ACH-000243,-1.2412586138015893
ACH-000244,-1.269890950338758
ACH-000246,-1.2814293665805532
ACH-000248,-1.0621134432721913
ACH-000250,-1.030971784150554
ACH-000251,-1.5542667083433097
ACH-000252,-1.1066871763939017
ACH-000253,-1.059209655712716
ACH-000255,-1.093868692794416
ACH-000256,-1.006166610631405
ACH-000257,-0.5619328010194061
ACH-000258,-0.7424500116174637
ACH-000259,-1.1194966959835542
ACH-000260,-0.982134152313792
ACH-000261,-1.057818648923534
ACH-000262,-0.8417157602967875
ACH-000263,-1.0813471722901458
ACH-000264,-1.0241604425995774
ACH-000265,-1.0001037397896708
ACH-000266,-1.0856567914195774
ACH-000272,-1.0873082853612914
ACH-000274,-0.8695084447931681
ACH-000277,-0.9846940082854732
ACH-000278,-1.1906802917072299
ACH-000279,-0.8580943045075662
ACH-000280,-1.2001142142116907
ACH-000281,-0.5366055387868891
ACH-000288,-0.8669142295844222
ACH-000291,-1.1089415581529274
ACH-000293,-1.23602403663176
ACH-000294,-0.8940557264204152
ACH-000295,-0.8746824197586506
ACH-000296,-0.7679080431950481
ACH-000302,-1.743782537301176
ACH-000304,-1.6048046650284589
ACH-000307,-1.2630003564131342
ACH-000308,-0.8703781212177297
ACH-000310,-1.2037858387573597
ACH-000311,-1.2224482020379497
ACH-000312,-1.2446992069763154
ACH-000315,-0.7768378788061389
ACH-000316,-1.155999957160352
ACH-000317,-1.2244829648982836
ACH-000318,-1.3654138188123528
ACH-000319,-1.0130121654294928
ACH-000320,-1.108308019307919
ACH-000322,-0.547002628061481
ACH-000323,-0.9220768622488345
ACH-000324,-0.9752586741332848
ACH-000329,-1.1458849370250472
ACH-000330,-1.0925321671123105
ACH-000331,-1.2232893820907496
ACH-000332,-1.1559852781374291
ACH-000334,-1.2004751211302382
ACH-000335,-1.0749810601787624
ACH-000336,-0.6348324987547288
ACH-000337,-1.4738415924733783
ACH-000338,-0.14016318415247006
ACH-000339,-1.0233246813360013
ACH-000341,-1.08087407795607
ACH-000348,-1.2316507588697316
ACH-000350,-1.2823948654748607
ACH-000352,-1.3064980621740312
ACH-000356,-1.041807768409298
ACH-000361,-1.120172547099992
ACH-000362,-1.0390077110540608
ACH-000363,-1.079574228259864
ACH-000364,-1.227585987499808
ACH-000365,-0.9724623511905406
ACH-000366,-0.9984156773524407
ACH-000368,-0.8383258440290591
ACH-000374,-1.3194417642997789
ACH-000375,-1.064678637650764
ACH-000376,-0.8654451762490428
ACH-000381,-1.051866330725858
ACH-000383,-1.4029149100102771
ACH-000387,-0.9240590024451188
ACH-000389,-1.1738453988288793
ACH-000390,-1.0865858705772409
ACH-000393,-1.1736505621121305
ACH-000395,-0.7443180912406538
ACH-000396,-1.2170638159675702
ACH-000397,-1.1692760708307444
ACH-000401,-1.1196342478529475
ACH-000402,-1.0249854579642408
ACH-000403,-1.1624765757702813
ACH-000404,-1.0682932783555368
ACH-000406,-0.8183121472294727
ACH-000407,-1.0138348265953143
ACH-000408,-1.4431176623706392
ACH-000410,-1.3831401731093436
ACH-000411,-1.528208313450607
ACH-000414,-1.1683914424055626
ACH-000415,-1.4195393523336408
ACH-000416,-1.110580574928667
ACH-000420,-1.1072079762156262
ACH-000421,-1.1469081171029385
ACH-000424,-0.8706629943017767
ACH-000425,-1.0059734427273188
ACH-000426,-1.1474186508315325
ACH-000427,-1.3127468564672355
ACH-000433,-0.9865943161720104
ACH-000435,-0.6949451284085486
ACH-000436,-1.8086956392411209
ACH-000444,-1.189501607799766
ACH-000445,-0.952526069280977
ACH-000448,-1.0790546450293024
ACH-000450,-1.2125145917583269
ACH-000452,-1.1599276966667416
ACH-000454,-1.57057047691827
ACH-000458,-0.9711101526484119
ACH-000459,-1.038872021249199
ACH-000460,-1.055479037915442
ACH-000461,-0.7990552701240653
ACH-000463,-1.1415283287309237
ACH-000464,-1.3173774494014732
ACH-000466,-1.176569443170447
ACH-000467,-1.0309340053046199
ACH-000468,-0.7476107867567253
ACH-000469,-1.1319066474542452
ACH-000470,-1.1034319033876394
ACH-000471,-0.9333937839267245
