,TCOF1 (6949)
ACH-000004,-0.17186437456842993
ACH-000005,-0.17995879895862968
ACH-000007,-0.818846770425049
ACH-000009,-0.2655272662862521
ACH-000011,-0.4569074132010745
ACH-000012,-0.6584255005540224
ACH-000013,-0.8490096593254639
ACH-000014,-0.7956158522583011
ACH-000015,-0.5080311036694201
ACH-000017,-0.6617761433669229
ACH-000018,-0.4615539895691159
ACH-000019,-0.1956039078082641
ACH-000021,-0.40096953316411627
ACH-000022,-0.19202819353770315
ACH-000025,-0.4525184279179779
ACH-000028,-0.2739347184061934
ACH-000030,-0.5976579185909277
ACH-000035,-0.5491304274452707
ACH-000036,-0.3526312545097717
ACH-000037,-0.568062860685209
ACH-000039,-0.4191129801687497
ACH-000040,-0.962832351443851
ACH-000041,-0.5842135116616166
ACH-000042,-0.5395556812142285
ACH-000045,-0.5909810377928016
ACH-000047,-0.3595582524631038
ACH-000052,-0.4593328879267342
ACH-000053,-0.7590010171078237
ACH-000054,-0.6569225381391929
ACH-000055,-0.7032441267165238
ACH-000060,-0.4736237482169645
ACH-000067,-0.43139784442207263
ACH-000070,-0.6456225641688796
ACH-000075,-0.4050320984037972
ACH-000078,-0.9062818509856979
ACH-000082,-0.5199549217673916
ACH-000085,-0.6176076263289925
ACH-000086,-0.46034339155067294
ACH-000087,-0.21570140557235806
ACH-000092,-0.4077341052928391
ACH-000095,-0.6473367073239116
ACH-000097,-0.6976402121674634
ACH-000098,-0.38185663979656176
ACH-000099,-0.5775195961858433
ACH-000108,-0.33817914967647555
ACH-000113,-0.6149973335334462
ACH-000116,-0.3656180341767875
ACH-000118,-0.393996296078171
ACH-000120,-0.5844665078109607
ACH-000123,-0.7060494711136733
ACH-000127,-0.6937893455426837
ACH-000128,-0.4132433508639212
ACH-000132,-0.045344492555640784
ACH-000133,-0.4348001273909537
ACH-000137,-0.4570667161872063
ACH-000138,-0.5025770466989467
ACH-000142,-0.5689208288387513
ACH-000143,-0.09425328637002102
ACH-000146,-0.4353679088541088
