,KLC4 (89953)
ACH-000004,-0.21185818325109435
ACH-000005,-0.2774874987464577
ACH-000007,-0.08943780614731323
ACH-000009,-0.13273250506138778
ACH-000011,-0.15320254832606087
ACH-000012,-0.16865718840552535
ACH-000013,-0.20920979585666927
ACH-000014,-0.24404876166574596
ACH-000015,-0.1380221397660098
ACH-000017,-0.18378533081939552
ACH-000018,-0.3412487037799501
ACH-000019,-0.11192464386199363
ACH-000021,-0.06629528004494499
ACH-000022,-0.09276597527288263
ACH-000025,-0.16172015159978265
ACH-000028,-0.13307307992277925
ACH-000030,-0.09466898138262128
ACH-000035,-0.2665320426959685
ACH-000036,-0.24547253196972066
ACH-000037,-0.2075487399994187
ACH-000039,-0.2113178608413961
ACH-000040,-0.21894490570813896
ACH-000041,-0.07247115414878685
ACH-000042,-0.09643924475181696
ACH-000045,-0.049452990655759116
ACH-000047,-0.1953816795078927
ACH-000052,-0.2165694030565822
ACH-000053,-0.226235297324848
ACH-000054,0.01977018417901858
ACH-000055,-0.016068229201640243
ACH-000060,-0.11409466642509584
ACH-000067,-0.296368367055702
ACH-000070,-0.11837373943269534
ACH-000075,-0.07703417433623468
ACH-000078,-0.17652427858305686
ACH-000082,-0.13632594127802306
ACH-000085,-0.05279753921304881
ACH-000086,-0.15094891638785535
ACH-000087,-0.25959636093581384
ACH-000092,-0.14305616998347895
ACH-000095,-0.15531089730253364
ACH-000097,-0.08182339060892586
ACH-000098,-0.1941169439187592
ACH-000099,-0.12280186943793653
ACH-000108,-0.21912213026397798
ACH-000113,-0.1342401310964983
ACH-000116,-0.08949602155330555
ACH-000118,-0.2448322065088661
ACH-000120,-0.11619570259656127
ACH-000123,-0.14875235537206433
ACH-000127,-0.2717847938754687
ACH-000128,-0.11901476008205206
ACH-000132,-0.22198102040053036
ACH-000133,-0.22292179064436035
ACH-000137,-0.14573664163666006
ACH-000138,-0.1637185076494682
ACH-000142,-0.08165238439075169
ACH-000143,-0.1300754303626337
ACH-000146,-0.21573077158844955
ACH-000148,-0.10094111468301528
ACH-000150,-0.2439379439140849
ACH-000152,0.00926228843324437
ACH-000153,-0.21668847935222893
ACH-000159,-0.09681662162854013
ACH-000160,-0.17174251356623413
ACH-000163,-0.08090700601816675
ACH-000167,-0.06533488930194806
ACH-000168,-0.12197408956921885
ACH-000169,-0.1705555138081128
ACH-000178,-0.044960660250269374
ACH-000183,-0.2113452085548048
ACH-000188,-0.0655496996329987
ACH-000189,0.1382611567649359
ACH-000190,-0.12558286543707722
ACH-000198,-0.16136562041606578
ACH-000203,-0.2585178823314501
ACH-000204,-0.19480069029953986
ACH-000206,-0.1541154711281197
ACH-000207,-0.2816303934898381
ACH-000208,-0.1942202833064849
ACH-000210,-0.11293375420730885
ACH-000211,-0.0826242530794419
ACH-000215,-0.13907128034417152
ACH-000221,-0.0661386756377905
ACH-000222,-0.12573390300213574
ACH-000223,-0.1552235154260664
ACH-000226,-0.015374697388639913
ACH-000227,-0.15424885756956774
ACH-000228,-0.24906065090755256
ACH-000231,-0.19325425891183728
ACH-000232,-0.08561895811605409
ACH-000233,-0.11447030490131264
ACH-000234,-0.10456113470152903
ACH-000235,-0.08427859607236171
ACH-000237,-0.09423129435094756
ACH-000238,-0.14467672297378373
ACH-000242,-0.2891641033735581
ACH-000243,-0.14386885479735842
ACH-000244,-0.09733773770618186
ACH-000246,-0.08747966796658073
ACH-000248,-0.09305437165764914
ACH-000250,-0.17108210733457144
ACH-000251,-0.27934540602128644
ACH-000252,-0.19611107108065715
ACH-000253,-0.09714384329855001
ACH-000255,-0.1971438754094341
ACH-000256,-0.12201927489561155
ACH-000257,0.08466272432955962
ACH-000258,-0.21880607442037345
ACH-000259,-0.18155255630947456
ACH-000260,-0.10723165928541087
ACH-000261,-0.18713527396677054
ACH-000262,-0.1742271078339188
ACH-000263,-0.3793032297174194
ACH-000264,-0.07963312641536535
ACH-000265,-0.239056677783545
ACH-000266,-0.14067338186235245
ACH-000272,-0.0678638985421153
ACH-000274,-0.07042957247186966
ACH-000277,-0.24201239842323466
ACH-000278,-0.06642631002937371
ACH-000279,-0.12025194361768801
ACH-000280,-0.11357407987825442
ACH-000281,-0.44135933467248667
ACH-000288,-0.08858573134263717
ACH-000291,0.043142617416153724
ACH-000293,-0.15826065219414587
ACH-000294,-0.01802888330030576
ACH-000295,-0.13913071461999654
ACH-000296,-0.07116680513912857
ACH-000302,-0.20862722872353615
ACH-000304,-0.2505936973551018
ACH-000307,-0.22007502292619646
ACH-000308,-0.1347997845436901
ACH-000310,-0.1178861434591571
ACH-000311,-0.10295154431186364
ACH-000312,-0.15977668867977068
ACH-000315,-0.3015984195705952
ACH-000316,-0.2283511991022869
ACH-000317,-0.16387709371093245
ACH-000318,-0.07507083362432854
ACH-000319,-0.09942137321247542
ACH-000320,-0.21911267616750146
ACH-000322,-0.08804752856126127
ACH-000323,-0.1150221088268023
ACH-000324,-0.21156628916894293
ACH-000329,-0.09254288245696618
ACH-000330,-0.2406978371396303
ACH-000331,-0.25730205573478204
ACH-000332,-0.17101082005317222
