,EEF2 (1938)
ACH-000004,-1.8035236411215216
ACH-000005,-2.173389322494002
ACH-000007,-1.7272866630219628
ACH-000009,-1.6514342532985529
ACH-000011,-1.4888804555873612
ACH-000012,-1.3869870297378926
ACH-000013,-1.8153053616293904
ACH-000014,-1.7091172355079929
ACH-000015,-1.7929916672037285
ACH-000017,-1.6395905041067758
ACH-000018,-1.5332647792352898
ACH-000019,-1.4962615126088297
ACH-000021,-1.5900225797965544
ACH-000022,-1.8164371023668164
ACH-000025,-1.5813082382749069
ACH-000028,-1.5841236430317085
ACH-000030,-1.7570890715367908
ACH-000035,-1.7434616195796673
ACH-000036,-1.5872652292345195
ACH-000037,-1.7107470721534053
ACH-000039,-1.754380314466044
ACH-000040,-1.51520055600775
ACH-000041,-1.8756571001621924
ACH-000042,-1.6038041689692173
ACH-000045,-1.566192010131639
ACH-000047,-1.8705600855717552
ACH-000052,-1.691761150721576
ACH-000053,-1.4452868366054783
ACH-000054,-1.5120662847836674
ACH-000055,-1.4915741594845242
ACH-000060,-1.529052517347358
ACH-000067,-1.605404763317881
ACH-000070,-1.83294929749281
ACH-000075,-1.4409386791125152
ACH-000078,-1.2908896361751836
ACH-000082,-1.5762936733882202
ACH-000085,-1.75292108194503
ACH-000086,-1.6133183033261873
ACH-000087,-1.480461371623837
ACH-000092,-1.5136410425762519
ACH-000095,-1.478057372363269
ACH-000097,-1.6162590837740085
ACH-000098,-1.6943090921627928
ACH-000099,-1.1807447131806212
ACH-000108,-1.6148347678325408
ACH-000113,-1.752430805232715
ACH-000116,-1.7810553539570524
ACH-000118,-1.562895943988249
ACH-000120,-1.434504019510413
ACH-000123,-1.5659514851953793
ACH-000127,-1.5965475711672172
ACH-000128,-1.8320653487826408
ACH-000132,-1.5972151697109442
ACH-000133,-1.4212559905649618
ACH-000137,-1.6443054024595685
ACH-000138,-1.5745126435808416
ACH-000142,-1.7923183035077008
ACH-000143,-1.4223111797226915
ACH-000146,-1.3017854761838952
