,PRODH (5625)
ACH-000004,-0.5339699303303871
ACH-000005,-0.11803118934979505
ACH-000007,-0.30326474872512976
ACH-000009,-0.3923035386634185
ACH-000011,-0.4483612290235783
ACH-000012,-0.4089979378742408
ACH-000013,-0.41182050143967536
ACH-000014,-0.5176018224908051
ACH-000015,-0.33316115796059936
ACH-000017,-0.2708964857961081
ACH-000018,-0.2526989001346593
ACH-000019,-0.20575778494665886
ACH-000021,-0.4273835682207068
ACH-000022,-0.23042409073225786
ACH-000025,-0.667730806134269
ACH-000028,-0.46511110167331604
ACH-000030,-0.32831536796041305
ACH-000035,-0.5789207759130467
ACH-000036,-0.35777248885966684
ACH-000037,-0.23307338362767285
ACH-000039,-0.3036783585627396
ACH-000040,-0.2870695444787955
ACH-000041,-0.6008530401297367
ACH-000042,-0.3870694451060869
ACH-000045,-0.4326467515129917
ACH-000047,-0.40015707845107945
ACH-000052,-0.3270715043953337
ACH-000053,-0.3578133532307367
ACH-000054,-0.2737180214532952
ACH-000055,-0.2124443452462976
ACH-000060,-0.28145475480265275
ACH-000067,-0.4009621334334312
ACH-000070,-0.31564087037297045
ACH-000075,-0.3515807853863001
ACH-000078,-0.3918385346781591
ACH-000082,-0.2731345038990711
ACH-000085,-0.4951875609271165
ACH-000086,-0.07511580432691899
ACH-000087,-0.2097827720113752
ACH-000092,-0.5131736119281152
ACH-000095,-0.3376654110745113
ACH-000097,-0.20083613406837256
ACH-000098,-0.31475154958690965
ACH-000099,-0.4026121433185425
ACH-000108,-0.3620029532920869
ACH-000113,-0.4827816528279771
ACH-000116,-0.2706898932973083
ACH-000118,-0.3716303474521933
ACH-000120,-0.2744774118052111
ACH-000123,-0.4988536626150688
ACH-000127,-0.2697351210485409
ACH-000128,-0.3297409957447426
ACH-000132,-0.422169433746562
ACH-000133,-0.42960272157814
ACH-000137,-0.2549959035705962
ACH-000138,-0.2423534978212701
ACH-000142,-0.2787692329584647
ACH-000143,-0.5012686897728608
ACH-000146,-0.22945578828163204
ACH-000148,-0.275125727217068
ACH-000150,-0.12894624100897725
ACH-000152,-0.2885494287005349
ACH-000153,-0.3792648473030309
ACH-000159,-0.2480010331613725
ACH-000160,-0.3580565841959567
ACH-000163,-0.3758161468608125
ACH-000167,-0.4830492945615928
ACH-000168,-0.3785282416053754
ACH-000169,-0.4701485709088395
ACH-000178,-0.3902624491258569
ACH-000183,-0.3819078292284905
ACH-000188,-0.4812873814324559
ACH-000189,-0.1977410316308569
ACH-000190,-0.10572163885731242
ACH-000198,-0.393972980781789
ACH-000203,-0.36162452954522906
ACH-000204,-0.28468222034696833
ACH-000206,-0.26372421022581605
ACH-000207,-0.2716637063666091
ACH-000208,-0.2683538182051129
ACH-000210,-0.3603211949551649
ACH-000211,-0.423415003383072
ACH-000215,-0.3246103180855682
ACH-000221,-0.7873362493413215
ACH-000222,-0.013040396335402344
ACH-000223,-0.34617703091028845
ACH-000226,-0.4367984002394659
ACH-000227,-0.4370315555020979
ACH-000228,-0.4942957029453343
ACH-000231,-0.434214399709556
ACH-000232,-0.423069476097937
ACH-000233,-0.38089874123515227
ACH-000234,-0.27020205841527656
ACH-000235,-0.3161597120336189
ACH-000237,-0.31564922343185203
ACH-000238,-0.31005411335085536
ACH-000242,-0.14345297970554038
ACH-000243,-0.3690631951335371
ACH-000244,-0.18732322748829355
ACH-000246,-0.2356395387055598
ACH-000248,-0.4009134906216632
ACH-000250,-0.16778387717394636
ACH-000251,-0.14266993432678335
ACH-000252,-0.41497512364381706
ACH-000253,-0.3295609908680973
ACH-000255,-0.5077254552456353
ACH-000256,-0.4074611255764513
ACH-000257,-0.34068559372577817
ACH-000258,-0.5279258028876699
ACH-000259,-0.3035204168822723
ACH-000260,-0.4557499261939607
ACH-000261,-0.3139409242065861
ACH-000262,-0.26310728261529465
ACH-000263,0.07535070337329541
ACH-000264,-0.4790151036369436
