,LZTS1 (11178)
ACH-000511,-0.017321405712601764
ACH-000512,-0.08565591904193713
ACH-000516,-0.1146598364798318
ACH-000517,0.040013921864270184
ACH-000518,-0.008007948024102924
ACH-000520,-0.1493971200287556
ACH-000521,0.08399126156429647
ACH-000522,0.03321494562804021
ACH-000524,-0.14132317754149293
ACH-000527,0.08682469413063486
ACH-000528,-0.0007718676863611921
ACH-000537,-0.0141111497435891
ACH-000541,0.02502760707034764
ACH-000542,0.014958695681613244
ACH-000544,-0.0852717710583704
ACH-000545,0.020524438889102138
ACH-000547,-0.3391172561792886
ACH-000548,-0.13680676418399684
ACH-000549,0.0474038083979381
ACH-000550,0.05490746441200132
ACH-000552,-0.021247551435371898
ACH-000556,-0.0889899279956163
ACH-000557,-0.4080118846050378
ACH-000569,-0.03717020959622455
ACH-000570,-0.05435172786183437
ACH-000571,-0.02654060100602206
ACH-000573,-0.07964080938438145
ACH-000576,-0.3012744453263085
ACH-000579,-0.0031985495384908398
ACH-000580,0.13067007327441615
ACH-000584,-0.12761842540772825
ACH-000585,-0.07666132817613107
ACH-000588,0.032038812481690465
ACH-000589,-0.030204773397271914
ACH-000591,0.08333023242037722
ACH-000593,-0.07965144000421316
ACH-000600,-0.03169155092087587
ACH-000601,0.024328782744988342
ACH-000605,-0.1929927571232092
ACH-000606,0.04592350580043849
ACH-000608,-0.10433201039103633
ACH-000614,0.1493130316037006
ACH-000616,-0.16756441054964816
ACH-000618,-0.0608405510741509
ACH-000619,-0.1541324756810412
ACH-000620,0.04834995184332756
ACH-000621,-0.026820520745234444
ACH-000622,-0.08474852381720695
ACH-000623,-0.04334057023894559
ACH-000624,-0.06906137424381589
ACH-000627,-0.0418570552539374
ACH-000630,0.011905534163885371
ACH-000631,0.10260687009378504
ACH-000632,-0.14003750033819568
ACH-000633,-0.047755405614497516
ACH-000637,-0.22479595976688785
ACH-000638,-0.04225716043521315
ACH-000646,-0.05971751799175395
ACH-000647,-0.009638849888668168
ACH-000648,-0.09224068600472203
ACH-000649,-0.0428456011319566
ACH-000651,-0.06015936913869925
ACH-000652,-0.1286550262002774
ACH-000653,0.007915699090786914
ACH-000657,-0.0008582411208897968
ACH-000658,0.12300729465881495
ACH-000661,-0.06930635253273779
ACH-000662,-0.5360434240208449
ACH-000663,0.09515691794040487
ACH-000665,-0.07984275257085477
ACH-000671,-0.17441257061757565
ACH-000672,0.05381025252082222
ACH-000673,-0.05423720101709924
ACH-000676,0.056393744149336573
ACH-000677,0.058116288978887015
ACH-000681,-0.12787783485214996
ACH-000683,-0.044644001881446266
ACH-000684,-0.06947688383871514
ACH-000688,-0.04290826062921009
ACH-000693,-0.06480104771890657
ACH-000694,-0.04760318913183593
ACH-000695,-0.2707914264951514
ACH-000696,-0.0841917898385604
ACH-000697,-0.2332093764861453
ACH-000699,-0.054689576563768535
ACH-000701,-0.07137195953055761
ACH-000706,-0.028267973713136607
ACH-000711,-0.025565846133200648
ACH-000713,-0.17337742884254229
ACH-000714,-0.08785005404123769
ACH-000718,-0.06610444073476142
ACH-000720,-0.033840364485992994
ACH-000721,0.030841818512942664
ACH-000724,-0.08423699252124499
ACH-000725,-0.15756745893854412
ACH-000732,-0.081530053047681
ACH-000734,-0.15056761595400198
ACH-000735,-0.055298777688533717
ACH-000736,-0.07839837038003099
ACH-000738,0.007240420454044451
ACH-000746,-0.06378399898038929
ACH-000747,-0.1371279212087887
ACH-000748,-0.2180608507670868
ACH-000753,-0.04108817015938511
ACH-000756,0.09600005123473733
ACH-000757,-0.01013877215131522
ACH-000758,0.12649107991813838
ACH-000760,-0.15854158665676438
ACH-000762,-0.0969236735129086
ACH-000763,0.05783074402020165
ACH-000764,0.1812203260189454
ACH-000765,0.05639426498798932
ACH-000766,-0.03964071659920347
ACH-000767,-0.09555133016942204
ACH-000768,0.042495990005744236
ACH-000769,-0.03964631982019483
ACH-000770,0.033360476274252905
ACH-000771,-0.02047453142248093
ACH-000773,-0.1697257374474357
ACH-000776,0.018226521530108068
ACH-000777,0.10436645307775172
ACH-000778,-0.18365940973982603
ACH-000781,-0.01576520912062067
ACH-000782,0.11204277821265156
ACH-000783,-0.120459202743731
ACH-000784,-0.09614621238767952
