,AUP1 (550)
ACH-000004,0.018427210003516274
ACH-000005,0.05352208159445504
ACH-000007,-0.05078200125387503
ACH-000009,0.0878782357797288
ACH-000011,0.4267523058148948
ACH-000012,-0.18659646672166327
ACH-000013,-0.011596142562826631
ACH-000014,-0.23955344847450774
ACH-000015,-0.013436719485519284
ACH-000017,-0.13302639365934335
ACH-000018,-0.10169434319519036
ACH-000019,-0.25409302537310635
ACH-000021,-0.02304722402909589
ACH-000022,-0.08671279744676873
ACH-000025,-0.07507146300938118
ACH-000028,-0.12165908826682675
ACH-000030,-0.20261060083928165
ACH-000035,-0.2997777353124949
ACH-000036,-0.2844634421674429
ACH-000037,-0.018811279221653796
ACH-000039,-0.058526016729632986
ACH-000040,-0.208292996326836
ACH-000041,0.2106958012197782
ACH-000042,-0.21284696431377065
ACH-000045,-0.1022029030425442
ACH-000047,0.17943296760835828
ACH-000052,-0.0043665114754342016
ACH-000053,-0.013197260058389077
ACH-000054,0.0030243090854905424
ACH-000055,-0.00901069491811158
ACH-000060,-0.2318149019113455
ACH-000067,-0.3785805479192399
ACH-000070,-0.02818686038029625
ACH-000075,-0.17456268250271528
ACH-000078,0.07859494262935675
ACH-000082,-0.09606359261594144
ACH-000085,-0.12615437796560225
ACH-000086,-0.07977786629919813
ACH-000087,0.08551383277552738
ACH-000092,-0.4453363223246112
ACH-000095,-0.003612158253395477
ACH-000097,-0.19478437418853767
ACH-000098,-0.09391670381945336
ACH-000099,0.06398307755682757
ACH-000108,-0.04036568732572272
ACH-000113,0.12349692373645887
ACH-000116,0.0026911374305787785
ACH-000118,-0.3185974532922169
ACH-000120,-0.1356536170911696
ACH-000123,0.021340567680724853
ACH-000127,0.005271907736294349
ACH-000128,-0.007055731925916291
ACH-000132,-0.05802918825118871
ACH-000133,-0.24872058722950785
ACH-000137,0.12171831890818408
ACH-000138,-0.08012165224384526
ACH-000142,-0.035541826107943535
ACH-000143,0.024711717584638717
ACH-000146,-0.03934706287863448
ACH-000148,-0.11786231136357628
ACH-000150,0.1461387955693379
ACH-000152,-0.2160465978705445
ACH-000153,0.1589572034645573
ACH-000159,-0.07210553210324591
ACH-000160,-0.12273239365790048
ACH-000163,-0.3082602396306384
ACH-000167,-0.1068434448649449
ACH-000168,-0.17563667060250826
ACH-000169,0.014628655265750709
ACH-000178,0.06770232458853531
ACH-000183,0.07022992406625324
ACH-000188,-0.21456388748629074
ACH-000189,-0.16186593771038962
ACH-000190,-0.1455192692717246
ACH-000198,-0.5119955888019613
ACH-000203,0.16303618090059172
ACH-000204,-0.3089511840032252
ACH-000206,-0.009610432059598351
ACH-000207,-0.17735354649985552
ACH-000208,-0.511495318110631
ACH-000210,0.2109000634794473
ACH-000211,-0.08428546411019021
ACH-000215,-0.040779370811972304
ACH-000221,0.07741852319132461
ACH-000222,-0.22811564598535397
ACH-000223,-0.10590652414155467
ACH-000226,-0.029013906344618427
ACH-000227,0.03811317546738885
ACH-000228,-0.3661567002251423
ACH-000231,0.02074079518836166
ACH-000232,-0.1473967509869908
ACH-000233,-0.12177716869469182
