,NIPSNAP3A (25934)
ACH-000004,0.09983733314301133
ACH-000005,-0.19197638884493945
ACH-000007,0.10466793088359352
ACH-000009,0.10127864172282784
ACH-000011,0.03970848232628711
ACH-000012,-0.10234817469879418
ACH-000013,-0.0567870213035257
ACH-000014,0.14498109296423647
ACH-000015,0.0183124436658704
ACH-000017,0.16094145016519856
ACH-000018,0.14821116561641634
ACH-000019,0.13932954808758669
ACH-000021,0.06177427042403338
ACH-000022,-0.027011730576060888
ACH-000025,-0.041679163970634134
ACH-000028,0.04556258959601173
ACH-000030,0.0257502901511768
ACH-000035,0.056578636221343376
ACH-000036,0.04320551456720029
ACH-000037,0.002305523938571247
ACH-000039,-0.011414553263275251
ACH-000040,-0.12511987737262212
ACH-000041,0.15199199503574806
ACH-000042,0.047762104326187216
ACH-000045,0.07253271061276835
ACH-000047,0.05220129155153266
ACH-000052,0.07183619801948046
ACH-000053,0.0773829919424361
ACH-000054,-0.011900357671861728
ACH-000055,-0.10488949876922032
ACH-000060,0.2070439776891976
ACH-000067,0.1872895542923557
ACH-000070,-0.040960548198716334
ACH-000075,0.07255393365005176
ACH-000078,-0.0231198145691331
ACH-000082,0.08888481609417356
ACH-000085,0.0542338793971268
ACH-000086,-0.10174866393557687
ACH-000087,-0.18930812342449424
ACH-000092,0.06644620426193862
ACH-000095,-0.06926097633898247
ACH-000097,0.03561135913752786
ACH-000098,0.05854023931134088
ACH-000099,0.027907697032253948
ACH-000108,-0.12528115378449015
ACH-000113,0.003319380922600309
ACH-000116,-0.010908004896914288
ACH-000118,-0.1545988806016543
ACH-000120,0.012701191197539884
ACH-000123,-0.08770610050543011
ACH-000127,0.014829608810506791
ACH-000128,-0.08216067519576054
ACH-000132,-0.004197794808579031
ACH-000133,0.016960692460930987
ACH-000137,0.033290759341543893
ACH-000138,0.011848945204156157
ACH-000142,0.04786904210966426
ACH-000143,-0.049859635622588924
ACH-000146,0.11944386729567898
ACH-000148,0.06138566198087745
ACH-000150,-0.08327697433814008
ACH-000152,0.07403280263314516
ACH-000153,-0.0403034775400972
ACH-000159,-0.04642747114789896
ACH-000160,0.05681814547813651
ACH-000163,-0.018153273620257628
ACH-000167,0.5040536513579686
ACH-000168,0.03930904973319648
ACH-000169,-0.05916240843340113
ACH-000178,0.054057945299630684
ACH-000183,-0.06553253661775096
ACH-000188,-0.12237369554672155
ACH-000189,0.06681536976818088
ACH-000190,-0.3356688281365934
ACH-000198,0.041672039036775736
ACH-000203,-0.15909165223625532
ACH-000204,0.07129672055758267
ACH-000206,0.08068680028175837
ACH-000207,-0.15113339261370082
ACH-000208,0.2857706096686645
ACH-000210,-0.028991921522846763
ACH-000211,0.011856100136607655
ACH-000215,0.12347203682050095
ACH-000221,0.23510727631446998
ACH-000222,-0.04466255808385417
ACH-000223,0.026715148465839417
ACH-000226,-0.03194189224668568
ACH-000227,-0.06710964534840963
ACH-000228,0.19560258041675907
