,CECR1 (51816)
ACH-000004,-0.08106442989029261
ACH-000005,-0.10010347671648803
ACH-000007,0.14939089356937585
ACH-000009,-0.00908810184411826
ACH-000011,-0.09101313251517183
ACH-000012,-0.04452962826229175
ACH-000013,-0.03436719215712086
ACH-000014,-0.001109006726923164
ACH-000015,-0.14686978819893293
ACH-000017,-0.08343265681458148
ACH-000018,0.0007103160853496656
ACH-000019,0.0405614514316008
ACH-000021,-0.05127059191425802
ACH-000022,0.0006905221688253901
ACH-000025,0.009085881581355893
ACH-000028,-0.12853620060528018
ACH-000030,0.026163921602245708
ACH-000035,-0.11657748335153305
ACH-000036,0.12377600914426093
ACH-000037,0.09056529029975773
ACH-000039,-0.0456472553582831
ACH-000040,-0.028502639357320437
ACH-000041,-0.054745891598661216
ACH-000042,-0.23622838928777745
ACH-000045,0.06851214420132096
ACH-000047,-0.04310197945352817
ACH-000052,0.16256113890558138
ACH-000053,-0.06209997762892223
ACH-000054,0.02339700171908445
ACH-000055,-0.20327248615992968
ACH-000060,0.02981006412142202
ACH-000067,0.0117151446652955
ACH-000070,-0.016319405164553685
ACH-000075,0.02806404629441104
ACH-000078,0.25651579305024885
ACH-000082,-0.02807545477860712
ACH-000085,-0.07598852944751952
ACH-000086,0.09503801980055007
ACH-000087,0.006236351261701093
ACH-000092,-0.13055674958917973
ACH-000095,0.07470374423864858
ACH-000097,-0.07451655085358165
ACH-000098,-0.10529184647287036
ACH-000099,-0.06143123335332815
ACH-000108,-0.0935323624802587
ACH-000113,-0.08097035656777901
ACH-000116,-0.002781053834148949
ACH-000118,-0.11470414574200552
ACH-000120,-0.14699643023657494
ACH-000123,-0.08669691344624632
ACH-000127,0.06844074339084935
ACH-000128,0.05830908967243836
ACH-000132,-0.0439408846975877
ACH-000133,-0.12139144482159862
ACH-000137,-0.13201502230194506
ACH-000138,0.14475588501393766
ACH-000142,0.00807529322983248
ACH-000143,-0.09995006772180676
ACH-000146,-0.028666777784604
ACH-000148,-0.00932479660779431
ACH-000150,-0.09818992482973377
ACH-000152,-0.1699365920807608
ACH-000153,0.21755667013744864
ACH-000159,0.08434543154634039
ACH-000160,0.07048509057161244
ACH-000163,-0.045312458853442164
ACH-000167,0.008918174528941367
ACH-000168,-0.16558250093417773
ACH-000169,0.025391052423933472
ACH-000178,-0.02335481790321435
ACH-000183,-0.006482655459521216
ACH-000188,-0.02626366355770916
ACH-000189,0.14417000132897884
ACH-000190,-0.27058726755488505
ACH-000198,-0.06821363984858751
ACH-000203,0.1495394449385381
ACH-000204,0.017558293768012902
ACH-000206,0.032566199561825715
ACH-000207,0.007812677111855475
ACH-000208,0.08343330808769492
ACH-000210,-0.1960593610399481
ACH-000211,-0.015816600351925884
ACH-000215,-0.0077543131915136934
ACH-000221,-0.05419036307166958
ACH-000222,-0.07667087328169638
ACH-000223,-0.09897075603096914
