,GOLIM4 (27333)
ACH-000004,-0.1171844643801874
ACH-000005,-0.05297584044269624
ACH-000007,0.14596588590951132
ACH-000009,-0.03502635426668083
ACH-000011,-0.018347931746139304
ACH-000012,-0.16449374334763908
ACH-000013,0.06414057112777782
ACH-000014,-0.08973783464771512
ACH-000015,-0.008851112982183988
ACH-000017,0.07951248791601802
ACH-000018,-0.04986060331091513
ACH-000019,-0.15627063458423934
ACH-000021,0.0261226383576027
ACH-000022,0.0118261537066859
ACH-000025,-0.15265656035144162
ACH-000028,-0.09875572385444216
ACH-000030,-0.12179256620319433
ACH-000035,-0.1880680245124068
ACH-000036,0.052487212545276364
ACH-000037,-0.033970683260021374
ACH-000039,-0.19165484669645375
ACH-000040,-0.010797299968431262
ACH-000041,0.035497736156220316
ACH-000042,-0.13669538154101732
ACH-000045,-0.08026776507909889
ACH-000047,-0.0012157793636901606
ACH-000052,-0.03457981821648097
ACH-000053,-0.09995664025038377
ACH-000054,-0.2630560354148661
ACH-000055,-0.2346746187275501
ACH-000060,0.0625205088645257
ACH-000067,-0.1599177180102062
ACH-000070,-0.15431425030786555
ACH-000075,-0.17535105931326406
ACH-000078,-0.064332438012927
ACH-000082,-0.011059183795411072
ACH-000085,-0.30976096330748204
ACH-000086,-0.02149089089264409
ACH-000087,-0.06600867184036321
ACH-000092,-0.18950492511108166
ACH-000095,-0.11325084743591313
ACH-000097,0.08944528696063395
ACH-000098,-0.08972639639274686
ACH-000099,-0.049183932857019615
ACH-000108,-0.08886146042619943
ACH-000113,-0.03725990600438175
ACH-000116,-0.13338381418754255
ACH-000118,-0.06894537943431829
ACH-000120,-0.183116017624368
ACH-000123,-0.040528516632289534
ACH-000127,-0.06083146946108482
ACH-000128,-0.12364931713359276
ACH-000132,-0.07423433999867103
ACH-000133,-0.060679652831243214
ACH-000137,-0.21867536395856893
ACH-000138,-0.1259334476153848
ACH-000142,-0.04056588302022631
ACH-000143,-0.26602095765954004
ACH-000146,-0.07814577870378342
ACH-000148,-0.10972535830251397
ACH-000150,0.05500339420231877
ACH-000152,-0.2842632616113563
ACH-000153,-0.21115842499512644
ACH-000159,-0.07922212448467808
ACH-000160,-0.08660913273837137
ACH-000163,-0.21722957651421296
ACH-000167,-0.04875816747831184
ACH-000168,-0.003773824331562115
ACH-000169,-0.07051592733011397
ACH-000178,-0.03195032566526309
ACH-000183,-0.0030573493469685047
ACH-000188,-0.04226020561538876
ACH-000189,-0.08088682387886198
ACH-000190,-0.027776057871374958
ACH-000198,-0.04199103347608369
ACH-000203,0.0895858612192671
ACH-000204,-0.02132963030701795
ACH-000206,0.017261714491341954
ACH-000207,-0.16451075339976545
ACH-000208,-0.06969931949663345
ACH-000210,-0.054507189860886165
ACH-000211,-0.09713076710237524
ACH-000215,-0.17748195035413974
ACH-000221,0.06061203329668525
ACH-000222,-0.14376268076006438
ACH-000223,-0.03167976204966848
ACH-000226,-0.11144047145927076
ACH-000227,-0.0490503692319048
ACH-000228,0.004590350305763415
ACH-000231,-0.04702308588620308
ACH-000232,-0.2289790119342094
ACH-000233,0.1098744570995361
ACH-000234,-0.28270126177537946
ACH-000235,-0.1290917168938149
ACH-000237,-0.2158468785418821
ACH-000238,0.0607334960693578
ACH-000242,0.19198721637233326
ACH-000243,-0.09667603335059947
ACH-000244,-0.033105365495787326
ACH-000246,-0.023648357798890126
ACH-000248,-0.08485872744635897
ACH-000250,-0.07020802565743359
ACH-000251,0.01638667165812879
ACH-000252,-0.007261598422902279
ACH-000253,0.0100770622956685
ACH-000255,0.04766920007596832
ACH-000256,-0.020472918232661383
ACH-000257,0.07632135392416102
ACH-000258,-0.2424607104051844
ACH-000259,-0.06773944067421397
ACH-000260,-0.13256992097473413
ACH-000261,-0.0803551430949552
ACH-000262,-0.08684293580807592
ACH-000263,-0.01031372792539885
ACH-000264,-0.046619795212974637
ACH-000265,-0.01679140613443724
ACH-000266,-0.07995765153861809
ACH-000272,-0.038061327203472745
ACH-000274,-0.1616595898593816
ACH-000277,-0.012869805335918305
ACH-000278,-0.20145268163554464
ACH-000279,-0.17400935908160745
ACH-000280,-0.14085361806923866
ACH-000281,-0.19283183258027806
ACH-000288,0.005518417761605344
ACH-000291,0.007074589882241649
ACH-000293,0.14584822380242082
ACH-000294,0.017004713503554373
ACH-000295,0.025591850989818195
ACH-000296,-0.19928298675602515
ACH-000302,-0.1143187673216016
ACH-000304,-0.10785618704288366
ACH-000307,-0.030429065635907467
ACH-000308,-0.03862220281702336
ACH-000310,-0.19464346132752325
ACH-000311,-0.1287115150126254
ACH-000312,-0.09792245529513492
ACH-000315,0.1441489407578819
ACH-000316,-0.15552968145683913
ACH-000317,-0.009131284224104315
ACH-000318,0.0015389921280677048
ACH-000319,0.048072512262456
ACH-000320,-0.09809861620127223
ACH-000322,-0.25592827884893943
ACH-000323,-0.2370242590902434
ACH-000324,-0.031627198839915126
ACH-000329,-0.06521213777538798
ACH-000330,-0.17406271911610374
ACH-000331,-0.15689327648800247
ACH-000332,-0.1013911874561561
ACH-000334,-0.019955048600585296
ACH-000335,-0.24967139507072214
ACH-000336,-0.24627440201395576
ACH-000337,-0.06146373221468709
ACH-000338,-0.3429013227905053
ACH-000339,-0.13811379232612422
ACH-000341,-0.25696893193401715
ACH-000348,-0.12846214970870545
ACH-000350,-0.029562302428043263
ACH-000352,-0.048314907868147385
ACH-000356,0.2220499839609188
ACH-000361,0.057858625560491074
ACH-000362,0.01614950158032644
ACH-000363,-0.04932495055155699
ACH-000364,-0.13532843952698373
ACH-000365,-0.029459047889366305
ACH-000366,-0.13471462012279714
ACH-000368,0.018700826114710592
ACH-000374,-0.015038120266096354
ACH-000375,-0.3578234559167575
ACH-000376,-0.14471788424143384
ACH-000381,-0.1470947210389785
ACH-000383,-0.10732788141903088
ACH-000387,-0.10779228804706148
ACH-000389,-0.13534994444088388
ACH-000390,-0.2476479501988447
ACH-000393,-0.08837774217480221
ACH-000395,-0.17172082581488726
ACH-000396,0.16610566923369555
ACH-000397,0.023501765410021688
ACH-000401,-0.07579314214964022
ACH-000402,-0.2967505731344971
ACH-000403,-0.005828321559699832
ACH-000404,-0.13545873059382005
ACH-000406,-0.0047235443793106615
ACH-000407,-0.2178631067550902
ACH-000408,-0.11016175577165606
ACH-000410,-0.13366715635314733
ACH-000411,-0.1278225464086135
ACH-000414,0.002929436814212768
ACH-000415,-0.14718023076019354
ACH-000416,-0.08770465725276187
ACH-000420,0.0334518466732286
ACH-000421,-0.17758223759943548
ACH-000424,-0.19128059976489334
ACH-000425,0.062265716355329535
ACH-000426,-0.0320277445068836
ACH-000427,-0.0024441279281511748
ACH-000433,-0.08410484396596797
ACH-000435,-0.1216388880999159
ACH-000436,-0.04857546362839013
ACH-000444,-0.1690089883734852
ACH-000445,-0.08557870707933388
ACH-000448,-0.17049868842046176
ACH-000450,-0.2908981002983952
ACH-000452,-0.1020811416413829
ACH-000454,-0.21042520598536352
ACH-000458,-0.03735461619669085
ACH-000459,-0.144376912157807
ACH-000460,-0.10131581680514884
ACH-000461,-0.0324544928473301
ACH-000463,-0.005592644636476427
ACH-000464,-0.04754921975549053
ACH-000466,-0.2347198041809943
ACH-000467,-0.03864016665160985
ACH-000468,0.06519928743012779
ACH-000469,-0.2260519401664479
ACH-000470,-0.20874689321806894
ACH-000471,-0.16534525975006653
ACH-000472,-0.089709575875941
ACH-000473,-0.016216505233550945
ACH-000475,-0.04147445085282051
ACH-000476,-0.18107563742891847
ACH-000477,-0.17120182352479207
ACH-000479,-0.2743687352137757
ACH-000480,-0.12212141170127246
ACH-000481,-0.07390005557097598
ACH-000483,0.21623470398207725
ACH-000484,-0.17196593416322256
ACH-000485,-0.146402948349077
ACH-000486,-0.03425455081197774
ACH-000487,-0.1494720586020486
ACH-000488,-0.09320821639995333
ACH-000490,-0.09173406213207748
ACH-000491,0.01933711267486652
ACH-000495,-0.22507198598613776
ACH-000496,-0.18251728403048792
ACH-000499,0.05913436804924256
ACH-000500,-0.008599902051575665
ACH-000502,-0.10805437162908492
ACH-000503,0.14600323031039578
ACH-000505,-0.06252782388922942
ACH-000507,-0.09017372138350788
