,HCN2 (610)
ACH-000004,-0.1835561461006576
ACH-000005,-0.5598295915416701
ACH-000007,-0.2146311540565544
ACH-000009,-0.2720875186027771
ACH-000011,-0.2364482712554682
ACH-000012,-0.1677279906616187
ACH-000013,-0.2119433427682994
ACH-000014,-0.1485035755966639
ACH-000015,-0.22723652594306004
ACH-000017,-0.246226859684137
ACH-000018,-0.2766699067161724
ACH-000019,-0.1493925149505297
ACH-000021,-0.15658765698599011
ACH-000022,-0.17002015497647388
ACH-000025,-0.1909903818191235
ACH-000028,-0.21777062635400352
ACH-000030,-0.24376678564768395
ACH-000035,-0.22768528339590666
ACH-000036,-0.27367052600714764
ACH-000037,-0.0785409927109826
ACH-000039,-0.2019271884857086
ACH-000040,-0.04869528066605199
ACH-000041,-0.17565673039422489
ACH-000042,-0.23294135094201426
ACH-000045,-0.1793378130069137
ACH-000047,-0.27539736380971525
ACH-000052,-0.12282575965379774
ACH-000053,-0.2281257085356572
ACH-000054,-0.27680777238564264
ACH-000055,-0.1820034573782391
ACH-000060,-0.21279068040061525
ACH-000067,-0.2322504224323655
ACH-000070,-0.2939774953807242
ACH-000075,-0.16580828052858626
ACH-000078,-0.2994689515296024
ACH-000082,-0.19559991182859207
ACH-000085,-0.3667093588562372
ACH-000086,-0.1671558812543447
ACH-000087,-0.18219597317373729
ACH-000092,-0.1966723417966748
ACH-000095,-0.2720281255876271
ACH-000097,-0.1996488942937462
ACH-000098,-0.15404358943411006
ACH-000099,-0.34957811962308405
ACH-000108,-0.2300814348771821
ACH-000113,-0.08806064237475178
ACH-000116,-0.3041264189134654
ACH-000118,-0.03291924116483188
ACH-000120,-0.09704337772181706
ACH-000123,-0.1966386161216354
ACH-000127,-0.14928532638736167
ACH-000128,-0.20003324013234056
ACH-000132,-0.13359793455581695
ACH-000133,-0.15858633356736335
ACH-000137,-0.18296881093742767
ACH-000138,-0.2642690991173905
ACH-000142,-0.2600874706888593
ACH-000143,-0.18856923038368345
ACH-000146,-0.16597095911124282
ACH-000148,-0.0993766872516091
ACH-000150,-0.2712455438288868
ACH-000152,-0.11779222476473268
ACH-000153,-0.13812825389198755
ACH-000159,-0.22772496011297316
ACH-000160,-0.16074398437504708
ACH-000163,-0.10524989069628816
ACH-000167,-0.4393652010839365
ACH-000168,0.04821060739523488
ACH-000169,-0.3191700633785906
ACH-000178,-0.18008011275583802
ACH-000183,-0.027747073736811314
ACH-000188,-0.0571515091530885
ACH-000189,-0.38572821296889626
ACH-000190,-0.16595524038541098
ACH-000198,-0.2585815155234053
ACH-000203,-0.28983736387274506
ACH-000204,-0.24847360602821256
ACH-000206,-0.18855686131629654
ACH-000207,-0.21295550914937053
ACH-000208,-0.2464282708250931
ACH-000210,-0.400920714215378
ACH-000211,-0.2061808653370816
ACH-000215,-0.09026032646148324
ACH-000221,-0.321138418683225
ACH-000222,-0.23987731050016206
ACH-000223,-0.1954930159001111
ACH-000226,-0.28009897844191906
ACH-000227,-0.033594492871623464
ACH-000228,-0.2342144548057778
ACH-000231,-0.11975493935482248
ACH-000232,-0.16341971420151116
ACH-000233,-0.4126316582477075
ACH-000234,-0.4770607021578254
ACH-000235,-0.22218776560082093
ACH-000237,-0.23673330128081296
ACH-000238,-0.12687998674309905
ACH-000242,0.14635942278341554
ACH-000243,-0.16552788213841058
ACH-000244,-0.2973212309286272
ACH-000246,-0.27374641009168843
ACH-000248,-0.39260347506682464
ACH-000250,-0.3257773222595249
ACH-000251,0.062040122518638635
ACH-000252,-0.08296569937010273
ACH-000253,-0.2534654612867418
ACH-000255,-0.06330636324001057
ACH-000256,-0.35717203866987496
ACH-000257,-0.18133778669077102
ACH-000258,-0.1042242991190479
ACH-000259,-0.11461152818888047
ACH-000260,-0.17323430753387534
ACH-000261,-0.17080156000571303
ACH-000262,-0.1827308518793028
ACH-000263,-0.4009810334522523
ACH-000264,-0.1226446661459115
ACH-000265,-0.12094125959164195
ACH-000266,-0.32257298076292457
ACH-000272,-0.3264646512232929
ACH-000274,-0.276373909923307
ACH-000277,-0.2248470788439248
ACH-000278,-0.22149662005790105
ACH-000279,-0.2330350090087757
ACH-000280,-0.17595981671631414
ACH-000281,-0.1635986893197619
ACH-000288,-0.14883171319878175
ACH-000291,-0.3080136828903117
ACH-000293,-0.4702992214835729
ACH-000294,-0.32363821558757616
ACH-000295,0.005707237337471232
ACH-000296,-0.22412695330192195
ACH-000302,-0.28296106406721305
ACH-000304,-0.026228557688287447
ACH-000307,-0.1875251089630399
ACH-000308,-0.1172843476225087
ACH-000310,-0.20651455331013754
ACH-000311,-0.2590730897565152
ACH-000312,-0.1429529912546764
ACH-000315,-0.3155995530639684
ACH-000316,-0.2272267960277721
ACH-000317,-0.07530680228955483
ACH-000318,-0.3186548843628702
ACH-000319,-0.3692942833241321
ACH-000320,-0.21637480502804596
ACH-000322,-0.3416210094970774
ACH-000323,-0.17198297638981735
ACH-000324,-0.33793415762982026
ACH-000329,0.04954832533766215
ACH-000330,-0.20172381903771588
ACH-000331,-0.06954715784668859
ACH-000332,-0.1705668319287603
ACH-000334,-0.07714579943492565
ACH-000335,-0.402594683255238
ACH-000336,-0.05047689921398478
ACH-000337,-0.3708045514798885
ACH-000338,0.11485580381625075
ACH-000339,-0.06642995675323493
ACH-000341,-0.2209518522113213
ACH-000348,-0.1056323265557092
ACH-000350,-0.31336502180080505
ACH-000352,-0.18854024689190405
ACH-000356,-0.0026354554194241947
ACH-000361,-0.25803049577420384
