,RNASEH1 (246243)
ACH-000004,-0.08482209833961774
ACH-000005,-0.2285794499600536
ACH-000007,-0.2119649392562972
ACH-000009,-0.269247552414602
ACH-000011,-0.006903738943547132
ACH-000012,-0.03990657719747232
ACH-000013,-0.157609243745367
ACH-000014,-0.2293609124213848
ACH-000015,-0.19134010339389398
ACH-000017,-0.21011377778808
ACH-000018,-0.28896320280037857
ACH-000019,-0.011807205127634418
ACH-000021,-0.18227751657580807
ACH-000022,-0.21497783845584925
ACH-000025,-0.2858902347828036
ACH-000028,-0.16349697741060146
ACH-000030,-0.15800395767032355
ACH-000035,-0.22511361987177145
ACH-000036,-0.12021431562297526
ACH-000037,-0.25781614721042445
ACH-000039,-0.15383523908614705
ACH-000040,-0.21702804470872197
ACH-000041,-0.15930144273290167
ACH-000042,-0.1320780938241216
ACH-000045,-0.1626687989338242
ACH-000047,-0.2357245473483149
ACH-000052,-0.2160247727175281
ACH-000053,-0.10946098938939117
ACH-000054,-0.2494969077685738
ACH-000055,-0.2541374003089871
ACH-000060,-0.019412872789431032
ACH-000067,-0.2290022189149169
ACH-000070,-0.13440166609833895
ACH-000075,-0.22831965967234796
ACH-000078,-0.17474252072551355
ACH-000082,-0.29892975389954823
ACH-000085,-0.21443861352497076
ACH-000086,-0.2527601443289387
ACH-000087,-0.43399471099626974
ACH-000092,-0.3058131161186935
ACH-000095,-0.1656809525551916
ACH-000097,-0.17550666181996089
ACH-000098,-0.23558970707600654
ACH-000099,-0.2699383291879089
ACH-000108,-0.1120314568522104
ACH-000113,-0.2296884917202571
ACH-000116,-0.3251608477651874
ACH-000118,-0.3772816133498989
ACH-000120,-0.1687802094939786
ACH-000123,-0.4496213551198483
ACH-000127,-0.16545723498887446
ACH-000128,-0.3193852485291285
ACH-000132,-0.3777434655869051
ACH-000133,-0.3481455569955917
ACH-000137,-0.2812122431226432
ACH-000138,-0.06131629482747504
ACH-000142,-0.31346233441414345
ACH-000143,-0.3091232213733171
ACH-000146,-0.2212535884091668
ACH-000148,-0.2578804307259204
ACH-000150,-0.18435558185068834
ACH-000152,-0.4459832915162529
ACH-000153,-0.2859248199990238
ACH-000159,-0.15091700083738194
ACH-000160,-0.4048981486240867
ACH-000163,-0.03830818218940462
ACH-000167,-0.3465375704121785
ACH-000168,-0.1388579252346335
ACH-000169,-0.047743540051890805
ACH-000178,-0.3213593624669165
ACH-000183,-0.2464547292082469
ACH-000188,-0.20200193267861336
ACH-000189,-0.37246914984686746
ACH-000190,-0.4716095394953406
ACH-000198,-0.15760983434912826
ACH-000203,-0.14251505882535825
ACH-000204,-0.05568300870601643
ACH-000206,-0.15899849660403298
ACH-000207,-0.5158487635146151
ACH-000208,-0.5104365650448279
ACH-000210,0.02057767558606214
ACH-000211,-0.11204275084589216
ACH-000215,-0.2068918440147144
ACH-000221,-0.2051170573449304
ACH-000222,-0.0986501214049098
ACH-000223,-0.21501101786201224
ACH-000226,-0.34848171805492106
ACH-000227,-0.2910320253588889
ACH-000228,-0.10576431735985428
ACH-000231,-0.2939654779794118
ACH-000232,-0.24026912229887465
ACH-000233,-0.10863483713233296
ACH-000234,-0.2548616120393111
ACH-000235,-0.11118394744922536
ACH-000237,-0.1376162558449872
ACH-000238,-0.2373635254475145
ACH-000242,0.17687925027712015
ACH-000243,-0.17740321332383666
ACH-000244,-0.025718284902892286
ACH-000246,-0.2536323884524761
ACH-000248,-0.3896840404954465
ACH-000250,-0.14023819397861287
ACH-000251,-0.3318850643298184
ACH-000252,0.0165418378351703
ACH-000253,-0.16122483577959065
ACH-000255,-0.060641602653553825
ACH-000256,-0.1449138104191851
ACH-000257,-0.11070961978197903
ACH-000258,-0.48026714189492
ACH-000259,-0.17920342005949336
ACH-000260,-0.18304493047124887
ACH-000261,-0.18721851169318635
ACH-000262,-0.17658508581941587
ACH-000263,-0.058497352424700264
ACH-000264,-0.12198711968215167
ACH-000265,-0.2409011152442187
ACH-000266,-0.14361264731886186
ACH-000272,-0.21197133739165905
ACH-000274,-0.23699603233578065
ACH-000277,-0.018240343296656168
ACH-000278,-0.12211154360823133
ACH-000279,-0.24459875548585286
ACH-000280,-0.14815246236719887
ACH-000281,-0.09923248213769048
ACH-000288,-0.3102260217330421
ACH-000291,-0.11066045885208768
ACH-000293,-0.26560174735559444
ACH-000294,-0.07481258630894841
ACH-000295,-0.14897862750885238
ACH-000296,-0.13218076999776288
ACH-000302,-0.11215140640494453
ACH-000304,-0.5317779180153878
ACH-000307,-0.22587107683813215
ACH-000308,-0.18447732347445356
ACH-000310,-0.2707693083873729
ACH-000311,-0.1529728301771094
ACH-000312,-0.1831790652152332
ACH-000315,0.04417569797511412
ACH-000316,-0.2486508260987705
ACH-000317,-0.3111355704274413
ACH-000318,-0.27892854634365416
ACH-000319,-0.19573789479177875
ACH-000320,-0.27470790608238466
ACH-000322,-0.16660310716040108
ACH-000323,-0.13888741725266646
ACH-000324,-0.08628167691775586
ACH-000329,-0.13616330979903699
ACH-000330,-0.18342344966003227
ACH-000331,-0.2979163674383353
ACH-000332,-0.148680665768485
ACH-000334,-0.026447260128050817
ACH-000335,-0.11973072862545235
ACH-000336,-0.21396756621005167
ACH-000337,-0.1860303068141158
ACH-000338,-0.005856564188407922
ACH-000339,-0.27959014818799044
ACH-000341,-0.10106900148680577
ACH-000348,-0.2445651916728345
ACH-000350,-0.21616918816423475
ACH-000352,-0.14799855983894405
ACH-000356,-0.3495640695854171
ACH-000361,-0.2387478422750552
ACH-000362,-0.0908579841316833
ACH-000363,-0.16277904548236194
ACH-000364,-0.20097309586811365
ACH-000365,-0.10252193929957414
ACH-000366,-0.21549852828428867
ACH-000368,-0.09239776199067
ACH-000374,-0.3220760907895732
ACH-000375,-0.16896610887405494
ACH-000376,-0.2687989317132312
ACH-000381,-0.2832343177233311
ACH-000383,-0.19589413280338974
ACH-000387,-0.20073656622176456
ACH-000389,-0.3738205255580892
ACH-000390,-0.17078928642691746
ACH-000393,-0.15103486279240258
ACH-000395,0.051946215456336285
ACH-000396,-0.2122974112947952
ACH-000397,-0.006881150803270694
ACH-000401,0.0038687755379650476
ACH-000402,-0.6335640884961322
ACH-000403,-0.1133197722738758
ACH-000404,-0.3297095382813293
ACH-000406,-0.316400768284704
ACH-000407,-0.16145270339058568
ACH-000408,-0.377560156742476
ACH-000410,-0.1381846295429395
ACH-000411,-0.1723766909943983
ACH-000414,-0.14679656456730258
ACH-000415,-0.1758710460430451
ACH-000416,-0.06926228701994915
ACH-000420,-0.1605710916649905
ACH-000421,-0.26366193632493723
ACH-000424,-0.42437422457948254
ACH-000425,-0.14049083238918694
ACH-000426,-0.06804486495768222
ACH-000427,-0.3683083858835516
ACH-000433,-0.010472712351887294
ACH-000435,-0.3215657985675502
ACH-000436,0.05200119237079913
ACH-000444,-0.07788742295088588
ACH-000445,-0.09769207270073306
ACH-000448,-0.3559360329439711
ACH-000450,-0.14950844108443312
ACH-000452,-0.20702773729306825
ACH-000454,-0.2644913878534769
ACH-000458,-0.6003054663563346
ACH-000459,-0.3168605738047485
ACH-000460,-0.3436484398523386
ACH-000461,-0.26760945102609623
ACH-000463,-0.15835725432689735
ACH-000464,-0.39167656033106296
ACH-000466,-0.1463054708570686
ACH-000467,-0.33985591120114755
ACH-000468,-0.2594146096864911
ACH-000469,-0.15095534565168398
ACH-000470,-0.22641825391537135
ACH-000471,-0.24651115676761504
ACH-000472,-0.14283936543594808
ACH-000473,-0.26328500091767315
ACH-000475,-0.18899582920267327
ACH-000476,-0.291625016120725
ACH-000477,-0.12197005523450564
ACH-000479,-0.30862994581562475
ACH-000480,-0.4893824483918664
ACH-000481,-0.10036856354002473
ACH-000483,-0.1283186928503409
ACH-000484,-0.34158612803411104
ACH-000485,-0.18190685089229444
ACH-000486,-0.21344483218517515
ACH-000487,-0.021334126778718585
ACH-000488,-0.4032484015783658
ACH-000490,-0.2621389252630393
ACH-000491,0.011808242572506686
ACH-000495,-0.09901375826171764
ACH-000496,-0.1158413441862988
ACH-000499,-0.3771904693785933
ACH-000500,-0.3959449725788939
ACH-000502,-0.22506206076668225
ACH-000503,-0.5996099926039528
ACH-000505,-0.0811789197445829
ACH-000507,-0.3043149692832842
