,IFI27L2 (83982)
ACH-000004,0.3176991767869365
ACH-000005,0.4139448996550298
ACH-000007,0.27993441018959514
ACH-000009,0.18274554362411605
ACH-000011,0.21213917102761895
ACH-000012,0.2462738830485331
ACH-000013,0.1893089688074659
ACH-000014,0.22765350690318145
ACH-000015,0.22320879977006094
ACH-000017,0.16879066454367056
ACH-000018,0.27684014202766144
ACH-000019,0.1499474791428957
ACH-000021,0.19469827394850875
ACH-000022,0.1928405262862252
ACH-000025,0.23773062135212336
ACH-000028,0.2718792449497216
ACH-000030,0.1931933119550707
ACH-000035,0.2574418546305035
ACH-000036,0.1627921914628557
ACH-000037,0.14099804146135894
ACH-000039,0.13002093112494306
ACH-000040,0.17369855191608158
ACH-000041,0.1356656466988217
ACH-000042,0.2129088921711884
ACH-000045,0.059652624770928864
ACH-000047,0.11335457104387445
ACH-000052,0.342095057009089
ACH-000053,0.17000999175465045
ACH-000054,0.10317945808538187
ACH-000055,0.25552922395531763
ACH-000060,0.1336691855053393
ACH-000067,0.0923555801550689
ACH-000070,0.14304685961321956
ACH-000075,0.29981369190229273
ACH-000078,0.2606472990698204
ACH-000082,0.1961550323085002
ACH-000085,0.2987048646873973
ACH-000086,0.2266139571915189
ACH-000087,0.09887061513616333
ACH-000092,0.19402291685223885
ACH-000095,0.07876855102561008
ACH-000097,0.23184665138335306
ACH-000098,0.11634668635470476
ACH-000099,0.2403334361343361
ACH-000108,0.054840263674216405
ACH-000113,0.2504288137600017
ACH-000116,0.12028288499767092
ACH-000118,0.19900660151095684
ACH-000120,0.30910044816546645
ACH-000123,0.33804837875309146
ACH-000127,0.2392478656835415
ACH-000128,0.3177130812796562
ACH-000132,0.18281617996846386
ACH-000133,0.1797629999212956
ACH-000137,0.14383920071632333
ACH-000138,0.2498577809215449
ACH-000142,0.26051473181093565
ACH-000143,0.2339382603947768
ACH-000146,0.2679063981283081
ACH-000148,0.2100949679383885
ACH-000150,0.12685217590756578
ACH-000152,0.17087709167140502
ACH-000153,0.3565601991501107
ACH-000159,0.1549786100416459
ACH-000160,0.2160428500438158
ACH-000163,0.09492314187117612
ACH-000167,0.0771858161675967
ACH-000168,0.13224765133869418
ACH-000169,0.10667942436354656
ACH-000178,0.1712497862489027
ACH-000183,0.1699474902201368
ACH-000188,0.18921295381344425
ACH-000189,0.13009139678391102
ACH-000190,0.06940497618920302
ACH-000198,0.1976217520758258
ACH-000203,0.24712516714667954
ACH-000204,0.3111115685945787
ACH-000206,0.4046118816267912
ACH-000207,0.13428353404438986
ACH-000208,-0.05145944472496121
ACH-000210,0.1959995184547141
ACH-000211,0.1935592611362716
ACH-000215,0.16778866575638596
ACH-000221,0.14216063590894715
ACH-000222,0.2670955799542589
ACH-000223,0.2296826055067434
ACH-000226,0.01920403265501588
ACH-000227,0.2801403448898206
ACH-000228,0.1108646834485842
ACH-000231,0.16840779314514867
ACH-000232,0.2057195613598767
ACH-000233,0.1909702396339207
ACH-000234,0.1557106340824657
ACH-000235,0.1920002745330818
ACH-000237,0.2950131685485131
ACH-000238,0.20309656166732631
ACH-000242,0.06895686649276271
ACH-000243,0.18790351942471728
ACH-000244,0.3757590117478119
ACH-000246,0.16000575269783635
ACH-000248,0.11400953703954778
ACH-000250,0.19986249311167675
