,CIAO1 (9391)
ACH-000004,-1.290742660867596
ACH-000005,-1.3023690789987072
ACH-000007,-1.1972519387490381
ACH-000009,-1.0794928350020507
ACH-000011,-1.114332307149125
ACH-000012,-0.920761925634946
ACH-000013,-1.0545611922979865
ACH-000014,-1.2342636689793465
ACH-000015,-0.9895811683212304
ACH-000017,-1.1997525560965798
ACH-000018,-1.3991855039012089
ACH-000019,-0.5726412890258756
ACH-000021,-1.214911981946779
ACH-000022,-0.7483607893742081
ACH-000025,-1.1875991839371076
ACH-000028,-1.0752802682282157
ACH-000030,-1.1252142321326193
ACH-000035,-1.3527970346745513
ACH-000036,-1.0662537923840083
ACH-000037,-0.5172737306629837
ACH-000039,-1.130901737273864
ACH-000040,-1.0742104656183245
ACH-000041,-1.2017535761006015
ACH-000042,-1.1631753950798889
ACH-000045,-1.0343375417143594
ACH-000047,-1.273184736652806
ACH-000052,-1.0655457663481045
ACH-000053,-0.9732125358475696
ACH-000054,-1.1184955481089305
ACH-000055,-1.2612005810751021
ACH-000060,-1.0718490827323903
ACH-000067,-1.3325020388372848
ACH-000070,-1.0910351295683636
ACH-000075,-1.0104096147438255
ACH-000078,-0.9464930703606396
ACH-000082,-1.1704653219624712
ACH-000085,-1.300816193268396
ACH-000086,-1.3039289113454398
ACH-000087,-1.2057480026104617
ACH-000092,-1.3123030000488862
ACH-000095,-0.7597069784267472
ACH-000097,-0.9094187820207064
ACH-000098,-1.4497902714421589
ACH-000099,-0.9037350657676801
ACH-000108,-0.9524454997206941
ACH-000113,-1.0259717996774398
ACH-000116,-1.251677839079525
ACH-000118,-1.158776659762281
ACH-000120,-1.1533172063410635
ACH-000123,-0.9538784850542926
ACH-000127,-1.2143977196395048
ACH-000128,-1.2899508994780888
ACH-000132,-1.3568417463783982
ACH-000133,-1.1410007440640038
ACH-000137,-1.3002251741869542
ACH-000138,-1.1581903113736234
ACH-000142,-1.1705234392741484
ACH-000143,-1.27600494720533
ACH-000146,-0.9600402486509992
ACH-000148,-1.5046751626888288
ACH-000150,-1.2174124769812988
ACH-000152,-1.1168945315836891
ACH-000153,-0.9808872340105702
ACH-000159,-0.9315165865732059
ACH-000160,-1.2271176718350214
ACH-000163,-1.3043633253358284
ACH-000167,-1.842623405813904
ACH-000168,-1.2346956983330233
ACH-000169,-1.1583350068608178
ACH-000178,-1.1168957237424568
ACH-000183,-1.160021299446328
ACH-000188,-1.1364272545714793
ACH-000189,-1.1574537657541688
ACH-000190,-1.1334897224466025
ACH-000198,-0.9237232566574114
ACH-000203,-1.354574326561086
ACH-000204,-0.9511647845837796
ACH-000206,-1.3288696548112646
ACH-000207,-0.9492665696127149
ACH-000208,-1.0896101358342245
ACH-000210,-0.9582014200631332
ACH-000211,-1.230835298713886
ACH-000215,-1.3262226943846969
ACH-000221,-1.372943333349042
ACH-000222,-1.2023610786701138
ACH-000223,-1.125702082664345
ACH-000226,-1.1007626134618544
ACH-000227,-0.9563820836494971
ACH-000228,-1.0599869641022222
ACH-000231,-1.3589800094619322
ACH-000232,-1.0545784827506788
ACH-000233,-1.0470526785026846
ACH-000234,-1.211384021459461
ACH-000235,-0.949321002125141
ACH-000237,-1.2402754713589896
ACH-000238,-1.0783090176854302
ACH-000242,-1.2165549562075784
ACH-000243,-1.065331187145605
ACH-000244,-1.1837460419097952
ACH-000246,-0.997017223906438
ACH-000248,-1.3562825611345213
ACH-000250,-1.1801140655006177
ACH-000251,-1.3429227741232332
ACH-000252,-1.1398179742627914
ACH-000253,-0.9622026999706104
ACH-000255,-1.1032601934216184
ACH-000256,-1.2063322073644334
ACH-000257,-0.9705423892584376
ACH-000258,-0.9420937959670784
ACH-000259,-1.297299878415518
ACH-000260,-0.9511872350659863
ACH-000261,-1.2046430113138915
ACH-000262,-1.1744791695618533
ACH-000263,-0.4750266371931836
ACH-000264,-1.1456109798407883
ACH-000265,-1.1499862939469534
ACH-000266,-0.8053590316628816
ACH-000272,-1.0975753903457546
ACH-000274,-0.7820485432674943
ACH-000277,-1.0909554443996563
ACH-000278,-0.9812374880044431
ACH-000279,-1.1891657532592612
ACH-000280,-1.2317279888761523
ACH-000281,-1.2452180265998958
ACH-000288,-1.3151469933742357
ACH-000291,-1.204364682495448
ACH-000293,-1.090753620393035
ACH-000294,-1.0028817346998449
ACH-000295,-1.21741434686902
ACH-000296,-1.279204405273122
ACH-000302,-1.110658552270894
ACH-000304,-1.4141817810987374
ACH-000307,-1.3240771284349522
ACH-000308,-1.039830726546413
ACH-000310,-0.6861741392836259
ACH-000311,-1.083913838056633
ACH-000312,-1.1271403303142424
ACH-000315,-1.1784867803448802
ACH-000316,-1.3141618556703507
ACH-000317,-1.4855268349201225
ACH-000318,-1.2225077344164277
ACH-000319,-1.1174311808389985
ACH-000320,-1.4778151515781002
ACH-000322,-1.0574353131302148
ACH-000323,-1.155996924150866
ACH-000324,-1.1271627389156742
ACH-000329,-1.0069736749996647
ACH-000330,-1.2761425075494313
ACH-000331,-1.10128631464424
ACH-000332,-1.1357602931517754
ACH-000334,-0.8058607322370047
ACH-000335,-1.1692228932757165
ACH-000336,-1.2623199722004146
ACH-000337,-1.005112455736756
ACH-000338,-1.2708148727204638
ACH-000339,-1.1514033954685452
ACH-000341,-0.8037470810643127
ACH-000348,-1.2290793112369498
ACH-000350,-0.724531002371271
ACH-000352,-0.7040760089466486
ACH-000356,-1.1002167632448527
ACH-000361,-1.1245241652747306
ACH-000362,-1.0478781359401057
ACH-000363,-0.6967768440696241
ACH-000364,-1.0155788670739414
ACH-000365,-1.1395601688678447
ACH-000366,-1.2563507334878192
ACH-000368,-1.3049843840074105
ACH-000374,-1.4135772163112688
ACH-000375,-1.083590424309563
ACH-000376,-1.15619048400942
ACH-000381,-1.033604065262055
ACH-000383,-0.7613749847721413
ACH-000387,-0.9927632960212196
ACH-000389,-1.0414013605128762
ACH-000390,-1.3911726752397564
ACH-000393,-1.3730861092481506
ACH-000395,-1.234783249920098
ACH-000396,-1.326089934141372
ACH-000397,-0.9717334329962104
ACH-000401,-0.87835339730017
ACH-000402,-1.1274445214539637
ACH-000403,-0.651770660263496
ACH-000404,-1.668467382809497
ACH-000406,-1.227576920429624
ACH-000407,-1.1428068886191265
ACH-000408,-1.5092094774817524
ACH-000410,-1.146459534605508
ACH-000411,-1.1194596833254975
ACH-000414,-1.1431520121831409
ACH-000415,-1.4366604250145965
ACH-000416,-0.9245420945415516
ACH-000420,-1.0483831999629427
ACH-000421,-1.0416437015694917
ACH-000424,-1.1225189671417863
ACH-000425,-1.004896073513565
ACH-000426,-1.309974332123181
ACH-000427,-0.984768626267966
ACH-000433,-1.1436029374689682
ACH-000435,-0.8926089134892968
ACH-000436,-1.0060323842057841
ACH-000444,-1.018004375203663
ACH-000445,-1.096357509288808
ACH-000448,-1.0053501717266171
ACH-000450,-1.3507146628698483
ACH-000452,-1.4582300394913228
ACH-000454,-1.3644161656799298
ACH-000458,-0.9495487107544364
ACH-000459,-1.1759768873848455
ACH-000460,-0.9573245932351252
ACH-000461,-0.8836483562934659
ACH-000463,-0.9703362772192696
ACH-000464,-1.351507671932234
ACH-000466,-1.2690143519499362
ACH-000467,-1.1415699345980252
ACH-000468,-1.0992682455307492
ACH-000469,-1.2963374300233577
ACH-000470,-1.2139319944022269
ACH-000471,-1.2829380178898315
ACH-000472,-1.0663355874522715
ACH-000473,-1.2436484682824374
ACH-000475,-0.934650424513971
ACH-000476,-1.0744159544188765
ACH-000477,-1.1070631988795183
ACH-000479,-0.888631325204587
ACH-000480,-1.098408841107522
ACH-000481,-0.9146487065300114
ACH-000483,-0.8634520258134101
ACH-000484,-0.7863536319451897
ACH-000485,-0.8584777561851009
ACH-000486,-1.1454560147599144
ACH-000487,-1.0360285794255524
ACH-000488,-1.1199473696835207
ACH-000490,-1.2465435869961123
ACH-000491,-0.6895976857375958
ACH-000495,-1.3067082559210994
ACH-000496,-1.3395194466857443
ACH-000499,-0.9029027784221848
ACH-000500,-1.5172451921140728
ACH-000502,-1.0807979829135037
ACH-000503,-1.2398032887750547
ACH-000505,-1.16908920123255
ACH-000507,-1.2610166760701411
ACH-000510,-1.107617943597403
ACH-000511,-1.1112369466389318
ACH-000512,-1.1643744049288174
ACH-000516,-1.1511060133678526
ACH-000517,-1.1686063572392498
ACH-000518,-1.1911642107457765
ACH-000520,-1.058342812676344
ACH-000521,-1.1671780946441026
ACH-000522,-1.3218760575134865
ACH-000524,-0.9625779271910578
