,INO80B (83444)
ACH-000004,-0.4045388476211719
ACH-000005,-0.2516301228932844
ACH-000007,-0.4858885388960976
ACH-000009,-0.23484285950525016
ACH-000011,-0.2937256637669161
ACH-000012,-0.35084861777666604
ACH-000013,-0.4311896168357661
ACH-000014,-0.5675731699618002
ACH-000015,-0.2678170072742804
ACH-000017,-0.34358376265043883
ACH-000018,-0.457288141038405
ACH-000019,-0.4817633439623388
ACH-000021,-0.2830843930109617
ACH-000022,-0.4437074746282939
ACH-000025,-0.3845297350156395
ACH-000028,-0.3308504761573091
ACH-000030,-0.14490382832533752
ACH-000035,-0.5680271596860561
ACH-000036,-0.5157567216800539
ACH-000037,-0.23063213992504816
ACH-000039,-0.25232852976616515
ACH-000040,-0.24109673233244586
ACH-000041,-0.2735299624356267
ACH-000042,-0.2663969503236521
ACH-000045,-0.33823067961345965
ACH-000047,0.03912003613439122
ACH-000052,-0.38159153391946543
ACH-000053,-0.4520898639851129
ACH-000054,-0.33834687215635423
ACH-000055,-0.15334238876574802
ACH-000060,-0.4210005609759073
ACH-000067,-0.33025211508714003
ACH-000070,-0.32291901538392875
ACH-000075,-0.17047836090281904
ACH-000078,-0.1207645552374052
ACH-000082,-0.3677707497031087
ACH-000085,-0.22478802731807151
ACH-000086,-0.5559365517048135
ACH-000087,-0.6717412459256424
ACH-000092,-0.4356240261375853
ACH-000095,-0.2232527936798019
ACH-000097,-0.4534375038746646
ACH-000098,-0.4704598196814512
ACH-000099,-0.15026264081860033
ACH-000108,-0.16727201735414485
ACH-000113,-0.4131271582214479
ACH-000116,-0.32102563449651905
ACH-000118,-0.1914485731350377
ACH-000120,-0.4436465538239217
ACH-000123,-0.4604711011010845
ACH-000127,-0.3843666256329457
ACH-000128,-0.4172093400263468
ACH-000132,-0.26366739029181424
ACH-000133,-0.3581961563882153
ACH-000137,-0.38258935038679065
ACH-000138,-0.35831533231536605
ACH-000142,-0.35012475938353177
ACH-000143,-0.6354691790095924
ACH-000146,-0.3036080645687049
ACH-000148,-0.4391292759874328
ACH-000150,-0.14350828652883305
ACH-000152,-0.5294013394886561
ACH-000153,-0.12614080389833135
ACH-000159,-0.4863017250000036
ACH-000160,-0.1643571292803624
ACH-000163,-0.3430275048310841
ACH-000167,0.2192623009220271
ACH-000168,-0.3466652603694769
ACH-000169,-0.4354581570692128
ACH-000178,-0.5833570366287183
ACH-000183,-0.27780704039945986
ACH-000188,-0.4193394689973959
ACH-000189,-0.3636018174276244
ACH-000190,-0.3027677962377731
ACH-000198,-0.4800228320894606
ACH-000203,-0.4730546592545054
ACH-000204,-0.4957421825108279
ACH-000206,-0.5599845732808533
ACH-000207,-0.3296903584300865
ACH-000208,-0.199945893560967
ACH-000210,-0.03588299309709802
ACH-000211,-0.4448704287333624
ACH-000215,-0.3732695986469631
ACH-000221,-0.3019152913144765
ACH-000222,-0.07518806624906181
ACH-000223,-0.5574671052548147
ACH-000226,-0.5875764182950179
ACH-000227,-0.3117866166359617
ACH-000228,-0.5768892120344793
ACH-000231,-0.6006722968462807
ACH-000232,-0.3687007468053336
ACH-000233,-0.3044720099759956
ACH-000234,-0.30256559689349144
ACH-000235,-0.28961041933296505
ACH-000237,-0.3671600035239917
ACH-000238,-0.4580165326784604
ACH-000242,-0.12414457415017285
ACH-000243,-0.7569610076292556
ACH-000244,-0.3144372257834693
ACH-000246,-0.5820207028227452
ACH-000248,-0.3354425040861582
