,ACTR3C (653857)
ACH-000004,-0.2969271531516818
ACH-000005,-0.14638865366984527
ACH-000007,-0.22138868592793995
ACH-000009,-0.153941494625456
ACH-000011,-0.2687069246642972
ACH-000012,-0.3109273707135252
ACH-000013,-0.15063382173408685
ACH-000014,-0.18164157341561948
ACH-000015,-0.2152922125355332
ACH-000017,-0.12245772799555348
ACH-000018,-0.08314369205995473
ACH-000019,-0.20941422487474512
ACH-000021,-0.20969448794236872
ACH-000022,-0.14404735783286046
ACH-000025,-0.05267630141504337
ACH-000028,-0.08795004862900224
ACH-000030,-0.14805568572468822
ACH-000035,-0.10599740555242557
ACH-000036,-0.3017999050598246
ACH-000037,-0.2949410934934817
ACH-000039,-0.18584986401939552
ACH-000040,-0.060753136304473
ACH-000041,-0.1701255505342097
ACH-000042,-0.10727205747694016
ACH-000045,-0.2610593848871148
ACH-000047,-0.2652643515110087
ACH-000052,-0.19263672255679087
ACH-000053,-0.16773578289357124
ACH-000054,-0.269702511034504
ACH-000055,-0.0895082212897915
ACH-000060,-0.13805426118219427
ACH-000067,-0.3405710943411335
ACH-000070,-0.15791236452353366
ACH-000075,-0.11689313799565175
ACH-000078,-0.18180720545152967
ACH-000082,-0.06877441807394162
ACH-000085,0.07269884938002084
ACH-000086,-0.2250809602986092
ACH-000087,-0.13213822624817814
ACH-000092,-0.14527641626181434
ACH-000095,-0.25054346242204784
ACH-000097,-0.1927462497223803
ACH-000098,-0.20600643138690067
ACH-000099,-0.21798342348542804
ACH-000108,-0.2164729946904938
ACH-000113,-0.11583908969311815
ACH-000116,-0.17477829966836855
ACH-000118,-0.024718847611352474
ACH-000120,-0.09523338442958554
ACH-000123,-0.1889115956886373
ACH-000127,-0.21633383484135396
ACH-000128,-0.19892264238679316
ACH-000132,-0.11453821944427432
ACH-000133,-0.19756462647816525
ACH-000137,-0.10583220978479313
ACH-000138,-0.06902819778717396
ACH-000142,-0.10354702016501624
ACH-000143,-0.16256679995560533
ACH-000146,-0.20145149723595127
ACH-000148,-0.1096253389843541
ACH-000150,-0.2888564456056962
ACH-000152,-0.1003192876557013
ACH-000153,-0.07614220056818058
ACH-000159,-0.2261624952511116
ACH-000160,-0.14697594971044842
ACH-000163,-0.13721378987561644
ACH-000167,-0.21382009122970827
ACH-000168,-0.0035095941373601888
ACH-000169,-0.11144763997880287
ACH-000178,-0.09789328385845872
ACH-000183,-0.18808721655249733
ACH-000188,-0.09175766188915643
ACH-000189,0.08075010630567916
ACH-000190,-0.05371141832657364
ACH-000198,-0.1791880678297774
ACH-000203,0.03764327092217755
ACH-000204,-0.1742971534034429
ACH-000206,-0.07349556420535353
ACH-000207,-0.18804760241473575
ACH-000208,0.038268834320509364
ACH-000210,-0.3143967423016407
ACH-000211,-0.0892321741784835
ACH-000215,-0.19057885171509906
ACH-000221,-0.3146335210796117
ACH-000222,-0.22583077367308066
ACH-000223,-0.13828777417119004
ACH-000226,-0.08067469869354213
ACH-000227,-0.029557440437830918
ACH-000228,-0.2375438000508941
ACH-000231,-0.11332855122638068
ACH-000232,-0.27046850438633746
ACH-000233,-0.12477640926274534
ACH-000234,-0.13997779906992866
ACH-000235,-0.09815120278302103
ACH-000237,-0.21351287977478725
ACH-000238,-0.15266555825957456
ACH-000242,-0.2383115591196603
ACH-000243,-0.1350343489066169
ACH-000244,-0.06193403137387245
ACH-000246,-0.16218138593008846
ACH-000248,-0.04324277090873538
ACH-000250,-0.12274819662380225
ACH-000251,-0.06699983645983353
ACH-000252,-0.1123598884118182
ACH-000253,-0.15774249808023766
ACH-000255,-0.09654896459020364
ACH-000256,-0.14485722611079532
ACH-000257,-0.18966117297618
ACH-000258,-0.3230778606435313
ACH-000259,-0.1174031798732238
ACH-000260,-0.18806311031531667
ACH-000261,-0.21740843049894254
ACH-000262,-0.12249718417688266
ACH-000263,-0.4157575929612801
ACH-000264,-0.07311119597086194
ACH-000265,-0.09502707632290848
ACH-000266,-0.2063691932449944
ACH-000272,-0.1399449004841236
ACH-000274,-0.1864588488930934
ACH-000277,-0.21562211843582355
ACH-000278,-0.17987949708041276
ACH-000279,-0.2379635170772719
ACH-000280,-0.09271989192679328
ACH-000281,-0.25378930104470004
ACH-000288,-0.13950495046586472
ACH-000291,-0.09057209023704137
ACH-000293,-0.18797422973967146
ACH-000294,-0.019215112636780444
ACH-000295,-0.15565859091846754
ACH-000296,-0.22623630603072675
ACH-000302,-0.23988309665193325
ACH-000304,0.021664348887625102
ACH-000307,-0.16052136544816425
ACH-000308,-0.15182987198025422
ACH-000310,-0.24760945155880765
ACH-000311,-0.14463134418391135
ACH-000312,-0.1277951955904954
ACH-000315,-0.25222279448953383
ACH-000316,-0.13862457086854935
ACH-000317,-0.06746624602508319
ACH-000318,-0.20852590673524707
ACH-000319,-0.14709201882059647
ACH-000320,-0.21284678526232528
ACH-000322,-0.13469614338689714
ACH-000323,-0.29124594029559325
ACH-000324,-0.15265359694910638
ACH-000329,-0.06449742581840726
ACH-000330,-0.005408084532725014
ACH-000331,-0.17386411977828614
ACH-000332,-0.0829390214759437
ACH-000334,-0.14723869043362942
ACH-000335,-0.21254737264291096
ACH-000336,-0.3310718182296345
ACH-000337,-0.09127422773659156
ACH-000338,-0.4865020080852894
ACH-000339,-0.1629803989907566
ACH-000341,-0.18972244799332527
ACH-000348,-0.17126974136583542
ACH-000350,-0.2413475104952361
ACH-000352,-0.2774928662800848
ACH-000356,-0.033130714738310744
ACH-000361,-0.29725297588963284
ACH-000362,-0.1717056947608964
