,PIAS4 (51588)
ACH-000004,-0.2027298596211824
ACH-000005,-0.32609538345608824
ACH-000007,-0.014852722472232157
ACH-000009,-0.1857152215043942
ACH-000011,-0.7094798000134878
ACH-000012,-0.020287928003896213
ACH-000013,-0.20775898067483944
ACH-000014,-0.3972071189474049
ACH-000015,-0.28167636151676445
ACH-000017,-0.20251920086789849
ACH-000018,-0.15418181965507233
ACH-000019,-0.4373755902492204
ACH-000021,-0.2510004500769511
ACH-000022,-0.1581900924522803
ACH-000025,-0.2188036471594713
ACH-000028,-0.4673295550156278
ACH-000030,0.0028209131144888732
ACH-000035,-0.27819713390252304
ACH-000036,-0.2314822324928148
ACH-000037,-0.1409228232892371
ACH-000039,-0.3563783224782712
ACH-000040,-0.21424547470106375
ACH-000041,-0.3120957775529233
ACH-000042,-0.001427711095557483
ACH-000045,-0.26813115234973084
ACH-000047,-0.23817498785987806
ACH-000052,-0.27625301267647995
ACH-000053,-0.1892533648384173
ACH-000054,-0.0522843620324154
ACH-000055,-0.3350232808317277
ACH-000060,-0.06302752809357176
ACH-000067,-0.10849478656506636
ACH-000070,-0.15394887177606334
ACH-000075,-0.1214771834436768
ACH-000078,-0.12392278381394267
ACH-000082,-0.12062768893905396
ACH-000085,-0.2364151573726855
ACH-000086,-0.10218260615015838
ACH-000087,-0.5139113738394394
ACH-000092,-0.20782441432807167
ACH-000095,-0.12990057905665872
ACH-000097,-0.2215626287511077
ACH-000098,-0.3298637818386337
ACH-000099,-0.19560218981407348
ACH-000108,-0.09896248826374393
ACH-000113,-0.22008228806779345
ACH-000116,-0.0971559169606628
ACH-000118,-0.1121230372471045
ACH-000120,-0.3164850349632292
ACH-000123,-0.4395170261853026
ACH-000127,-0.1289249459525019
ACH-000128,-0.16140765939241425
ACH-000132,-0.15125722517204807
ACH-000133,-0.1484696939687314
ACH-000137,-0.10037625997017967
ACH-000138,-0.2633176130294713
ACH-000142,-0.10917584676233986
ACH-000143,0.2484914774165006
ACH-000146,-0.2975694156901412
ACH-000148,-0.3362400002686286
ACH-000150,-0.2945715377489044
ACH-000152,-0.07052392349948819
ACH-000153,-0.059904411778820686
ACH-000159,-0.24367774979720705
ACH-000160,-0.14167683203920792
ACH-000163,-0.0347479675903687
ACH-000167,-0.0174404537365882
ACH-000168,-0.06562503577278951
ACH-000169,-0.003145361035651691
ACH-000178,-0.14646423307312126
ACH-000183,-0.38840003693620456
ACH-000188,-0.20291690133832185
ACH-000189,-0.5420941109617218
ACH-000190,-0.1250736298084287
ACH-000198,-0.3033864313371576
ACH-000203,-0.22205964284447494
ACH-000204,-0.13601455484511474
ACH-000206,-0.2002215739121664
ACH-000207,-0.211995714647364
ACH-000208,-0.15390244204491804
ACH-000210,-0.31031996227959324
ACH-000211,-0.04123823036540263
ACH-000215,-0.14009864283355788
ACH-000221,-0.13258813195104086
ACH-000222,-0.07953750380917371
ACH-000223,-0.11160502316622634
ACH-000226,-0.6269898912025473
ACH-000227,-0.2472281865322521
ACH-000228,-0.06224726753799877
ACH-000231,-0.08205448777586702
ACH-000232,-0.0431345997179968
ACH-000233,-0.1840459124674628
ACH-000234,-0.2990826877768727
ACH-000235,-0.2067844370161244
ACH-000237,-0.1565100683920048
ACH-000238,-0.06470603473683774
ACH-000242,0.09975743667304553
ACH-000243,-0.18886350363548854
ACH-000244,-0.161089264444225
ACH-000246,-0.4388289890847238
ACH-000248,-0.311791308388405
ACH-000250,-0.1583568323367607
ACH-000251,-0.23936683867631384
ACH-000252,-0.09553684818065232
ACH-000253,-0.08489193061827373
ACH-000255,-0.22142267948961028
ACH-000256,-0.0654324889402498
ACH-000257,-0.14034541037131956
ACH-000258,-0.18014718898152135
ACH-000259,-0.18685349102384832
ACH-000260,-0.2365717904244617
ACH-000261,-0.17053618376563048
ACH-000262,-0.24312996837754444
ACH-000263,-0.15487610264708312
ACH-000264,-0.118408802942014
ACH-000265,-0.023011100008180227
ACH-000266,-0.308824166485372
ACH-000272,-0.16065690648931807
ACH-000274,-0.2464941590766663
ACH-000277,-0.26949219847755945
ACH-000278,-0.07930422660845032
ACH-000279,-0.20110221933495914
ACH-000280,-0.3892453990410453
ACH-000281,-0.33474327770995155
ACH-000288,-0.061299763649321236
ACH-000291,-0.17578152437054378
ACH-000293,-0.09669910784792668
ACH-000294,-0.3004175982223838
ACH-000295,-0.11396347423199595
ACH-000296,-0.2960147287405999
ACH-000302,-0.13917444184882372
ACH-000304,-0.2768271145300349
ACH-000307,-0.23251989090791875
ACH-000308,-0.2581139754052553
ACH-000310,-0.20587938529740596
ACH-000311,-0.11050831550045324
ACH-000312,-0.24079054637808506
ACH-000315,-0.053517864299640235
ACH-000316,-0.1612913387136955
ACH-000317,-0.5829810263320911
ACH-000318,-0.06784984210279625
ACH-000319,-0.2649842962911486
ACH-000320,0.0368902068216136
ACH-000322,0.010006579396962149
ACH-000323,-0.2443128737806101
ACH-000324,-0.28097486226467083
ACH-000329,-0.0794647494069686
ACH-000330,-0.2542126539836975
ACH-000331,-0.15984594623384696
ACH-000332,-0.3414454554554672
ACH-000334,-0.06627624215634978
ACH-000335,-0.0205285241345871
ACH-000336,-0.051828998582027004
ACH-000337,-0.2787207332885772
ACH-000338,-0.2079663990298868
ACH-000339,-0.13471236555502114
ACH-000341,-0.2288635795823551
ACH-000348,-0.19124092868151707
ACH-000350,-0.1698619442595612
ACH-000352,-0.33987578736396074
ACH-000356,-0.2287230220058015
ACH-000361,-0.15074696846575458
ACH-000362,-0.22324511680926132
ACH-000363,-0.20616067066570576
ACH-000364,-0.23157589197991255
ACH-000365,-0.0098817007909379
ACH-000366,-0.2311975443565114
ACH-000368,-0.14429286849496348
ACH-000374,-0.10146777372534964
ACH-000375,-0.17595377307085625
ACH-000376,-0.0017137445974052768
ACH-000381,-0.02800025783515956
ACH-000383,-0.08225726843124398
ACH-000387,-0.09876283568403052
ACH-000389,-0.273272462386277
ACH-000390,-0.155869343701679
ACH-000393,-0.1969172626920141
ACH-000395,0.046363814046046496
ACH-000396,-0.14765619062079136
ACH-000397,-0.038987975818926685
ACH-000401,-0.22954769441666795
ACH-000402,-0.10335005863671001
ACH-000403,-0.16005180092331506
ACH-000404,0.053226451866140966
ACH-000406,-0.22122625802806792
ACH-000407,-0.12264388863887815
ACH-000408,-0.010708246137572892
ACH-000410,-0.06578799295587705
ACH-000411,-0.1194227201108611
ACH-000414,-0.07587548966482842
ACH-000415,-0.1375855270010517
ACH-000416,-0.2888705867184089
ACH-000420,-0.09726482308039427
ACH-000421,-0.2787191379630428
ACH-000424,-0.2404281282449868
ACH-000425,-0.20503446844845996
ACH-000426,-0.08335851559167258
ACH-000427,-0.14594439562007416
ACH-000433,-0.3898634355180453
ACH-000435,-0.16511920296186952
ACH-000436,-0.1196422835275828
ACH-000444,-0.5406285892403132
ACH-000445,-0.07829501084339023
ACH-000448,-0.19295168493860912
ACH-000450,-0.1848886781948348
ACH-000452,-0.2084898069114511
ACH-000454,-0.2175384871158912
ACH-000458,-0.1013431726178538
ACH-000459,-0.3297387600234329
ACH-000460,-0.032483262489945555
ACH-000461,-0.1249601298563756
ACH-000463,-0.3282229783440728
ACH-000464,-0.1015818159196538
ACH-000466,-0.14290038659496648
ACH-000467,-0.07956042554875241
ACH-000468,-0.17521664005374865
ACH-000469,-0.1426749234360103
ACH-000470,0.1674508096697699
ACH-000471,-0.3476831546016343
ACH-000472,-0.20020409932524816
ACH-000473,-0.17834988166532784
ACH-000475,-0.14264795340958972
ACH-000476,-0.31273639022757005
ACH-000477,-0.07935350251175044
ACH-000479,0.06764506427804509
ACH-000480,-0.18216274645998626
ACH-000481,-0.08944634164760036
ACH-000483,-0.17017828638211102
ACH-000484,-0.0639195053632676
ACH-000485,-0.16828007394482866
ACH-000486,-0.31209593299325034
ACH-000487,-0.00952942871030744
ACH-000488,-0.06269788446164754
ACH-000490,-0.19829549391395024
ACH-000491,-0.20224690608670287
ACH-000495,-0.3919281420486993
ACH-000496,-0.12262252888878705
ACH-000499,-0.10800553312534987
ACH-000500,-0.06170161165747118
ACH-000502,-0.19635526097037384
ACH-000503,-0.2748951536491518
ACH-000505,-0.16489770259309466
ACH-000507,-0.0792776960159969
ACH-000510,-0.13792348119659045
ACH-000511,-0.17461631183547022
ACH-000512,-0.20575397133841872
ACH-000516,-0.14067630535005618
ACH-000517,-0.1079984139293138
ACH-000518,-0.09507179620137113
ACH-000520,-0.18077144360852296
ACH-000521,-0.08114484890500266
ACH-000522,-0.1513518500638948
ACH-000524,-0.11937912751421953
