,USHBP1 (83878)
ACH-000004,-0.1873534948476676
ACH-000005,-0.3198785357770096
ACH-000007,-0.2775162962734557
ACH-000009,-0.1945855470167804
ACH-000011,-0.08848018357569103
ACH-000012,-0.3266032311000516
ACH-000013,-0.22007610522533025
ACH-000014,-0.23293781247774936
ACH-000015,-0.30180065296585473
ACH-000017,-0.2694936247397878
ACH-000018,-0.2748051609123534
ACH-000019,-0.2453188439421058
ACH-000021,-0.28069224903117085
ACH-000022,-0.2700213022716052
ACH-000025,-0.18113266528940053
ACH-000028,0.008723342143028048
ACH-000030,-0.31807030062214336
ACH-000035,-0.2064404875499853
ACH-000036,-0.2957412996305006
ACH-000037,-0.056127005006804925
ACH-000039,-0.15407956451559734
ACH-000040,-0.1498349960016368
ACH-000041,-0.3000181347059678
ACH-000042,-0.2761459933054472
ACH-000045,-0.2629735307215697
ACH-000047,-0.09810951823447617
ACH-000052,-0.1794201763207477
ACH-000053,-0.2095377678727601
ACH-000054,-0.23658749809864146
ACH-000055,-0.33813251345615025
ACH-000060,-0.1534556576134411
ACH-000067,-0.09859751094288376
ACH-000070,-0.1967855496055147
ACH-000075,-0.3348258790288128
ACH-000078,-0.2583289436446462
ACH-000082,-0.2821953798970541
ACH-000085,-0.5534935969165286
ACH-000086,-0.23486247179208575
ACH-000087,-0.12339054585848155
ACH-000092,-0.2516168557652781
ACH-000095,-0.30169162303973807
ACH-000097,-0.1200523202691402
ACH-000098,-0.3138210904195395
ACH-000099,-0.27955984482452795
ACH-000108,-0.27332265877093737
ACH-000113,-0.18592660766052532
ACH-000116,-0.17260950275125464
ACH-000118,-0.2701165439603725
ACH-000120,-0.1997787627569584
ACH-000123,-0.17747610011159162
ACH-000127,-0.3015895630579521
ACH-000128,-0.2479642461093441
ACH-000132,-0.23311282356381885
ACH-000133,-0.1803582880229115
ACH-000137,-0.3355256004464916
ACH-000138,-0.2849067004245194
ACH-000142,-0.24628916476195825
ACH-000143,-0.15219151776807718
ACH-000146,-0.2695258805047805
ACH-000148,-0.3274013524908242
ACH-000150,-0.26460917996106986
ACH-000152,-0.12155729218804012
ACH-000153,-0.15333766306091776
ACH-000159,-0.1204066419427078
ACH-000160,-0.0568415221002399
ACH-000163,-0.3709005939675082
ACH-000167,-0.4281268118155032
ACH-000168,-0.19377385550758344
ACH-000169,-0.12165261861434246
ACH-000178,-0.12744688705700633
ACH-000183,-0.4141557541038643
ACH-000188,-0.392632600606525
ACH-000189,-0.12773312158420716
ACH-000190,-0.10352341357367642
ACH-000198,-0.3027766442493162
ACH-000203,0.23951090540489106
ACH-000204,-0.23946924313572415
ACH-000206,-0.2150426718187312
ACH-000207,-0.2978594230614637
ACH-000208,-0.33142317035352176
ACH-000210,-0.44559144472961854
ACH-000211,-0.2502241800587304
ACH-000215,-0.14770830775124832
ACH-000221,-0.2449040595142074
ACH-000222,-0.18347679736618205
ACH-000223,-0.2096098420327534
ACH-000226,-0.2026810546000897
ACH-000227,-0.3510120276727022
ACH-000228,-0.14391488345831324
ACH-000231,-0.026683855194449897
ACH-000232,-0.17210462475308774
ACH-000233,-0.3335919907177908
ACH-000234,-0.3041887634752775
ACH-000235,-0.19816529715020134
ACH-000237,-0.1957112482917462
ACH-000238,-0.04954599546522708
ACH-000242,0.15381874219671174
ACH-000243,-0.3310762818554915
ACH-000244,-0.13877342755964442
ACH-000246,-0.0921363671836618
ACH-000248,-0.3363928421735339
ACH-000250,-0.20387441360755928
ACH-000251,-0.3898152369200505
ACH-000252,-0.2844470017127512
ACH-000253,-0.2891088510347591
ACH-000255,-0.25691695467804115
ACH-000256,-0.2564709822115599
ACH-000257,-0.3588115380186692
ACH-000258,-0.11386833714237166
ACH-000259,-0.14714734303361054
ACH-000260,-0.18074705313343253
ACH-000261,-0.1772707048776835
ACH-000262,-0.3233742636103281
ACH-000263,0.060433588331547626
ACH-000264,-0.23823406508257225
ACH-000265,-0.1409718434634258
ACH-000266,-0.2022251444272533
ACH-000272,-0.18080743296797094
ACH-000274,-0.12708586963082796
ACH-000277,-0.1370710179071104
ACH-000278,-0.08666580189670074
ACH-000279,-0.2840015544072224
ACH-000280,-0.06737969377161028
ACH-000281,-0.33844093053934426
ACH-000288,-0.15079854855174205
ACH-000291,-0.15691947255856822
