,TBKBP1 (9755)
ACH-000004,-0.15482587073659426
ACH-000005,0.01251062567472471
ACH-000007,-0.3693000262698512
ACH-000009,-0.50844591588644
ACH-000011,-0.2286962520283257
ACH-000012,-0.2675886091417136
ACH-000013,-0.1774394393884696
ACH-000014,-0.25789129769377594
ACH-000015,-0.1548488162119316
ACH-000017,-0.3778940955141814
ACH-000018,-0.30227246246044376
ACH-000019,-0.4498480460523056
ACH-000021,-0.3374126059916558
ACH-000022,-0.5458867429438012
ACH-000025,-0.1449717340608652
ACH-000028,-0.2900834203185225
ACH-000030,-0.2282578617164787
ACH-000035,-0.20730954451154185
ACH-000036,-0.3779593005534499
ACH-000037,0.03312320794225993
ACH-000039,-0.24949528476242486
ACH-000040,-0.2901720062864065
ACH-000041,-0.3192609179660822
ACH-000042,-0.2911458649125533
ACH-000045,-0.2730905589668263
ACH-000047,-0.3263113402947303
ACH-000052,-0.21442411701053388
ACH-000053,-0.27348452775622506
ACH-000054,-0.33342274788529624
ACH-000055,-0.2425054548452751
ACH-000060,-0.3100907117358941
ACH-000067,-0.22086617174691206
ACH-000070,-0.2338545683963953
ACH-000075,-0.27988615039689896
ACH-000078,-0.39631759905508657
ACH-000082,-0.1756908012213042
ACH-000085,-0.3843300970847813
ACH-000086,-0.16829828182026554
ACH-000087,-0.25238278683286064
ACH-000092,-0.3871215846651949
ACH-000095,-0.1953454201548244
ACH-000097,-0.2650941147974472
ACH-000098,-0.2889355160183584
ACH-000099,-0.2738882209241538
ACH-000108,-0.24415942615244016
ACH-000113,-0.2405725867016711
ACH-000116,-0.18846015983842374
ACH-000118,-0.2255884337893379
ACH-000120,-0.5126925394157551
ACH-000123,-0.2632707132039727
ACH-000127,-0.14285298610499925
ACH-000128,-0.2484452306428242
ACH-000132,-0.2885316538193057
ACH-000133,-0.08297152341853775
ACH-000137,-0.34900062652472624
ACH-000138,-0.3419052944517287
ACH-000142,-0.4713704668797144
ACH-000143,-0.20409649446725608
ACH-000146,-0.15563223387118827
ACH-000148,-0.2836428984201761
ACH-000150,-0.3919573857170384
ACH-000152,-0.2859287626048342
ACH-000153,-0.2524855675108553
ACH-000159,-0.3355413691263126
ACH-000160,-0.26518533678025863
ACH-000163,-0.19357571808364302
ACH-000167,-0.2617447503616092
ACH-000168,-0.10298997574431756
ACH-000169,-0.1751900451396764
ACH-000178,-0.19009556815664447
ACH-000183,-0.1529978517465031
ACH-000188,-0.2663417005482251
ACH-000189,-0.2859083078940145
ACH-000190,-0.17816004964882165
ACH-000198,-0.06904383035440619
ACH-000203,-0.2886066766735497
ACH-000204,-0.2345813360834613
ACH-000206,-0.18418026340189209
ACH-000207,-0.2674721873859981
ACH-000208,-0.1246760264798176
ACH-000210,-0.4230843974740461
ACH-000211,-0.3131233905512944
ACH-000215,-0.21002786689420294
ACH-000221,-0.2008163807881862
ACH-000222,-0.25386965602809153
ACH-000223,-0.1625808929545476
ACH-000226,-0.2062616144671317
ACH-000227,-0.3246446375266594
ACH-000228,-0.2269320611072103
ACH-000231,-0.2648301879317277
ACH-000232,-0.13166964955342522
ACH-000233,-0.25130968622573663
ACH-000234,-0.2388155362395465
ACH-000235,-0.3214364296642532
ACH-000237,-0.2337118930640109
ACH-000238,-0.3543617976233828
ACH-000242,-0.1272996010170526
ACH-000243,-0.3007354935913344
ACH-000244,-0.2564160442355303
ACH-000246,-0.2273741429501181
ACH-000248,-0.2367663740296311
ACH-000250,-0.2676328834000446
ACH-000251,-0.2789549982766381
ACH-000252,-0.2300710683676225
ACH-000253,-0.2535381127003979
ACH-000255,-0.38708503615584666
ACH-000256,-0.2561382483352302
ACH-000257,-0.2316489780935882
ACH-000258,-0.3619836453996945
ACH-000259,-0.29841907905712395
ACH-000260,-0.2498434250208241
ACH-000261,-0.13630240037795985
ACH-000262,-0.09217445692634432
ACH-000263,-0.3083863900657218
ACH-000264,-0.21002229618177215
ACH-000265,-0.1580527722298793
ACH-000266,-0.17177737167188886
ACH-000272,-0.3313623953776366
ACH-000274,-0.27634891714441684
ACH-000277,-0.0855864877710206
ACH-000278,-0.2387613914853848
ACH-000279,-0.17863171920975268
ACH-000280,-0.31566464788419296
ACH-000281,-0.08363945053060877
ACH-000288,-0.332176719568794
ACH-000291,-0.14019720965956242
ACH-000293,-0.3934613963493273
ACH-000294,-0.3491827912630218
ACH-000295,-0.3999039789705221
ACH-000296,-0.19383169292742133
ACH-000302,-0.2448961720336768
ACH-000304,-0.2720121342534712
ACH-000307,-0.20816253754884945
ACH-000308,-0.2518534152495647
ACH-000310,-0.3509106515948842
ACH-000311,-0.16890520236473652
ACH-000312,-0.2525843787902883
ACH-000315,-0.1890119836959284
ACH-000316,-0.3393043985903701
ACH-000317,-0.2943531820052124
ACH-000318,-0.3029651755253644
ACH-000319,-0.44408768109421226
ACH-000320,-0.10956289399712582
ACH-000322,-0.3360126913419023
ACH-000323,-0.14883367690061705
ACH-000324,-0.2550747438035109
ACH-000329,-0.253288893283603
ACH-000330,-0.27610196184445845
ACH-000331,-0.12344924766068427
ACH-000332,-0.2523854618649499
ACH-000334,-0.2796190119008068
