,TRA2B (6434)
ACH-000004,-0.8874873775923164
ACH-000005,-0.4822434558659584
ACH-000007,-0.3095792938970347
ACH-000009,-0.7891423246331736
ACH-000011,-0.8590404129779117
ACH-000012,-0.21771960735346046
ACH-000013,-0.6062130810661354
ACH-000014,-0.7276677257272036
ACH-000015,-0.788749007345652
ACH-000017,-0.4296956843210655
ACH-000018,-0.6023476954239136
ACH-000019,-0.662385494722853
ACH-000021,-0.22025556396456586
ACH-000022,-0.34963454654137777
ACH-000025,-0.6435216937587621
ACH-000028,-0.7758990184748048
ACH-000030,-0.2869846885625669
ACH-000035,-0.29080252581153365
ACH-000036,-0.43664401438490413
ACH-000037,-0.4825847915034414
ACH-000039,-0.3961366467985048
ACH-000040,-0.40931685990988737
ACH-000041,-0.9363282629413271
ACH-000042,-0.3575915075684681
ACH-000045,-0.5861301990404921
ACH-000047,-0.4523624599432908
ACH-000052,-0.7367682504559021
ACH-000053,-0.6834387893592907
ACH-000054,-0.5765058299691517
ACH-000055,-0.6542205118549758
ACH-000060,-0.510079330120632
ACH-000067,-0.6256810592693618
ACH-000070,-0.7136299414871259
ACH-000075,-0.4218893853517761
ACH-000078,-0.4845645907324974
ACH-000082,-0.3027327163701467
ACH-000085,-0.5434070725390893
ACH-000086,-0.5549365736442677
ACH-000087,-0.7060093787302018
ACH-000092,-0.7736322056912333
ACH-000095,-0.6919274017626321
ACH-000097,-0.4013702303130405
ACH-000098,-0.6486068696742138
ACH-000099,-0.6175665548243161
ACH-000108,-0.3964413009064837
ACH-000113,-0.482856038110376
ACH-000116,-0.4522809101387232
ACH-000118,-0.3081526191460832
ACH-000120,-0.7255133579066886
ACH-000123,-0.6650743225747761
ACH-000127,-0.5720493590999937
ACH-000128,-1.0322992814856549
ACH-000132,-0.6849386225708933
ACH-000133,-0.3790599652351837
ACH-000137,-0.4040591784118017
ACH-000138,-0.6988269173417588
ACH-000142,-0.2839803474098645
ACH-000143,-0.26394833924763
ACH-000146,-0.9570304721718996
ACH-000148,-0.4258105559892335
ACH-000150,-0.5089900945324681
ACH-000152,-0.6129148701615639
ACH-000153,-1.0014616790699926
ACH-000159,-0.501178113387255
ACH-000160,-0.4715288428381214
ACH-000163,-0.3855988484683597
ACH-000167,-0.3824517058827645
ACH-000168,-0.6007989599490012
ACH-000169,-0.6076968680188733
ACH-000178,-0.6367415654258829
ACH-000183,-0.4521323893059375
ACH-000188,-0.33363293436024266
ACH-000189,-0.7627313954015326
ACH-000190,-0.6890687571862587
ACH-000198,-0.6108129386562982
ACH-000203,-0.6621852414688266
ACH-000204,-0.2357516398031797
ACH-000206,-0.7659940818341948
ACH-000207,-0.5352577849090471
ACH-000208,-0.6679607521842389
ACH-000210,-0.6586323948183825
