,N4BP2L1 (90634)
ACH-000004,0.0964207616636222
ACH-000005,0.011594671068731865
ACH-000007,-0.02015763317375399
ACH-000009,0.09857314276534312
ACH-000011,0.0010459932962474674
ACH-000012,-0.18889991428477185
ACH-000013,-0.13396820475425122
ACH-000014,-0.03793063450567199
ACH-000015,-0.06930198697669285
ACH-000017,0.023956790704408586
ACH-000018,-0.044383283505077885
ACH-000019,0.017881389137710892
ACH-000021,-0.09532571077447767
ACH-000022,0.012202880001721069
ACH-000025,-0.04135593092551736
ACH-000028,-0.028723370172957962
ACH-000030,-0.015063087286324831
ACH-000035,0.01630362860895083
ACH-000036,-0.0888400734597546
ACH-000037,-0.22658281551905096
ACH-000039,-0.005687592552327505
ACH-000040,-0.12465329784994265
ACH-000041,0.02037355659676824
ACH-000042,-0.09945178179227612
ACH-000045,0.009445551959890892
ACH-000047,-0.023236024538279828
ACH-000052,-0.05843017537928141
ACH-000053,-0.0271373350793238
ACH-000054,-0.13012092301302186
ACH-000055,-0.040218409790366984
ACH-000060,-0.1985840770652355
ACH-000067,-0.31138849672785224
ACH-000070,0.041685636607570416
ACH-000075,0.016398668290566902
ACH-000078,-0.20525138236041
ACH-000082,-0.11943599528483335
ACH-000085,-0.2090632425595407
ACH-000086,-0.08385876842057402
ACH-000087,0.07863642538022818
ACH-000092,-0.14529617357086144
ACH-000095,-0.20394915471712996
ACH-000097,-0.1287538243396862
ACH-000098,-0.09056249805640286
ACH-000099,-0.13186662822972656
ACH-000108,-0.1891870264861629
ACH-000113,0.050266239068297136
ACH-000116,-0.06493331717334258
ACH-000118,-0.040654405801693466
ACH-000120,-0.05662084179320207
ACH-000123,-0.07484776839158411
ACH-000127,-0.0786994440140935
ACH-000128,-0.08180416439180285
ACH-000132,-0.31634575799990866
ACH-000133,-0.012598903991294132
ACH-000137,-0.12450029534663755
ACH-000138,-0.06788808805295317
ACH-000142,-0.127902333084531
ACH-000143,0.14550995136538944
ACH-000146,-0.013249903750081962
ACH-000148,-0.018695655094492773
ACH-000150,-0.10277977888656503
ACH-000152,-0.02668804969561176
ACH-000153,0.06692011573588
ACH-000159,-0.1476444396822092
ACH-000160,-0.04223015544977843
ACH-000163,-0.17169524829176602
ACH-000167,-0.11537585921408915
ACH-000168,0.078264856849748
ACH-000169,0.00631352188248591
ACH-000178,-0.029116100901022374
ACH-000183,0.18512150544291955
ACH-000188,-0.18816698077269467
ACH-000189,0.11873516324747482
ACH-000190,0.2680190078973538
ACH-000198,-0.02550106753542293
ACH-000203,-0.14898193436127435
ACH-000204,-0.14312722709083744
ACH-000206,-0.032660973358587315
ACH-000207,-0.12608917807118766
ACH-000208,-0.3050582742018918
ACH-000210,-0.0954239661930683
ACH-000211,-0.07676409155488992
ACH-000215,-0.0507748014788633
ACH-000221,0.07960003167799734
ACH-000222,-0.07222112885072475
ACH-000223,-0.14406549230210847
ACH-000226,-0.11376830277672652
ACH-000227,0.09677681115266347
ACH-000228,-0.2645025934175113
ACH-000231,-0.01773469993595128
ACH-000232,-0.15583867044213048
ACH-000233,0.05258995441008915
ACH-000234,-0.08367079336440479
ACH-000235,-0.04076307450463371
ACH-000237,-0.06467799506245622
ACH-000238,-0.014724538973657659
ACH-000242,0.08273389840666004
ACH-000243,-0.0576181589657035
ACH-000244,0.02559634794215696
ACH-000246,-0.16463189375138487
ACH-000248,-0.0427569759447792
ACH-000250,-0.023124630710893983
ACH-000251,-0.1433050918635148
ACH-000252,-0.07860065407044911
ACH-000253,0.0055243009306920115
ACH-000255,-0.0453491824328465
ACH-000256,-0.04500090791623924
ACH-000257,0.21143639783891804
ACH-000258,-0.18293805082173198
ACH-000259,-0.22111569633058573
ACH-000260,-0.20006968992747945
ACH-000261,-0.1048663784597914
ACH-000262,-0.2286342809761149
ACH-000263,-0.037081445770062255
ACH-000264,-0.07215005764200468
ACH-000265,-0.22822464804368894
ACH-000266,-0.12040164445168818
ACH-000272,-0.13081217873312856
ACH-000274,-0.05366091063858085
ACH-000277,-0.017079623724188173
ACH-000278,-0.12844462299473816
ACH-000279,0.012857886355021091
ACH-000280,0.04202815215989253
ACH-000281,-0.001933565534566395
ACH-000288,-0.07952848019580802
ACH-000291,-0.011524254050628036
ACH-000293,-0.17048937236149989
ACH-000294,0.04422611169839137
ACH-000295,-0.12683648044368004
ACH-000296,0.02026646639416685
ACH-000302,-0.017366368521521076
ACH-000304,0.12329239008663012
ACH-000307,-0.1026735428585829
ACH-000308,0.007195875549524312
ACH-000310,0.024986700327915584
ACH-000311,-0.138858983369428
ACH-000312,0.06911894962179886
ACH-000315,-0.019011911615382054
ACH-000316,0.07207863711219496
ACH-000317,-0.032150686533488355
ACH-000318,-0.23137088902042924
ACH-000319,-0.08865285588305531
ACH-000320,0.04173907486447629
ACH-000322,-0.22313230716427185
ACH-000323,-0.1848374926491736
ACH-000324,-0.06028019201836431
