,GOLGA8R (101059918)
ACH-000004,-0.4108189895625008
ACH-000005,-0.14849237458612413
ACH-000007,-0.5542519846855143
ACH-000009,-0.4099871844048525
ACH-000011,-0.15881295870202974
ACH-000012,-0.14099131745167154
ACH-000013,-0.15789718703572544
ACH-000014,-0.35005713941140265
ACH-000015,-0.24965169388546396
ACH-000017,-0.35256430262035504
ACH-000018,-0.2972977429332461
ACH-000019,-0.3970490907211471
ACH-000021,-0.27260825426530555
ACH-000022,-0.3404705916191845
ACH-000025,-0.4619286807010324
ACH-000028,-0.2223747545628711
ACH-000030,-0.29841788603828145
ACH-000035,-0.21200314503861895
ACH-000036,-0.264630986096012
ACH-000037,-0.3778981730219764
ACH-000039,-0.20089478952809195
ACH-000040,-0.2884291981211469
ACH-000041,-0.2318088216739472
ACH-000042,-0.2347908624619899
ACH-000045,-0.094185186845699
ACH-000047,-0.5045864411391612
ACH-000052,-0.3867882424240193
ACH-000053,-0.3103942071099124
ACH-000054,-0.4632732876180916
ACH-000055,-0.2285811540854865
ACH-000060,-0.18573869866629708
ACH-000067,-0.2923568933422057
ACH-000070,-0.19969828981747095
ACH-000075,-0.3539068354472799
ACH-000078,-0.2289985952491899
ACH-000082,-0.307978731946512
ACH-000085,-0.2231860679888756
ACH-000086,-0.28703442205576185
ACH-000087,-0.31891909897326537
ACH-000092,-0.484646374222323
ACH-000095,-0.3848024573164544
ACH-000097,-0.4121471200084144
ACH-000098,-0.4264122012100297
ACH-000099,-0.3157766478044737
ACH-000108,-0.2857616741169213
ACH-000113,-0.3360283104482066
ACH-000116,-0.3997907985327774
ACH-000118,-0.1606458093592448
ACH-000120,-0.2281792602099739
ACH-000123,-0.3531513524316618
ACH-000127,-0.2836353672498059
ACH-000128,-0.3546921573709749
ACH-000132,-0.46037912429544897
ACH-000133,-0.2361981843586117
ACH-000137,-0.4523313571271197
ACH-000138,-0.4339257827683685
ACH-000142,-0.3720300883200547
ACH-000143,-0.3447980638375007
ACH-000146,-0.21085147743817934
ACH-000148,-0.3687185366115349
ACH-000150,-0.2975380394221556
ACH-000152,-0.41048896332800416
ACH-000153,-0.3816677879202941
ACH-000159,-0.18373588395192286
ACH-000160,-0.32121100855155904
ACH-000163,-0.17782415097636156
ACH-000167,-0.6741438957873044
ACH-000168,-0.2052828746102682
ACH-000169,-0.33798958315586386
ACH-000178,-0.3296629835309409
ACH-000183,-0.2773982022754359
ACH-000188,-0.3356571696328216
ACH-000189,-0.07915107719736894
ACH-000190,-0.19805495323486544
ACH-000198,-0.0647639114130319
ACH-000203,-0.35247042093741
ACH-000204,-0.4923125965618933
ACH-000206,-0.12346547258654128
ACH-000207,-0.1382183611880946
ACH-000208,-0.32227500850788426
ACH-000210,-0.4515142851086009
ACH-000211,-0.30852197245754376
ACH-000215,-0.3958912487390078
ACH-000221,-0.19556505079761136
ACH-000222,-0.3268868281753323
ACH-000223,-0.2339889153086839
ACH-000226,-0.26647444769531153
ACH-000227,-0.32146381778609473
ACH-000228,-0.1399485997899267
ACH-000231,-0.3227957527580421
ACH-000232,-0.3437082116075829
ACH-000233,-0.42535403851769227
ACH-000234,-0.185528933692629
ACH-000235,-0.38421455420770734
ACH-000237,-0.3303054228695334
ACH-000238,-0.2153512554595235
ACH-000242,-0.3378622200377765
ACH-000243,-0.34384900735086205
ACH-000244,-0.280105545324649
ACH-000246,-0.1575901828654629
ACH-000248,-0.3177666283194913
ACH-000250,-0.2727406226373568
ACH-000251,-0.2375691138879696
ACH-000252,-0.24275501459642415
ACH-000253,-0.2472970506581133
ACH-000255,-0.2391826574936691
ACH-000256,-0.4079705080491482
ACH-000257,-0.4567233469734705
ACH-000258,-0.6032488504909653
ACH-000259,-0.2884937695247065
ACH-000260,-0.3142811984972374
ACH-000261,-0.2602299972229622
ACH-000262,-0.20033230226029505
ACH-000263,-0.06980653422618201
ACH-000264,-0.10773015178193383
ACH-000265,-0.22772445488835594
ACH-000266,-0.3568067867595782
ACH-000272,-0.5009833905050447
ACH-000274,-0.3564205044685815
ACH-000277,-0.15624778197392747
ACH-000278,-0.0992917875904547
ACH-000279,-0.3691225064011362
ACH-000280,-0.2897697994077549
ACH-000281,-0.11146508813852987
ACH-000288,-0.32239303752630466
ACH-000291,-0.3420833706468745
ACH-000293,-0.4011203449040269
ACH-000294,-0.41846668816133215
ACH-000295,-0.3605453521070386
ACH-000296,-0.2441287521235333
ACH-000302,-0.3327319695136811
ACH-000304,-0.309315761383403
ACH-000307,-0.1951344922630701
ACH-000308,-0.3313086728669579
ACH-000310,-0.4238927967115589
ACH-000311,-0.320056777964513
ACH-000312,-0.3124231545248493
ACH-000315,-0.34129139212224463
ACH-000316,-0.24371840574106
ACH-000317,-0.2263753931662381
ACH-000318,-0.2392347249473302
ACH-000319,-0.3916558183056495
ACH-000320,-0.4313920190004073
ACH-000322,-0.2105579308038796
ACH-000323,-0.184176750489049
ACH-000324,-0.4089238121359884
ACH-000329,-0.25584922542219346
ACH-000330,-0.13585499323385775
ACH-000331,-0.3543228046015693
ACH-000332,-0.31247785515450177
ACH-000334,-0.32381227712988564
ACH-000335,-0.3974297252030553
ACH-000336,-0.3301367568042448
ACH-000337,-0.2793811298502665
ACH-000338,-0.12903406247977267
ACH-000339,-0.210451402581234
ACH-000341,-0.3810824126764149
ACH-000348,-0.30074218956378995
ACH-000350,-0.3239632011609983
ACH-000352,-0.17430152074413507
ACH-000356,-0.2274884538097177
ACH-000361,-0.30238291588051924
ACH-000362,-0.16685435905190102
ACH-000363,-0.3695894408918021
ACH-000364,-0.3817004730297196
ACH-000365,-0.3090047334864721
ACH-000366,-0.4167144412561994
ACH-000368,-0.4303622730272593
ACH-000374,-0.3436602360822367
ACH-000375,-0.20044487326618496
ACH-000376,-0.5499325995962142
ACH-000381,-0.16873112485921946
ACH-000383,-0.4486476569838676
ACH-000387,-0.2702608392752193
ACH-000389,-0.3297511548332055
ACH-000390,-0.4561935008735853
ACH-000393,-0.28066665941342195
ACH-000395,-0.2499415791317433
ACH-000396,-0.452015161979449
ACH-000397,-0.2971099089943948
ACH-000401,-0.26939675688618386
ACH-000402,-0.15595065212126674
ACH-000403,-0.5954736301374318
ACH-000404,-0.3252220346367121
ACH-000406,-0.17894312752489466
ACH-000407,-0.489040632698516
ACH-000408,-0.11724861645355746
ACH-000410,-0.3439757844610989
ACH-000411,-0.325856361334988
ACH-000414,-0.3691628414484479
ACH-000415,-0.2882304950160577
ACH-000416,-0.3209801579514888
ACH-000420,0.005341313314437843
ACH-000421,-0.36205757981433295
ACH-000424,-0.2990448041057491
ACH-000425,-0.4143569922827725
ACH-000426,-0.4945528175429133
ACH-000427,-0.4850584975098751
ACH-000433,-0.22379659770533397
ACH-000435,-0.4669247594414777
ACH-000436,-0.40042783351861655
ACH-000444,-0.1414937555949567
