,CINP (51550)
ACH-000004,-1.081606732879241
ACH-000005,-1.2073554976440797
ACH-000007,-0.8082634039177132
ACH-000009,-0.9369500373581569
ACH-000011,-1.0294215946822691
ACH-000012,-0.9369929129388814
ACH-000013,-0.8364267628327176
ACH-000014,-1.054337386472213
ACH-000015,-0.8391099039477746
ACH-000017,-0.780190936462509
ACH-000018,-0.9018324933824856
ACH-000019,-0.5697070240787078
ACH-000021,-0.9158286868392032
ACH-000022,-0.7583641309754968
ACH-000025,-0.8795116970615146
ACH-000028,-0.7089860295642685
ACH-000030,-0.6874244793050274
ACH-000035,-0.6890504706848455
ACH-000036,-0.8267072032388983
ACH-000037,-1.0238355924743991
ACH-000039,-0.7529097106957423
ACH-000040,-0.7908198628884753
ACH-000041,-0.8848264111722723
ACH-000042,-0.8665907286014288
ACH-000045,-0.7761559298584231
ACH-000047,-0.7655927035933894
ACH-000052,-0.8080647454043078
ACH-000053,-0.9465793817302102
ACH-000054,-0.7033672947810794
ACH-000055,-0.7933146089796275
ACH-000060,-1.091126462139494
ACH-000067,-0.7517082427277397
ACH-000070,-0.8084714397550146
ACH-000075,-0.5313979186483075
ACH-000078,-0.8616194524020633
ACH-000082,-0.5053065935965052
ACH-000085,-1.070432674852002
ACH-000086,-0.9612782069598867
ACH-000087,-1.058536101588563
ACH-000092,-0.7786316986616633
ACH-000095,-0.6229150775382164
ACH-000097,-0.817635215080103
ACH-000098,-1.0402675012467144
ACH-000099,-0.8680699880467887
ACH-000108,-0.9292745428033724
ACH-000113,-0.7689122512603462
ACH-000116,-1.0363735721230904
ACH-000118,-0.7614348220648824
ACH-000120,-0.992139698530744
ACH-000123,-0.7659514026461086
ACH-000127,-0.7211483592327929
ACH-000128,-0.8235817617130428
ACH-000132,-0.7633401420957673
ACH-000133,-0.777346799247085
ACH-000137,-0.8749248016696285
ACH-000138,-0.818003794414091
ACH-000142,-0.9175861092502184
ACH-000143,-1.1133029710377995
ACH-000146,-0.8027403597654651
ACH-000148,-1.0210544459893007
ACH-000150,-1.0924626415819492
ACH-000152,-0.6109853629668821
ACH-000153,-0.7203003581813742
ACH-000159,-0.7829149639295874
ACH-000160,-0.855201124514082
ACH-000163,-0.8604955353031545
ACH-000167,-0.6593350986016181
ACH-000168,-0.8186466971827638
ACH-000169,-0.8715610644561156
ACH-000178,-0.8831167586462009
ACH-000183,-1.1436959772631796
ACH-000188,-0.8653922176926947
ACH-000189,-1.1399981323060828
ACH-000190,-0.9841486555049964
ACH-000198,-0.7684112793757113
ACH-000203,-0.5054307306679136
ACH-000204,-0.6610708483088547
ACH-000206,-0.9556500432666134
ACH-000207,-0.8759366963203915
ACH-000208,-1.0495317787523182
ACH-000210,-0.765262159111899
ACH-000211,-0.7848459987555605
ACH-000215,-0.9176441714654879
ACH-000221,-0.5245497748197759
ACH-000222,-0.9643339153530002
ACH-000223,-0.5527088235982268
ACH-000226,-0.8609245905278646
ACH-000227,-0.668179566888889
ACH-000228,-0.6795270716198111
ACH-000231,-0.5750532712405383
ACH-000232,-0.7680317762657961
ACH-000233,-0.9556754850685796
ACH-000234,-0.929799629686293
ACH-000235,-0.8007242446469209
ACH-000237,-0.6485339879517703
ACH-000238,-0.8213468704855368
ACH-000242,-1.0054134508584192
ACH-000243,-1.050186514686823
ACH-000244,-0.8666309756033148
ACH-000246,-0.8376312155224435
ACH-000248,-0.8333876768324484
ACH-000250,-0.9146509255027052
ACH-000251,-0.6691239796600031
ACH-000252,-0.9699976220556236
ACH-000253,-0.87759720849579
ACH-000255,-0.8168349834752324
ACH-000256,-0.7089314118632241
ACH-000257,-0.8448093030094257
ACH-000258,-0.6587224265446001
ACH-000259,-1.1305136002449814
ACH-000260,-0.9639897141785796
ACH-000261,-0.8284050040017474
ACH-000262,-1.0274566706129131
ACH-000263,-0.8776922726879677
ACH-000264,-0.7546233581476577
ACH-000265,-0.8326740055606661
ACH-000266,-0.6908263809623278
ACH-000272,-1.1761514639372157
ACH-000274,-0.6949969167570746
ACH-000277,-0.7054463144352772
ACH-000278,-0.6890159404340461
ACH-000279,-0.9212211933227462
ACH-000280,-0.645356749825889
ACH-000281,-1.0288568915318463
ACH-000288,-1.067542156336058
ACH-000291,-0.8941640615515433
ACH-000293,-0.6721381460795881
ACH-000294,-1.2093978138492252
ACH-000295,-0.6613180398322223
ACH-000296,-0.7935041250947062
ACH-000302,-0.6733228607684046
ACH-000304,-0.9677381470131532
ACH-000307,-0.9888908426267108
ACH-000308,-0.8118075585282547
ACH-000310,-0.7171871850919789
ACH-000311,-0.9996927404822749
ACH-000312,-0.9155515287029112
ACH-000315,-0.954120997170654
ACH-000316,-0.7514059297203632
ACH-000317,-1.4914571770259115
ACH-000318,-0.8868156828667972
ACH-000319,-0.9933777853644624
ACH-000320,-0.7944600357055677
ACH-000322,-0.8991237473452831
ACH-000323,-0.5114063772620213
ACH-000324,-0.9227156504197392
ACH-000329,-0.6888237319952374
ACH-000330,-0.7288472347239656
ACH-000331,-0.9944531221153922
ACH-000332,-0.9106538266923302
ACH-000334,-0.8499902860400019
ACH-000335,-0.9726435467656264
ACH-000336,-0.9954762758262182
ACH-000337,-0.865616224756291
ACH-000338,-0.9239928112084445
ACH-000339,-0.4557904245326958
ACH-000341,-0.9330377870034766
ACH-000348,-0.5948040734045525
ACH-000350,-0.7752868188661595
ACH-000352,-0.4912461513763226
ACH-000356,-0.6119662301322978
ACH-000361,-0.8963729784051436
ACH-000362,-0.8351463596668476
ACH-000363,-0.7876396997839528
ACH-000364,-1.2042436074854377
ACH-000365,-0.7845774310927865
ACH-000366,-1.0081579505538172
ACH-000368,-0.7185853278857757
ACH-000374,-0.8458776593729056
ACH-000375,-1.030013821705619
ACH-000376,-0.8791638947671413
ACH-000381,-0.7900544375930842
ACH-000383,-0.8295900434157506
ACH-000387,-0.934784283777492
ACH-000389,-1.1717661451790629
ACH-000390,-0.7609066987024126
ACH-000393,-0.8085376421868391
ACH-000395,-0.7936214772316652
ACH-000396,-0.6635988345887458
ACH-000397,-0.7786846864210807
ACH-000401,-1.1892365088861467
ACH-000402,-0.768895138428445
ACH-000403,-0.8172741050102375
ACH-000404,-1.2136209701348784
ACH-000406,-1.0705373441681103
ACH-000407,-1.0703603493393752
ACH-000408,-1.0469108580110231
