,BRIX1 (55299)
ACH-000004,-1.0065903682429291
ACH-000005,-0.7368680229961161
ACH-000007,-0.8663447311989398
ACH-000009,-0.8456173348448109
ACH-000011,-0.9169506144899394
ACH-000012,-1.0613903463473344
ACH-000013,-0.8907450596613328
ACH-000014,-0.8055528590065074
ACH-000015,-0.7624759469901574
ACH-000017,-0.8697326520787643
ACH-000018,-0.8804785328756342
ACH-000019,-0.9618266169778084
ACH-000021,-0.9009540663575168
ACH-000022,-0.9196836649849172
ACH-000025,-1.1818654244137217
ACH-000028,-1.074136631265229
ACH-000030,-0.6941151819404582
ACH-000035,-0.9943076064919109
ACH-000036,-0.8115680022440844
ACH-000037,-1.1685205050830292
ACH-000039,-0.76772720516651
ACH-000040,-1.15016258358799
ACH-000041,-0.962574076423512
ACH-000042,-1.1292011400793072
ACH-000045,-0.8779847654367333
ACH-000047,-1.1092066111926395
ACH-000052,-0.9964910702263626
ACH-000053,-0.9977010357876888
ACH-000054,-0.9411642126246867
ACH-000055,-0.9909635211714805
ACH-000060,-0.8939430903657097
ACH-000067,-0.9487157037425524
ACH-000070,-0.8228130063573339
ACH-000075,-1.0718304714803697
ACH-000078,-1.02291361001275
ACH-000082,-1.082463581675448
ACH-000085,-0.6565377583088702
ACH-000086,-0.8906702246524949
ACH-000087,-1.0162276106817945
ACH-000092,-0.9504688444523428
ACH-000095,-0.9965082530117452
ACH-000097,-0.9185264224836122
ACH-000098,-0.7570180095115588
ACH-000099,-0.7945587598109115
ACH-000108,-0.9917532623127414
ACH-000113,-0.921590338938264
ACH-000116,-0.8870545077479958
ACH-000118,-0.9409566643926686
ACH-000120,-1.1520705458125395
ACH-000123,-0.8168092588533391
ACH-000127,-0.8723274500887541
ACH-000128,-0.7651123966809139
ACH-000132,-0.9915731838276624
ACH-000133,-0.8698664612688197
ACH-000137,-0.9860139167073412
ACH-000138,-1.0089282698982824
ACH-000142,-0.9232613888259108
ACH-000143,-0.9310403860900895
ACH-000146,-0.8383060021531842
ACH-000148,-0.96242332161276
ACH-000150,-0.7130469246173292
ACH-000152,-0.953520022571738
ACH-000153,-1.2923225327387022
ACH-000159,-0.956392468949698
ACH-000160,-1.137826108354928
ACH-000163,-1.0707934259769465
ACH-000167,-1.2787839793441569
ACH-000168,-0.8105774496195581
ACH-000169,-0.9342937722599112
ACH-000178,-0.6618196840191924
ACH-000183,-0.9336275305931244
ACH-000188,-0.9333330872077344
ACH-000189,-1.0656425467521815
ACH-000190,-0.9074367894872176
ACH-000198,-0.9701113332804554
ACH-000203,-0.7406034452440018
ACH-000204,-1.1000333240329176
ACH-000206,-0.7855309332491943
ACH-000207,-0.6040528037946024
ACH-000208,-1.3135998782811602
ACH-000210,-1.360149108981255
ACH-000211,-1.0149690927604385
ACH-000215,-0.8459235593269189
ACH-000221,-1.0003882367431869
ACH-000222,-0.9665292889848192
ACH-000223,-0.8989661756721979
ACH-000226,-0.7985180049794244
ACH-000227,-0.8386579043684113
ACH-000228,-0.949985240275617
ACH-000231,-0.8938259865351335
ACH-000232,-0.8705140734075044
ACH-000233,-0.7166387188334788
ACH-000234,-0.8406205329674455
ACH-000235,-0.8579145338355723
ACH-000237,-0.9990093961774104
ACH-000238,-0.7987330080567588
ACH-000242,-0.8904590262245341
ACH-000243,-0.913356237770696
ACH-000244,-1.013578063245563
ACH-000246,-0.9317219277382768
ACH-000248,-0.7178962479929043
ACH-000250,-1.0108003475362932
ACH-000251,-0.9720417400887392
ACH-000252,-1.0845115659392943
ACH-000253,-0.9546237469267042
ACH-000255,-1.064392737710958
ACH-000256,-0.9320320685617544
ACH-000257,-0.7515787832768621
ACH-000258,-0.6886690463897863
ACH-000259,-0.9051888990820992
ACH-000260,-0.8801031299317319
ACH-000261,-0.904961392437119
ACH-000262,-1.3870564510415746
ACH-000263,-0.8568706937030864
ACH-000264,-0.8350673789286895
ACH-000265,-1.1006304313030568
ACH-000266,-1.0637510981063265
ACH-000272,-1.0223706071968284
ACH-000274,-0.5637616000207799
ACH-000277,-0.8204752133606176
ACH-000278,-1.0121980585216332
ACH-000279,-0.9539239610185668
ACH-000280,-0.9627000004188836
ACH-000281,-0.9717826867328406
ACH-000288,-0.9810332895883308
ACH-000291,-0.8760542188820934
ACH-000293,-0.9860814269891536
ACH-000294,-1.2290771417246265
ACH-000295,-0.8916089506912137
ACH-000296,-1.0124681273526484
ACH-000302,-0.9357694158121272
ACH-000304,-0.7938369934132692
ACH-000307,-0.7397838359588466
ACH-000308,-1.0177178559747988
ACH-000310,-1.0555024748712163
ACH-000311,-0.8208161141156579
ACH-000312,-0.8165751842838791
ACH-000315,-1.0024306199657862
ACH-000316,-1.169412986471721
ACH-000317,-1.0717314245808307
ACH-000318,-0.6419442669334647
ACH-000319,-1.0375890584983152
ACH-000320,-1.0631268337760833
ACH-000322,-0.9528028088197188
ACH-000323,-0.90753660530571
ACH-000324,-0.9744353131173582
ACH-000329,-0.8191964507514019
ACH-000330,-0.804434356845696
ACH-000331,-0.9574243355048352
ACH-000332,-1.1426080048837588
ACH-000334,-1.1680088560069382
ACH-000335,-0.8436582572970381
ACH-000336,-0.8949347058522582
ACH-000337,-0.87927505873649
ACH-000338,-1.2172362346891166
ACH-000339,-1.0453401144119734
ACH-000341,-0.8374519148068177
ACH-000348,-1.011248467332736
ACH-000350,-0.6814987258817492
ACH-000352,-0.8826740760603344
ACH-000356,-0.9201579976851172
ACH-000361,-0.992586921272472
ACH-000362,-1.036634038107465
ACH-000363,-0.8941988046073096
ACH-000364,-1.0989349508581474
ACH-000365,-0.9964517556983702
ACH-000366,-0.7917599324276219
ACH-000368,-1.3243714452659603
ACH-000374,-0.5964957300428493
ACH-000375,-1.1640740142762052
ACH-000376,-1.1360773210092292
ACH-000381,-0.762617794919437
ACH-000383,-0.9260782476124928
ACH-000387,-1.1374002409820518
ACH-000389,-0.9766135757560868
ACH-000390,-0.8130267993412658
ACH-000393,-0.8842734372078647
ACH-000395,-0.6977289217401804
ACH-000396,-0.8324445660363052
ACH-000397,-0.9499653373979794
ACH-000401,-1.0067762187743698
ACH-000402,-0.8104566693885462
ACH-000403,-0.8381714100804138
ACH-000404,-0.8819774925577542
ACH-000406,-0.97751532461766
ACH-000407,-0.6587977838597064
ACH-000408,-0.9544331235249688
ACH-000410,-1.0492883450854569
ACH-000411,-0.9579717983743398
ACH-000414,-0.7391044711048805
ACH-000415,-0.9131056611024999
ACH-000416,-0.931416068278115
ACH-000420,-0.9655470898531756
ACH-000421,-0.8681729772492657
ACH-000424,-1.074880171041126
ACH-000425,-1.2544811305337082
ACH-000426,-0.991312372746029
ACH-000427,-0.8898839618304241
ACH-000433,-1.0100168863066044
ACH-000435,-1.0235093324651132
ACH-000436,-0.7655401130380054
ACH-000444,-1.0309262747416637
ACH-000445,-0.8916849700458052
ACH-000448,-0.9903300273590114
ACH-000450,-1.1874711822779134
ACH-000452,-0.9200638768479096
ACH-000454,-0.95720534704779
ACH-000458,-0.8377542535395857
ACH-000459,-0.7254809498728517
ACH-000460,-0.6584380033631502
ACH-000461,-0.9588395102489844
ACH-000463,-0.8927628725977984
ACH-000464,-1.0099552034401111
ACH-000466,-0.9291720720998692
ACH-000467,-1.2055334783186702
ACH-000468,-0.6444450924654721
ACH-000469,-1.0057507043882263
ACH-000470,-1.0790400729071916
ACH-000471,-0.9669721808792656
ACH-000472,-0.8844255062735996
ACH-000473,-0.80494872422108
ACH-000475,-1.0124388760455398
ACH-000476,-0.8230949794350333
ACH-000477,-0.6671052892692533
ACH-000479,-0.8874376600973777
ACH-000480,-0.8393114136480269
ACH-000481,-0.9082887761429308
ACH-000483,-0.8442588639754737
ACH-000484,-0.9677423078377893
ACH-000485,-1.1100148607261446
ACH-000486,-1.1153095078024196
ACH-000487,-0.7034579398441156
ACH-000488,-0.9307831848468496
ACH-000490,-0.8642376156091188
ACH-000491,-0.7019083550501878
ACH-000495,-1.0927101908835002
ACH-000496,-1.116415811666143
ACH-000499,-0.8454470657712333
ACH-000500,-1.2586644536214209
ACH-000502,-0.9991024852839092
ACH-000503,-1.1506973451354767
ACH-000505,-0.8712233903386243
ACH-000507,-0.7902683312884796
ACH-000510,-1.190667470959928
ACH-000511,-0.8435883252144275
ACH-000512,-1.007543161982137
ACH-000516,-0.9162091341244154
ACH-000517,-1.1211320837685188
ACH-000518,-1.043748705864031
ACH-000520,-0.7697560989892143
ACH-000521,-0.9662956612076672
ACH-000522,-0.9062675468392706
ACH-000524,-0.6156521339603573
ACH-000527,-1.2622686903432578
ACH-000528,-0.929357790707874
ACH-000537,-1.097383703589718
ACH-000541,-0.6620521372386468
ACH-000542,-0.9839170674659088
ACH-000544,-0.9714656294428636
ACH-000545,-1.1001587126900614
