,MDP1 (145553)
ACH-000004,-0.13390982070016114
ACH-000005,-0.3470526458735449
ACH-000007,-0.2452256441024271
ACH-000009,-0.09462194004113124
ACH-000011,-0.24736263871575306
ACH-000012,-0.26607788605338706
ACH-000013,-0.1548868512120622
ACH-000014,-0.17916979765092506
ACH-000015,-0.10083639052392526
ACH-000017,-0.28155475970854305
ACH-000018,-0.07250823244274028
ACH-000019,-0.4388757495635765
ACH-000021,-0.14818019262300672
ACH-000022,-0.2434916736966336
ACH-000025,-0.16268625605368142
ACH-000028,-0.32804138216674866
ACH-000030,-0.2243008336835492
ACH-000035,-0.00044743114309188397
ACH-000036,-0.18638027690029768
ACH-000037,-0.13742281624978092
ACH-000039,-0.23048637963725185
ACH-000040,-0.24750210377408174
ACH-000041,-0.15673726107845895
ACH-000042,-0.14865617219227426
ACH-000045,-0.11852987953389835
ACH-000047,-0.3249364562710872
ACH-000052,-0.3308938157931679
ACH-000053,-0.18460368601408475
ACH-000054,-0.21158902164530036
ACH-000055,-0.452826398567964
ACH-000060,-0.19833780652616392
ACH-000067,-0.3516060976157694
ACH-000070,-0.2470565176678001
ACH-000075,-0.2234339306803286
ACH-000078,-0.2260404460783161
ACH-000082,-0.2659642334713303
ACH-000085,-0.31157328387695193
ACH-000086,-0.0613186499098144
ACH-000087,-0.22110457135012754
ACH-000092,-0.2428592516318345
ACH-000095,-0.30202791814631536
ACH-000097,-0.36109090914571546
ACH-000098,-0.07827621602269247
ACH-000099,-0.18188810900590885
ACH-000108,-0.18795986261207406
ACH-000113,-0.2890005723425481
ACH-000116,-0.2839999920694924
ACH-000118,-0.24559284806318285
ACH-000120,-0.09777951758190598
ACH-000123,-0.2559479731427557
ACH-000127,-0.2194945296744492
ACH-000128,-0.20268202288872386
ACH-000132,-0.11480086589063647
ACH-000133,-0.2298817175507112
ACH-000137,-0.3148807230262425
ACH-000138,-0.18580618015905184
ACH-000142,-0.02021238358903428
ACH-000143,-0.3227214331075369
ACH-000146,-0.20507648046816826
ACH-000148,-0.3074770762762078
ACH-000150,-0.14036364591528813
ACH-000152,-0.11361202062702712
ACH-000153,-0.13986511819467642
ACH-000159,-0.2705732811740454
ACH-000160,-0.3638275072916857
ACH-000163,-0.3762292701855989
ACH-000167,-0.06742458917656935
ACH-000168,-0.09941073282166824
ACH-000169,-0.4253466556656368
ACH-000178,-0.03989587555056291
ACH-000183,-0.21157970082888916
ACH-000188,-0.1637447820022709
ACH-000189,-0.2929393021553326
ACH-000190,-0.2041504043331582
ACH-000198,-0.10715558644383613
ACH-000203,-0.8067040593999858
ACH-000204,-0.19339446691782752
ACH-000206,0.15872820775918708
ACH-000207,-0.2888232457848599
ACH-000208,-0.5691376045060899
ACH-000210,-0.3558021718205914
ACH-000211,-0.22814566379760634
ACH-000215,-0.17317137777328326
ACH-000221,-0.41048624248534904
ACH-000222,-0.13384518927584338
ACH-000223,-0.10492738623686933
ACH-000226,-0.3367847755532637
ACH-000227,-0.25281484997664205
ACH-000228,-0.2510035189539891
ACH-000231,-0.2789806602675365
ACH-000232,-0.2234061310626856
ACH-000233,-0.1974927384447793
ACH-000234,-0.23714727330618585
ACH-000235,-0.19860432479033094
ACH-000237,-0.0038284782804217407
ACH-000238,-0.3541248448912769
ACH-000242,-0.058400603895323776
ACH-000243,-0.2656993209348709
ACH-000244,0.13714465879729162
ACH-000246,-0.2505671874747519
ACH-000248,-0.2131255072276678
ACH-000250,-0.2017120651052099
ACH-000251,0.042750774331838916
ACH-000252,-0.008320009395348585
ACH-000253,-0.20256350233681145
ACH-000255,-0.19117269721944286
ACH-000256,-0.14136629704181022
ACH-000257,-0.4203229761995844
ACH-000258,0.1414009063078151
ACH-000259,-0.19018899001101872
ACH-000260,-0.2483967382360306
ACH-000261,-0.2431653318227968
ACH-000262,-0.24950047764085986
ACH-000263,-0.054705756683241666
ACH-000264,-0.29308297595914706
ACH-000265,-0.16415533522895534
ACH-000266,-0.20307233523460472
ACH-000272,-0.22097278870890388
ACH-000274,-0.08924754576297783
ACH-000277,-0.06662498267363291
ACH-000278,-0.16625930665613914
ACH-000279,-0.14157198191691406
ACH-000280,-0.24339084476583145
ACH-000281,-0.06051913101703101
ACH-000288,-0.1303662758599875
ACH-000291,-0.18580731224104485
ACH-000293,-0.3446937267482214
ACH-000294,-0.12119630052549768
ACH-000295,-0.05031645272258422
ACH-000296,-0.3919726539415765
ACH-000302,-0.0981099125792436
