,XRRA1 (143570)
ACH-000004,-0.0570018269325048
ACH-000005,0.005582548381336026
ACH-000007,-0.133516848335476
ACH-000009,-0.13286220743770613
ACH-000011,-0.0772122819523901
ACH-000012,-0.299331695942831
ACH-000013,-0.11122540056822497
ACH-000014,0.0441544703211138
ACH-000015,-0.05145839036595992
ACH-000017,-0.07872819786179527
ACH-000018,-0.16025873275383035
ACH-000019,-0.2442337917421918
ACH-000021,-0.15059077001247884
ACH-000022,-0.04033584430194661
ACH-000025,-0.11630110891097753
ACH-000028,-0.2504656897895638
ACH-000030,-0.1266401953641024
ACH-000035,-0.07501675191508426
ACH-000036,-0.04241480527887962
ACH-000037,-0.1427135229595979
ACH-000039,-0.3381527530641392
ACH-000040,-0.2470417327917968
ACH-000041,-0.13958177170912908
ACH-000042,-0.10274688394959276
ACH-000045,-0.2229181089482144
ACH-000047,-0.10268066039025814
ACH-000052,-0.12691630562749756
ACH-000053,-0.08216516879827179
ACH-000054,-0.1352517729060452
ACH-000055,-0.2098690100112301
ACH-000060,-0.043376089882982014
ACH-000067,-0.028488988771652183
ACH-000070,-0.05418854007990613
ACH-000075,-0.12651348950450353
ACH-000078,-0.14527477861113536
ACH-000082,-0.12080406507167403
ACH-000085,0.048365373042009836
ACH-000086,-0.23126455565522056
ACH-000087,-0.028802875117356987
ACH-000092,-0.043507228851681685
ACH-000095,-0.13143165942680238
ACH-000097,-0.1514426178694366
ACH-000098,-0.13085194891245522
ACH-000099,-0.056272159212778936
ACH-000108,-0.10393632890501016
ACH-000113,-0.05804285481836114
ACH-000116,-0.15989976502353254
ACH-000118,-0.1585490847764759
ACH-000120,-0.02639408125898754
ACH-000123,-0.23110395898738
ACH-000127,-0.022293123191323132
ACH-000128,0.0015867283069803232
ACH-000132,-0.3035349977951613
ACH-000133,-0.12715643767526033
ACH-000137,-0.2323885980966063
ACH-000138,-0.20854068389423927
ACH-000142,-0.06098234949799776
ACH-000143,-0.08732143930306532
ACH-000146,-0.16871845668314422
ACH-000148,-0.10931298286864324
ACH-000150,-0.0507896757294497
ACH-000152,-0.10968008888080938
ACH-000153,-0.10423884769779032
ACH-000159,-0.06608525979147263
ACH-000160,-0.16938747791654665
ACH-000163,-0.07405196382456346
ACH-000167,-0.04263855565030925
ACH-000168,-0.007214270857312275
ACH-000169,-0.08807020909225459
ACH-000178,-0.038549422818789016
ACH-000183,-0.15021052069258162
ACH-000188,-0.1779914935591461
ACH-000189,-0.15471616897539228
ACH-000190,-0.365959186424092
ACH-000198,0.08769738183018996
ACH-000203,-0.4961276716675957
ACH-000204,0.005017971988382871
ACH-000206,0.00024292106067004023
ACH-000207,-0.322106483822942
ACH-000208,-0.15681177929891985
ACH-000210,-0.0038376216159806283
ACH-000211,-0.02940401994860557
ACH-000215,-0.06370645183218525
ACH-000221,-0.08675836795447482
ACH-000222,0.007682329624288826
ACH-000223,-0.2053256012868896
ACH-000226,-0.046719742059024086
ACH-000227,-0.4006201228379762
ACH-000228,-0.24897227351414436
ACH-000231,-0.10028042459714748
ACH-000232,-0.16403301632002326
ACH-000233,0.01085415103961518
ACH-000234,-0.06528985408914062
ACH-000235,-0.07774474042518717
ACH-000237,-0.28985535645044536
ACH-000238,-0.19763939595603128
ACH-000242,-0.0872745891217454
ACH-000243,-0.03101086573654172
ACH-000244,-0.2797257454330178
ACH-000246,-0.05958224704055778
ACH-000248,-0.01889327329691279
ACH-000250,-0.114118835923802
ACH-000251,-0.034816842080716615
ACH-000252,-0.0718075453360471
ACH-000253,-0.2161721348336843
ACH-000255,-0.08875849321078855
ACH-000256,-0.35037986200742777
ACH-000257,-0.05686850501053031
ACH-000258,0.007160415493391898
ACH-000259,-0.1808191957475753
ACH-000260,-0.13841660797805544
ACH-000261,-0.1748141880805112
ACH-000262,-0.13052630905522858
ACH-000263,-0.36124719121413257
ACH-000264,-0.14385184603943202
ACH-000265,-0.02056067723836404
ACH-000266,-0.09493101560844774
ACH-000272,-0.06576932011593185
ACH-000274,-0.05477093362813293
ACH-000277,-0.17066784082182707
ACH-000278,-0.10308724341026708
ACH-000279,-0.10724067150823344
ACH-000280,-0.10600504453645418
ACH-000281,-0.13548902034223467
ACH-000288,-0.1822950319328052
ACH-000291,-0.056433445257111164
ACH-000293,-0.1637104859482906
ACH-000294,-0.17643219229261106
ACH-000295,-0.1974090883036951
ACH-000296,-0.09305666218028928
ACH-000302,-0.03855426765157106
ACH-000304,-0.057990902522175376
ACH-000307,-0.05625012144965981
ACH-000308,-0.17784155396109713
ACH-000310,-0.20427551004117608
ACH-000311,0.060665742154293566
ACH-000312,-0.11244099770655634
