,INPP5K (51763)
ACH-000004,-0.07098779314675932
ACH-000005,0.07180868330207481
ACH-000007,-0.2766083467767849
ACH-000009,-0.2966374108820119
ACH-000011,-0.022187183841282425
ACH-000012,-0.2520906463793941
ACH-000013,-0.4888025106148407
ACH-000014,-0.2366505217368769
ACH-000015,-0.21355861685638
ACH-000017,0.01933280530655604
ACH-000018,-0.23921163936492504
ACH-000019,-0.05296527622745192
ACH-000021,-0.07009752302979738
ACH-000022,-0.17142511908317304
ACH-000025,-0.24434259784174106
ACH-000028,-0.1504662825401254
ACH-000030,0.023194182170322267
ACH-000035,-0.4279728750574686
ACH-000036,-0.6865993890031701
ACH-000037,-0.3765470673026372
ACH-000039,-0.13708203897096755
ACH-000040,-0.29933731974088024
ACH-000041,0.006216899202020928
ACH-000042,-0.005187739961858338
ACH-000045,-0.07286956809564236
ACH-000047,-0.10596440021873424
ACH-000052,-0.2399465166909497
ACH-000053,-0.4085629657787681
ACH-000054,-0.01965795888516193
ACH-000055,0.09097377606248573
ACH-000060,-0.1571817446535119
ACH-000067,-0.11820038129746692
ACH-000070,-0.1750542819241566
ACH-000075,-0.149830420104217
ACH-000078,-0.12885648874829106
ACH-000082,-0.26352179380804475
ACH-000085,-0.09703199062330747
ACH-000086,-0.12996806538288305
ACH-000087,-0.005401035959300785
ACH-000092,-0.18618052586923398
ACH-000095,-0.10360358516446963
ACH-000097,-0.036219455787228134
ACH-000098,-0.1958958302705882
ACH-000099,-0.11037218383519744
ACH-000108,-0.06390949266831752
ACH-000113,-0.0221084150463819
ACH-000116,-0.1234043568345068
ACH-000118,-0.10360662731876802
ACH-000120,-0.11838353538363718
ACH-000123,-0.3762780278098097
ACH-000127,-0.10874524229839412
ACH-000128,-0.3491690699385438
ACH-000132,-0.4701559319487618
ACH-000133,-0.3472262200642202
ACH-000137,-0.10394555998056132
ACH-000138,-0.19066650416380804
ACH-000142,-0.0883050411844213
ACH-000143,-0.2662286993693445
ACH-000146,-0.04496879727075685
ACH-000148,-0.2914000371357444
ACH-000150,-0.3796198690005093
ACH-000152,-0.21193974314046266
ACH-000153,-0.3802554587200002
ACH-000159,-0.28422633921140666
ACH-000160,-0.03374726653678165
ACH-000163,-0.244928907241136
ACH-000167,-0.09371206967567584
ACH-000168,-0.2843727500392053
ACH-000169,-0.2038610950066766
ACH-000178,-0.15567373642501753
ACH-000183,-0.09145684183232047
ACH-000188,-0.000579654559461415
ACH-000189,0.03537074015749565
ACH-000190,-0.4494019947387719
ACH-000198,0.08500792190740017
ACH-000203,-0.2196428476035715
ACH-000204,-0.2750624296795913
ACH-000206,0.06775979489067173
ACH-000207,-0.18052066308246165
ACH-000208,-0.5340234335348213
ACH-000210,-0.11642783678717565
ACH-000211,-0.06095923020680825
ACH-000215,-0.04420762392765494
ACH-000221,-0.6981888048512617
ACH-000222,-0.062339625162914025
ACH-000223,-0.06795079814552883
ACH-000226,-0.09953465236798018
ACH-000227,-0.13586079168329035
ACH-000228,-0.11832867292150595
ACH-000231,-0.23907913771172384
ACH-000232,-0.7186153121087088
ACH-000233,-0.3870407618062325
ACH-000234,-0.2412844626424705
ACH-000235,0.00454095265591657
ACH-000237,-0.05127216613854306
ACH-000238,-0.4398393380520248
ACH-000242,-0.4227872739870153
ACH-000243,0.06134506624023405
ACH-000244,-0.1459011050812722
ACH-000246,-0.11232675452421144
ACH-000248,-0.11467183647814733
ACH-000250,-0.17697500628882584
ACH-000251,-0.09463348112262564
ACH-000252,-0.33053694063070216
ACH-000253,-0.2800921061166982
ACH-000255,-0.30975983878075064
ACH-000256,-0.32987123835120663
ACH-000257,-0.24675692439298635
ACH-000258,-0.08794059829115934
ACH-000259,-0.01111728906180555
ACH-000260,-0.11696855892655406
ACH-000261,-0.07830196841277043
ACH-000262,-0.1886975308811196
ACH-000263,-0.02885835382095933
ACH-000264,0.03969113155430309
ACH-000265,-0.08829843076203314
ACH-000266,-0.08556195696690945
ACH-000272,-0.18932062150363616
ACH-000274,-0.1467314183709735
ACH-000277,-0.025102903589273747
ACH-000278,-0.07762732408385234
ACH-000279,-0.18096507793794325
ACH-000280,-0.07896014892997716
ACH-000281,-0.3080490807592336
ACH-000288,-0.4759083146787554
ACH-000291,-0.06603882183638718
ACH-000293,-0.01125607763276356
ACH-000294,-0.03241193762785748
ACH-000295,-0.2007221877122727
ACH-000296,-0.12773844046555774
ACH-000302,0.004666798265619916
ACH-000304,-0.4417113631172119
ACH-000307,-0.04835905315092297
ACH-000308,-0.07603193172818308
ACH-000310,-0.04367093605845315
ACH-000311,-0.22732974618713425
ACH-000312,-0.2704096271981481
ACH-000315,-0.008679679853070455
ACH-000316,-0.2633197775053624
ACH-000317,0.1016486905157956
ACH-000318,-0.14637881122403915
ACH-000319,-0.3298965808973651
ACH-000320,-0.045537372978903215
ACH-000322,-0.2426155681793699
ACH-000323,-0.14768265766451216
ACH-000324,-0.2907203631295717
ACH-000329,-0.18710076891644686
ACH-000330,-0.0961993136105176
ACH-000331,-0.09087661685621372
ACH-000332,-0.03225439071767193
ACH-000334,-0.1136191618195096
ACH-000335,-0.15787947249739848
ACH-000336,-0.07370463326904565
ACH-000337,-0.06817183491337961
ACH-000338,-0.2213520038934336
ACH-000339,-0.1959978720894371
ACH-000341,0.056908397504196816
ACH-000348,-0.029980754547402576
ACH-000350,-0.07114975031476517
ACH-000352,0.0396588914840908
ACH-000356,-0.10759479789220494
ACH-000361,-0.26326874421526203
ACH-000362,0.02586397587295036
ACH-000363,-0.019626563218983258
ACH-000364,-0.1830191829909945
ACH-000365,-0.06362654302865653
ACH-000366,-0.3945779510436502
ACH-000368,-0.2502570891209142
ACH-000374,0.024524990374693103
ACH-000375,-0.3042357537356623
ACH-000376,-0.19242893712883266
ACH-000381,-0.2148963310641689
ACH-000383,0.0036409659588164845
ACH-000387,-0.12045244120717045
ACH-000389,-0.1754640888078872
ACH-000390,-0.10332735417721634
