,RRAD (6236)
ACH-000004,-0.2067617282537439
ACH-000005,-0.0021179477833190513
ACH-000007,-0.1952911564341119
ACH-000009,-0.2580651598242766
ACH-000011,-0.18569756765840445
ACH-000012,-0.3510559687377038
ACH-000013,-0.2667562898148354
ACH-000014,-0.2940413580729251
ACH-000015,-0.0977129142803682
ACH-000017,-0.31818453293490445
ACH-000018,-0.22898203178733775
ACH-000019,0.2333685666437904
ACH-000021,-0.3339310735678737
ACH-000022,-0.17818454123431327
ACH-000025,-0.3846736443478779
ACH-000028,-0.15773498346498996
ACH-000030,-0.27597066099651724
ACH-000035,-0.07377453339703707
ACH-000036,-0.28689301984734705
ACH-000037,-0.3218043420307963
ACH-000039,-0.3026657171309558
ACH-000040,-0.21949894362233147
ACH-000041,0.026332817439616664
ACH-000042,-0.09378658985171752
ACH-000045,-0.2984753295954204
ACH-000047,-0.21106701997925004
ACH-000052,-0.03526245622576656
ACH-000053,-0.4167232944652772
ACH-000054,-0.10002822478951366
ACH-000055,-0.1698161798271969
ACH-000060,-0.30418458268695164
ACH-000067,-0.3147211430950695
ACH-000070,-0.21132929461969904
ACH-000075,-0.3608609153347727
ACH-000078,-0.18994773950842536
ACH-000082,-0.2888509697836213
ACH-000085,-0.2498879341945865
ACH-000086,-0.2211486722736176
ACH-000087,-0.42726945153412493
ACH-000092,-0.19217653130832935
ACH-000095,-0.2599185238414295
ACH-000097,-0.17034665927540946
ACH-000098,-0.2443209633037544
ACH-000099,-0.2642477031905833
ACH-000108,-0.31240731301863417
ACH-000113,-0.2369544135251223
ACH-000116,-0.1862713952229341
ACH-000118,-0.2293440584462771
ACH-000120,-0.09487122681431932
ACH-000123,-0.15288471125896033
ACH-000127,-0.283438655118451
ACH-000128,-0.03841157809774065
ACH-000132,-0.2880418779865331
ACH-000133,-0.2277073539150413
ACH-000137,-0.42994433198423065
ACH-000138,-0.09714647586108438
ACH-000142,-0.3322476652422345
ACH-000143,-0.3626184252458821
ACH-000146,-0.276150881648425
ACH-000148,-0.3726938402741963
ACH-000150,-0.40987724799573616
ACH-000152,-0.38266100015730004
ACH-000153,0.1501472685793259
ACH-000159,-0.33209585131326164
ACH-000160,-0.20445780649073506
ACH-000163,-0.1400885442098387
ACH-000167,-0.056018763612731136
ACH-000168,-0.11500544043252298
ACH-000169,-0.16778001670189402
ACH-000178,-0.2597383657864763
ACH-000183,-0.03400047280982852
ACH-000188,-0.0944355907698252
ACH-000189,-0.2449952489490177
ACH-000190,-0.0691059626941514
ACH-000198,-0.17248017113218295
ACH-000203,-0.05126138029165249
ACH-000204,-0.3582981982641264
ACH-000206,-0.2353702952794028
ACH-000207,-0.1203433998529884
ACH-000208,-0.4811601145705664
ACH-000210,-0.18630087555520414
ACH-000211,-0.2529115613015793
ACH-000215,-0.2320217575559858
ACH-000221,-0.4274491705411733
ACH-000222,0.055276211865793436
ACH-000223,-0.08927946723578202
ACH-000226,-0.4136961229360804
ACH-000227,-0.10388301503934254
ACH-000228,-0.15395766030057406
ACH-000231,-0.28081223153139273
ACH-000232,-0.20331458567929897
ACH-000233,-0.3639016238380968
ACH-000234,-0.13422812016141716
ACH-000235,-0.21804694259721866
ACH-000237,-0.20005373742683052
ACH-000238,-0.3638915438221165
ACH-000242,-0.10061908534830016
ACH-000243,-0.1196685412480987
ACH-000244,-0.4881765203554615
ACH-000246,-0.2665613222937831
ACH-000248,-0.2937016299743273
ACH-000250,-0.20956993618757336
ACH-000251,-0.1948776021546926
ACH-000252,-0.17167168182130754
ACH-000253,-0.2984331722683357
ACH-000255,-0.07153884528150094
ACH-000256,-0.09881215904836768
ACH-000257,-0.32473039829021444
ACH-000258,-0.13518081212517846
ACH-000259,-0.12494457372704665
ACH-000260,-0.25867336038698996
ACH-000261,-0.2037767687217485
ACH-000262,-0.20526351858744746
ACH-000263,0.1093498435173299
ACH-000264,-0.22647161070739816
ACH-000265,-0.08234400359935272
ACH-000266,-0.1672769829681361
ACH-000272,-0.13055722402245418
ACH-000274,-0.19532913289505954
ACH-000277,-0.02325136076708061
ACH-000278,-0.12881985532753384
ACH-000279,-0.08412822459950467
ACH-000280,-0.2667544216040589
ACH-000281,-0.23740562555995776
ACH-000288,-0.3717614543399464
ACH-000291,-0.1450694556046709
ACH-000293,-0.2187760594379231
ACH-000294,-0.2949296748435186
ACH-000295,-0.21788078239688996
ACH-000296,-0.0825469552682487
ACH-000302,-0.1670642381143358
ACH-000304,-0.3755500131672594
ACH-000307,-0.15254352371279173
ACH-000308,-0.2053494782169708
ACH-000310,-0.4110747438686224
ACH-000311,-0.11197365209157266
ACH-000312,-0.10052206955604223
ACH-000315,-0.27032420966546833
ACH-000316,-0.3350823251594725
ACH-000317,-0.03656177559787638
ACH-000318,-0.07527369328874509
ACH-000319,-0.243439836547768
ACH-000320,-0.30245657091115136
ACH-000322,-0.611354937391217
ACH-000323,-0.2572893667019098
ACH-000324,-0.21562936398905447
ACH-000329,-0.309975335522851
ACH-000330,-0.3002981810012309
ACH-000331,-0.2184773907768843
ACH-000332,-0.12384196371790725
ACH-000334,-0.13649005833833028
ACH-000335,-0.4028473908954791
ACH-000336,-0.17279684274988028
ACH-000337,-0.4642926792744409
ACH-000338,-0.2339621498834732
ACH-000339,-0.2421141945996084
ACH-000341,-0.014662038841113697
ACH-000348,-0.3397195799126103
ACH-000350,-0.2525477384416103
ACH-000352,-0.3721974178764064
ACH-000356,-0.5851748759764167
ACH-000361,-0.14486789365603742
ACH-000362,-0.21986403198621415
ACH-000363,-0.1864827257675915
ACH-000364,-0.2044783270927655
ACH-000365,-0.2751145054813369
ACH-000366,-0.145025422846185
ACH-000368,-0.057886192240772835
ACH-000374,-0.3380460870200669
ACH-000375,-0.1856035658414905
ACH-000376,-0.21944082784391544
ACH-000381,-0.4269960989022718
ACH-000383,-0.3306580934498648
ACH-000387,-0.4369045640978427
ACH-000389,-0.4259795252081112
ACH-000390,-0.22051517888711505
ACH-000393,-0.36684520611708493
ACH-000395,-0.29682794229551984
ACH-000396,-0.14345355738524138
ACH-000397,-0.2807675893070691
ACH-000401,-0.1713493852975542
ACH-000402,0.016936486230287078
ACH-000403,-0.19353998897761526
ACH-000404,-0.10391121810377406
ACH-000406,-0.27695437252096383
ACH-000407,-0.2487642558100517
ACH-000408,-0.3696781162872008
ACH-000410,-0.17084313478291818
ACH-000411,-0.312038543557532
ACH-000414,-0.19456662279981768
ACH-000415,-0.18172531436139125
ACH-000416,-0.39282184842422224
ACH-000420,-0.23972322182176906
ACH-000421,-0.13497583571669725
ACH-000424,0.01828597738168219
ACH-000425,-0.3909834462538721
ACH-000426,-0.3814874468536886
ACH-000427,-0.2699702016226197
ACH-000433,-0.3675196964448164
ACH-000435,-0.019321211438890592
ACH-000436,-0.20692635276690552
ACH-000444,-0.19842859921871608
ACH-000445,-0.16468093238625828
ACH-000448,-0.1735856930490571
ACH-000450,-0.3459646800765393
ACH-000452,-0.2679003402113339
ACH-000454,-0.4246363714285834
ACH-000458,-0.4660426967613115
ACH-000459,-0.1678362442757314
ACH-000460,-0.1895005553400398
ACH-000461,-0.1755279507599377
ACH-000463,-0.199659734455719
ACH-000464,-0.40468343985244587
ACH-000466,-0.25867575703712503
ACH-000467,-0.3670637441994941
ACH-000468,-0.24427752747699125
ACH-000469,-0.3349784728167253
ACH-000470,-0.3431896698153802
ACH-000471,-0.25219301824223833
ACH-000472,-0.17834300339631806
ACH-000473,-0.17833061882094456
ACH-000475,-0.2238859032136867
ACH-000476,-0.2734481181689037
ACH-000477,-0.2959469918426693
ACH-000479,-0.3220253642060473
ACH-000480,-0.19373248302478965
ACH-000481,-0.11228692897045524
ACH-000483,-0.27868883867292943
ACH-000484,-0.14776873724618778
ACH-000485,-0.3108210275010235
ACH-000486,-0.16596288151983096
ACH-000487,-0.1288213642312649
ACH-000488,-0.12955789629472214
ACH-000490,-0.2927181766087069
ACH-000491,-0.030992577964029763
ACH-000495,-0.14413021621939376
ACH-000496,-0.3471387106946151
ACH-000499,-0.5573007650658893
ACH-000500,-0.3929257891211014
ACH-000502,-0.17147224913872874
ACH-000503,-0.09437827319293644
ACH-000505,-0.24073383172280244
ACH-000507,-0.16382578503892026
ACH-000510,-0.1706943263441281
ACH-000511,-0.2052635421782545
ACH-000512,-0.11486530783375125
ACH-000516,-0.5154673134403404
ACH-000517,-0.26872495583381845
ACH-000518,-0.17752330223693472
ACH-000520,-0.4715447361272201
ACH-000521,-0.1711161567999291
ACH-000522,-0.3673106082457596
ACH-000524,-0.19287954363144225
ACH-000527,-0.17049664141953122
ACH-000528,-0.2981956998760008
ACH-000537,-0.3898869889044417
ACH-000541,-0.15114638042786094
ACH-000542,-0.24602131592702825
ACH-000544,-0.3467340299434916
ACH-000545,-0.2662194747676421
ACH-000547,-0.03898355202844917
ACH-000548,-0.42040216144736936
ACH-000549,-0.22709661272291395
ACH-000550,-0.49855508915452795
ACH-000552,-0.3359111640691391
ACH-000556,-0.2962979617459888
ACH-000557,-0.3414843866655291
ACH-000569,-0.4407548132883764
ACH-000570,-0.20111183818908135
ACH-000571,-0.20059016427073104
ACH-000573,-0.2425765562770281
ACH-000576,-0.19702309179393016
ACH-000579,-0.23735736396738855
ACH-000580,-0.10360683280453288
ACH-000584,-0.3035729290450278
ACH-000585,-0.2316054462026189
ACH-000588,-0.2376692304876273
ACH-000589,-0.2175431572726041
ACH-000591,-0.3326766219536937
ACH-000593,-0.2988895037541183
ACH-000600,-0.04509193319146364
ACH-000601,-0.25977406608288584
ACH-000605,-0.31182312886835545
ACH-000606,-0.120987363656893
ACH-000608,-0.12112897266193755
ACH-000614,-0.11379769691168845
ACH-000616,-0.3047297586196738
ACH-000618,-0.3591149623257012
ACH-000619,-0.202408614387454
ACH-000620,-0.3474144151867621
ACH-000621,-0.3788091726849427
ACH-000622,-0.27254595025408024
ACH-000623,-0.232540800460024
ACH-000624,-0.21137053203076375
