,CENPA (1058)
ACH-000004,-0.9679942264990146
ACH-000005,-0.5904504848220476
ACH-000007,-1.050376086678119
ACH-000009,-0.8500470772301644
ACH-000011,-0.6997995252663789
ACH-000012,-0.8346531105031276
ACH-000013,-1.0209657108507062
ACH-000014,-0.7732540351038126
ACH-000015,-0.6365844994470664
ACH-000017,-0.8302942058346455
ACH-000018,-0.8644767989586583
ACH-000019,-0.4661859474756943
ACH-000021,-0.5610532182359551
ACH-000022,-1.0278036149762102
ACH-000025,-0.8007353494686882
ACH-000028,-0.819269491257131
ACH-000030,-0.8278860872798939
ACH-000035,-0.9032215923377678
ACH-000036,-0.7249474092399742
ACH-000037,-0.7298074596665208
ACH-000039,-0.6564379207201531
ACH-000040,-0.8669616070517304
ACH-000041,-0.8657446235636277
ACH-000042,-0.9848364556033796
ACH-000045,-0.535803330129083
ACH-000047,-0.9400397043931504
ACH-000052,-0.9117437462244204
ACH-000053,-0.7986557177694673
ACH-000054,-0.7061804014254971
ACH-000055,-0.6455701094489901
ACH-000060,-0.7746321694735605
ACH-000067,-0.6942433336644432
ACH-000070,-0.5545595617238789
ACH-000075,-0.6050062209008524
ACH-000078,-0.6594619453385275
ACH-000082,-0.2856288172450239
ACH-000085,-0.9847389446379268
ACH-000086,-0.7010371652522954
ACH-000087,-1.0437610254435996
ACH-000092,-0.6855363997063565
ACH-000095,-0.6820434731011252
ACH-000097,-0.8070751623815061
ACH-000098,-0.7005838377021937
ACH-000099,-0.7853507209832394
ACH-000108,-0.843801736165975
ACH-000113,-0.6204821278997125
ACH-000116,-0.7837675128619019
ACH-000118,-0.93496954394344
ACH-000120,-0.8944542641557037
ACH-000123,-0.5393694471859789
ACH-000127,-0.6282027510452606
ACH-000128,-0.7444257144611769
ACH-000132,-0.9880187934822221
ACH-000133,-0.8889999493220484
ACH-000137,-0.8206342233334905
ACH-000138,-0.7133463502757385
ACH-000142,-0.6920514822841765
ACH-000143,-0.9856005858387974
ACH-000146,-0.4977289032064605
ACH-000148,-0.7490250191118561
ACH-000150,-0.5593112501626626
ACH-000152,-0.5409479929346035
ACH-000153,-1.093399925656391
ACH-000159,-0.5739048342695716
ACH-000160,-0.5550347325879218
ACH-000163,-0.8767182533322423
ACH-000167,0.11384513945788576
ACH-000168,-0.6125000450811942
ACH-000169,-0.7660740571894428
ACH-000178,-0.7748500682648024
ACH-000183,-0.8381670125468383
ACH-000188,-0.9586839858625548
ACH-000189,-0.6499667564585223
ACH-000190,-0.4355054513424986
ACH-000198,-0.5423091872148564
ACH-000203,-1.2864944181997988
ACH-000204,-0.6776970297366494
ACH-000206,-0.9849911116772526
ACH-000207,-0.5814130787849059
ACH-000208,-0.8991771224818614
ACH-000210,-0.8717210240766314
ACH-000211,-0.8162399712608158
ACH-000215,-0.89596966642835
ACH-000221,-0.8411561956241723
ACH-000222,-1.105275941107999
ACH-000223,-0.709053621383535
ACH-000226,-0.8921649407730756
ACH-000227,-0.6891469441733656
ACH-000228,-0.7638522922700274
ACH-000231,-0.8293762303161425
ACH-000232,-0.9100270629001004
ACH-000233,-0.9313890677400452
ACH-000234,-0.6746905566867665
ACH-000235,-0.7492052670798878
ACH-000237,-0.8374020665054014
ACH-000238,-1.0898731530263792
ACH-000242,-0.753490940213692
ACH-000243,-0.9825986089946562
ACH-000244,-0.8413817992174112
